No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,Donte DiVincenzo,SG,6-4,203,"January 31, 1997",us,5,Villanova
3,Josh Hart,SF,6-4,215,"March 6, 1995",us,6,Villanova
11,Jalen Brunson,PG,6-2,190,"August 31, 1996",us,5,Villanova
55,Isaiah Hartenstein,C,7-0,250,"May 5, 1998",us,5,
30,Julius Randle,PF,6-8,250,"November 29, 1994",us,9,Kentucky
2,Miles McBride,PG,6-2,200,"September 8, 2000",us,2,West Virginia
45,Jericho Sims,C,6-10,245,"October 20, 1998",us,2,Texas
5,Precious Achiuwa,PF,6-8,225,"September 19, 1999",ng,3,Memphis
23,Mitchell Robinson,C,7-0,240,"April 1, 1998",us,5,Western Kentucky
8,OG Anunoby,SF,6-7,232,"July 17, 1997",gb,6,Indiana
"8, 21",DaQuan Jeffries,SG,6-5,230,"August 30, 1997",us,4,"Oral Roberts, Tulsa"
00,Jacob Toppin,SF,6-9,205,"May 8, 2000",us,R,"Rhode Island, Kentucky"
"4, 44",Charlie Brown Jr. (TW),SG,6-6,199,"February 2, 1997",us,3,Saint Joseph's
18,Alec Burks,SG,6-6,214,"July 20, 1991",us,12,Colorado
44,Bojan Bogdanović,SF,6-7,226,"April 18, 1989",ba,9,
,Duane Washington Jr. (TW),SG,6-3,210,"March 24, 2000",de,2,Ohio State
