Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Rk,Player,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Jalen Brunson,27,54,1942,100%,,,,,6.4,6.2,72,47,53,9,146,59,878,54,43
2,Josh Hart,28,56,1699,,4%,70%,26%,,6.6,5.0,42,21,51,6,29,5,451,7,30
3,Julius Randle,29,46,1630,,,,93%,7%,5.9,3.2,56,55,50,30,134,1,604,31,64
4,Donte DiVincenzo,27,56,1414,1%,87%,13%,,,2.9,-3.7,34,16,49,7,23,14,319,4,22
5,Isaiah Hartenstein,25,52,1315,,,,,100%,8.8,8.2,34,7,75,15,53,2,252,19,19
6,Quentin Grimes,23,45,910,,83%,16%,1%,,1.2,-5.1,11,6,35,0,18,3,127,5,13
7,RJ Barrett,23,26,766,,3%,96%,1%,,-0.3,-7.0,20,14,26,4,64,3,154,8,41
8,Immanuel Quickley,24,30,720,42%,58%,,,,8.5,5.2,13,12,25,3,41,3,172,6,13
9,Precious Achiuwa,24,25,656,,,,69%,31%,4.8,0.2,10,6,31,3,16,2,55,5,10
10,Mitchell Robinson,25,21,613,,,,,100%,2.5,-2.7,1,13,26,3,14,2,36,2,10
11,Miles McBride,23,44,556,76%,24%,,,,-3.7,-10.4,13,2,25,1,10,12,107,3,11
12,OG Anunoby,26,14,500,,,69%,31%,,25.3,25.2,8,5,20,3,20,0,49,5,14
13,Jericho Sims,25,30,342,,,,,100%,-4.3,-10.1,5,1,16,2,7,1,26,4,1
14,Taj Gibson,38,16,165,,,,8%,92%,-6.2,-11.5,0,2,17,3,1,0,22,0,1
15,Alec Burks,32,5,101,,73%,27%,,,-22.4,-28.1,6,0,3,0,5,3,10,0,2
16,Bojan Bogdanović,34,4,98,,,6%,93%,1%,-17.5,-23.0,0,2,5,0,4,1,2,1,1
17,Malachi Flynn,25,14,60,100%,,,,,-3.4,-8.2,1,1,1,0,5,0,13,1,3
18,Ryan Arcidiacono,29,20,45,,65%,36%,,,7.6,3.0,2,0,3,0,0,2,11,0,0
19,Evan Fournier,31,3,39,,12%,88%,,,-17.1,-22.1,0,0,3,0,1,0,6,0,0
20,Jacob Toppin,23,7,34,,,41%,59%,,-34.6,-39.7,0,0,2,0,1,0,6,0,1
21,Charlie Brown Jr.,26,6,33,,37%,58%,5%,,-12.4,-17.2,1,0,3,0,0,0,0,0,1
22,DaQuan Jeffries,26,12,31,,,69%,31%,,-5.1,-9.8,1,0,2,0,0,0,5,0,1
23,Dylan Windler,27,3,7,,,,100%,,59.5,55.0,0,0,1,0,0,0,3,0,0
24,Dmytro Skapintsev,25,2,2,,,,,100%,-25.0,-29.7,0,0,0,0,0,0,0,0,0
