Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1,Jalen Brunson,27,54,54,1942,13.6,28.3,0.479,3.7,9.0,0.407,9.9,19.3,0.513,7.5,8.8,0.843,0.8,4.4,5.2,9.2,1.3,0.3,3.4,2.7,38.3,,124,117
2,Josh Hart,28,56,17,1699,5.2,12.0,0.431,1.6,5.0,0.312,3.6,7.0,0.517,1.5,1.8,0.836,2.1,9.7,11.8,5.4,1.3,0.4,2.2,3.1,13.4,,113,114
3,Julius Randle,29,46,46,1630,12.1,25.6,0.472,2.3,7.5,0.311,9.8,18.1,0.539,7.2,9.2,0.781,3.0,9.9,12.9,7.0,0.8,0.4,4.9,3.8,33.7,,114,115
4,Donte DiVincenzo,27,56,38,1414,9.6,21.1,0.454,6.1,14.6,0.415,3.5,6.5,0.541,1.8,2.5,0.729,1.5,5.0,6.5,4.8,2.3,0.7,2.3,3.9,27.0,,123,114
5,Isaiah Hartenstein,25,52,26,1315,5.5,8.8,0.621,0.0,0.1,0.333,5.4,8.7,0.624,2.8,3.9,0.718,6.7,10.1,16.8,4.0,2.2,2.1,2.3,5.7,13.8,,135,109
6,Quentin Grimes,23,45,18,910,6.2,15.7,0.395,4.2,11.6,0.363,2.0,4.1,0.486,1.3,1.9,0.706,0.8,4.1,4.8,2.9,1.6,0.2,1.2,3.6,17.9,,116,116
7,RJ Barrett,23,26,26,766,10.7,25.3,0.423,2.8,8.5,0.331,7.9,16.8,0.469,6.7,8.1,0.831,1.2,6.0,7.2,4.1,0.8,0.6,3.1,2.9,30.9,,110,117
8,Immanuel Quickley,24,30,0,720,10.5,23.2,0.454,4.4,11.2,0.395,6.1,12.0,0.509,5.7,6.5,0.872,0.3,5.0,5.3,5.1,1.1,0.2,2.1,3.0,31.2,,124,117
9,Precious Achiuwa,24,25,11,656,6.9,12.9,0.538,0.5,2.1,0.25,6.4,10.7,0.596,1.5,2.2,0.69,6.2,8.0,14.2,1.8,1.1,2.0,1.8,4.0,15.9,,123,113
10,Mitchell Robinson,25,21,21,613,4.7,8.0,0.592,0.0,0.0,,4.7,8.0,0.592,1.1,3.1,0.368,9.1,8.5,17.6,1.2,2.6,2.2,1.7,3.3,10.6,,129,109
11,Miles McBride,23,44,3,556,8.7,19.7,0.443,4.4,10.9,0.402,4.3,8.7,0.495,1.8,2.2,0.8,1.1,2.9,3.9,3.9,2.2,0.3,1.5,4.5,23.6,,120,116
12,OG Anunoby,26,14,14,500,8.1,15.7,0.516,2.5,6.4,0.391,5.6,9.3,0.602,3.2,3.8,0.842,1.5,5.0,6.5,2.1,2.5,1.5,1.9,3.4,21.9,,123,112
13,Jericho Sims,25,30,9,342,3.8,5.4,0.703,0.0,0.0,,3.8,5.4,0.703,1.2,1.8,0.667,4.4,7.7,12.1,1.6,0.4,1.6,1.2,3.9,8.8,,142,115
14,Taj Gibson,38,16,1,165,2.1,7.0,0.304,0.0,1.8,0.0,2.1,5.1,0.412,0.6,0.6,1.0,3.0,5.4,8.5,2.7,0.6,1.8,1.5,8.5,4.8,,92,116
15,Alec Burks,32,5,1,101,8.9,26.7,0.333,4.9,14.3,0.345,4.0,12.3,0.32,4.0,5.4,0.727,1.0,4.0,4.9,2.0,0.0,0.0,3.5,3.0,26.7,,92,120
16,Bojan Bogdanović,34,4,0,98,10.2,21.9,0.465,5.1,10.7,0.476,5.1,11.2,0.455,3.1,5.1,0.6,0.0,4.6,4.6,0.5,2.0,0.5,1.0,4.6,28.5,,117,115
17,Malachi Flynn,25,14,0,60,7.5,19.1,0.391,3.3,10.8,0.308,4.2,8.3,0.5,7.5,9.1,0.818,0.0,5.0,5.0,5.0,0.8,0.0,2.5,2.5,25.8,,116,118
18,Ryan Arcidiacono,29,20,0,45,0.0,6.7,0.0,0.0,6.7,0.0,0.0,0.0,,0.0,0.0,,0.0,8.9,8.9,4.4,2.2,0.0,2.2,5.5,0.0,,33,113
19,Evan Fournier,31,3,0,39,5.1,25.6,0.2,2.6,19.2,0.133,2.6,6.4,0.4,2.6,2.6,1.0,0.0,5.1,5.1,3.8,5.1,0.0,1.3,5.1,15.4,,72,108
20,Jacob Toppin,23,7,0,34,7.3,13.2,0.556,1.5,5.9,0.25,5.9,7.3,0.8,2.9,2.9,1.0,4.4,4.4,8.8,2.9,0.0,1.5,1.5,4.4,19.1,,138,118
21,Charlie Brown Jr.,26,6,0,33,3.0,13.6,0.222,3.0,9.1,0.333,0.0,4.5,0.0,0.0,0.0,,1.5,1.5,3.0,0.0,0.0,3.0,3.0,7.6,9.1,,65,118
22,DaQuan Jeffries,26,12,0,31,8.0,20.9,0.385,1.6,9.7,0.167,6.4,11.3,0.571,0.0,3.2,0.0,0.0,8.0,8.0,3.2,0.0,0.0,1.6,3.2,17.7,,85,118
23,Dylan Windler,27,3,0,7,7.1,14.3,0.5,7.1,14.3,0.5,0.0,0.0,,0.0,0.0,,0.0,7.1,7.1,7.1,0.0,0.0,0.0,7.1,21.4,,169,118
24,Dmytro Skapintsev,25,2,0,2,0.0,24.9,0.0,0.0,0.0,,0.0,24.9,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,123
