Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 14_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 21_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 24_level_0,Dunks,Dunks,Unnamed: 27_level_0,Corner 3s,Corner 3s,Unnamed: 30_level_0,Heaves,Heaves
Rk,Player,Age,G,MP,FG%,Dist.,Unnamed: 7_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 14_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 21_level_1,2P,3P,Unnamed: 24_level_1,%FGA,#,Unnamed: 27_level_1,%3PA,3P%,Unnamed: 30_level_1,Att.,#
1,Jalen Brunson,27,54,1942,0.479,14.5,,0.681,0.123,0.274,0.181,0.103,0.319,,0.513,0.654,0.493,0.467,0.474,0.407,,0.218,0.58,,0.001,1,,0.12,0.476,,1,0
2,Josh Hart,28,56,1699,0.431,13.6,,0.583,0.284,0.169,0.1,0.029,0.417,,0.517,0.681,0.362,0.415,0.167,0.312,,0.61,0.887,,0.017,7,,0.253,0.349,,0,0
3,Julius Randle,29,46,1630,0.472,11.7,,0.708,0.266,0.291,0.115,0.037,0.292,,0.539,0.689,0.469,0.406,0.419,0.311,,0.423,0.868,,0.032,24,,0.148,0.528,,0,0
4,Donte DiVincenzo,27,56,1414,0.454,18.9,,0.307,0.194,0.079,0.022,0.012,0.693,,0.541,0.586,0.404,0.615,0.571,0.415,,0.596,0.93,,0.025,11,,0.254,0.495,,2,0
5,Isaiah Hartenstein,25,52,1315,0.621,3.1,,0.987,0.69,0.246,0.052,0.0,0.013,,0.624,0.7,0.509,0.167,,0.333,,0.615,1.0,,0.254,54,,0.0,,,0,0
6,Quentin Grimes,23,45,910,0.395,19.6,,0.259,0.171,0.045,0.01,0.031,0.741,,0.486,0.592,0.385,0.0,0.222,0.363,,0.75,0.961,,0.014,1,,0.325,0.391,,0,0
7,RJ Barrett,23,26,766,0.423,12.2,,0.665,0.278,0.255,0.093,0.039,0.335,,0.469,0.62,0.374,0.306,0.4,0.331,,0.537,1.0,,0.034,10,,0.377,0.388,,0,0
8,Immanuel Quickley,24,30,720,0.454,16.9,,0.516,0.101,0.203,0.152,0.06,0.484,,0.509,0.647,0.471,0.529,0.35,0.395,,0.398,0.719,,0.003,1,,0.278,0.289,,0,0
9,Precious Achiuwa,24,25,656,0.538,6.2,,0.834,0.609,0.183,0.036,0.006,0.166,,0.596,0.728,0.258,0.167,0.0,0.25,,0.536,0.857,,0.172,28,,0.607,0.294,,0,0
10,Mitchell Robinson,25,21,613,0.592,1.1,,1.0,0.918,0.082,0.0,0.0,0.0,,0.592,0.622,0.25,,,,,0.483,,,0.439,37,,,,,0,0
11,Miles McBride,23,44,556,0.443,17.3,,0.443,0.174,0.078,0.119,0.073,0.557,,0.495,0.684,0.529,0.385,0.188,0.402,,0.313,0.816,,0.037,6,,0.361,0.455,,0,0
12,OG Anunoby,26,14,500,0.516,12.2,,0.592,0.395,0.089,0.083,0.025,0.408,,0.602,0.71,0.357,0.385,0.5,0.391,,0.661,0.96,,0.172,24,,0.625,0.475,,0,0
13,Jericho Sims,25,30,342,0.703,2.0,,1.0,0.838,0.135,0.027,0.0,0.0,,0.703,0.806,0.2,0.0,,,,0.615,,,0.595,17,,,,,0,0
14,Taj Gibson,38,16,165,0.304,10.1,,0.739,0.391,0.217,0.0,0.13,0.261,,0.412,0.444,0.2,,0.667,0.0,,0.571,,,0.087,1,,1.0,0.0,,0,0
15,Alec Burks,32,5,101,0.333,18.0,,0.463,0.074,0.13,0.185,0.074,0.537,,0.32,0.0,0.714,0.2,0.25,0.345,,0.25,0.7,,0.0,0,,0.379,0.273,,0,0
