Rk,Unnamed: 1,Salary
1,Julius Randle,"$28,226,880"
2,Jalen Brunson,"$26,346,666"
3,Bojan Bogdanović,"$20,000,000"
4,OG Anunoby,"$18,642,857"
5,Mitchell Robinson,"$15,681,818"
6,Josh Hart,"$12,960,000"
7,Donte DiVincenzo,"$10,900,000"
8,Alec Burks,"$10,489,600"
9,Isaiah Hartenstein,"$9,245,121"
10,Precious Achiuwa,"$4,379,527"
11,Dylan Windler,"$2,019,706"
12,Jericho Sims,"$1,927,896"
13,Miles McBride,"$1,836,096"
14,DaQuan Jeffries,"$831,385"
15,Taj Gibson,"$477,630"
16,Taj Gibson,"$183,704"
17,Taj Gibson,"$183,704"
