Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
1,Jalen Brunson,27,54,1942,22.1,0.594,0.319,0.312,1.8,10.0,5.9,31.0,1.3,0.5,9.7,30.5,,5.7,1.8,7.5,0.185,,5.3,-0.4,4.9,3.4
2,Josh Hart,28,56,1699,10.7,0.524,0.417,0.15,4.8,21.7,13.2,14.1,1.3,0.8,14.7,12.8,,0.9,2.1,3.0,0.086,,-1.8,1.2,-0.6,0.6
3,Julius Randle,29,46,1630,18.8,0.569,0.292,0.361,6.8,22.3,14.5,22.6,0.8,0.7,14.1,29.6,,2.0,1.9,3.8,0.112,,2.1,-0.4,1.7,1.5
4,Donte DiVincenzo,27,56,1414,16.7,0.609,0.693,0.117,3.3,11.3,7.3,14.3,2.3,1.4,9.4,20.9,,2.6,1.8,4.4,0.149,,2.9,1.1,4.0,2.1
5,Isaiah Hartenstein,25,52,1315,17.3,0.654,0.013,0.444,15.0,22.7,18.8,10.6,2.2,4.0,18.0,11.0,,2.7,2.4,5.1,0.186,,-0.1,2.3,2.2,1.4
6,Quentin Grimes,23,45,910,9.4,0.543,0.741,0.119,1.7,9.1,5.4,7.7,1.6,0.3,6.5,15.1,,0.7,0.9,1.5,0.081,,-2.0,0.5,-1.6,0.1
7,RJ Barrett,23,26,766,14.3,0.536,0.335,0.32,2.8,13.5,8.1,12.6,0.8,1.1,9.6,27.3,,0.4,0.7,1.1,0.069,,-0.5,-1.7,-2.2,0.0
8,Immanuel Quickley,24,30,720,17.0,0.598,0.484,0.281,0.8,11.2,6.0,15.7,1.1,0.4,7.6,24.2,,1.6,0.6,2.2,0.147,,2.5,-0.3,2.3,0.8
9,Precious Achiuwa,24,25,656,14.6,0.575,0.166,0.172,13.9,17.9,15.9,5.0,1.1,3.7,11.7,13.4,,0.9,0.9,1.8,0.13,,-1.2,0.0,-1.2,0.1
10,Mitchell Robinson,25,21,613,16.1,0.567,0.0,0.388,20.4,19.0,19.7,3.2,2.6,4.1,15.5,9.5,,0.9,1.1,2.0,0.155,,-0.3,0.9,0.6,0.4
11,Miles McBride,23,44,556,13.3,0.572,0.557,0.114,2.4,6.5,4.4,11.5,2.2,0.5,6.9,19.0,,0.8,0.6,1.3,0.116,,-0.8,0.7,0.0,0.3
12,OG Anunoby,26,14,500,15.2,0.63,0.408,0.242,3.3,11.2,7.3,6.0,2.5,2.8,9.9,16.5,,0.7,0.7,1.4,0.139,,0.1,2.3,2.4,0.6
13,Jericho Sims,25,30,342,10.7,0.71,0.0,0.324,9.8,17.4,13.6,4.1,0.4,3.0,15.9,6.3,,0.5,0.4,0.9,0.124,,-2.2,0.2,-2.0,0.0
14,Taj Gibson,38,16,165,3.2,0.335,0.261,0.087,6.8,12.2,9.5,6.6,0.6,3.4,17.3,7.5,,-0.1,0.2,0.1,0.019,,-7.0,0.0,-7.0,-0.2
15,Alec Burks,32,5,101,5.2,0.459,0.537,0.204,2.2,8.9,5.5,5.8,0.0,0.0,10.6,27.9,,-0.2,0.1,-0.2,-0.073,,-5.3,-5.3,-10.6,-0.2
16,Bojan Bogdanović,34,4,98,13.9,0.591,0.488,0.233,0.0,10.3,5.1,1.5,2.0,0.9,4.0,21.5,,0.1,0.1,0.2,0.109,,-0.2,0.1,-0.1,0.0
17,Malachi Flynn,25,14,60,12.4,0.557,0.565,0.478,0.0,11.2,5.6,14.0,0.8,0.0,9.7,22.0,,0.1,0.0,0.1,0.092,,-1.7,-0.9,-2.6,0.0
18,Ryan Arcidiacono,29,20,45,-1.9,0.0,1.0,0.0,0.0,19.9,9.9,10.3,2.2,0.0,25.0,7.6,,-0.1,0.1,-0.1,-0.089,,-11.7,1.9,-9.8,-0.1
19,Evan Fournier,31,3,39,2.2,0.287,0.75,0.1,0.0,11.5,5.7,10.1,5.1,0.0,4.6,24.0,,-0.2,0.1,-0.1,-0.107,,-12.0,0.3,-11.6,-0.1
20,Jacob Toppin,23,7,34,14.6,0.658,0.444,0.222,9.8,9.9,9.9,8.2,0.0,2.7,9.2,13.7,,0.1,0.0,0.1,0.157,,0.5,-1.7,-1.2,0.0
21,Charlie Brown Jr.,26,6,33,-2.4,0.333,0.667,0.0,3.4,3.4,3.4,0.0,0.0,5.6,18.2,14.2,,-0.1,0.0,-0.1,-0.109,,-9.9,-3.0,-12.9,-0.1
22,DaQuan Jeffries,26,12,31,3.6,0.396,0.462,0.154,0.0,18.1,9.0,9.2,0.0,0.0,6.7,20.5,,-0.1,0.0,0.0,-0.073,,-6.1,-2.2,-8.3,0.0
23,Dylan Windler,27,3,7,15.4,0.75,1.0,0.0,0.0,16.0,8.0,19.8,0.0,0.0,0.0,12.2,,0.0,0.0,0.0,0.236,,3.6,3.8,7.5,0.0
24,Dmytro Skapintsev,25,2,2,-19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4,,0.0,0.0,0.0,-0.476,,-16.3,-9.9,-26.1,0.0
