Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jalen Brunson,27,54,54,1942,9.8,20.4,0.479,2.7,6.5,0.407,7.1,13.9,0.513,5.4,6.4,0.843,0.6,3.2,3.8,6.6,0.9,0.2,2.5,2.0,27.6
2,Josh Hart,28,56,17,1699,3.7,8.6,0.431,1.1,3.6,0.312,2.6,5.0,0.517,1.1,1.3,0.836,1.5,7.0,8.5,3.9,0.9,0.3,1.6,2.2,9.7
3,Julius Randle,29,46,46,1630,8.7,18.5,0.472,1.7,5.4,0.311,7.0,13.1,0.539,5.2,6.7,0.781,2.2,7.2,9.3,5.1,0.6,0.3,3.5,2.8,24.3
4,Donte DiVincenzo,27,56,38,1414,6.9,15.2,0.454,4.4,10.5,0.415,2.5,4.7,0.541,1.3,1.8,0.729,1.1,3.6,4.7,3.5,1.7,0.5,1.7,2.8,19.5
5,Isaiah Hartenstein,25,52,26,1315,3.9,6.4,0.621,0.0,0.1,0.333,3.9,6.3,0.624,2.0,2.8,0.718,4.8,7.3,12.1,2.9,1.6,1.5,1.7,4.1,9.9
6,Quentin Grimes,23,45,18,910,4.5,11.3,0.395,3.0,8.4,0.363,1.4,2.9,0.486,0.9,1.3,0.706,0.6,2.9,3.5,2.1,1.2,0.1,0.8,2.6,12.9
7,RJ Barrett,23,26,26,766,7.7,18.2,0.423,2.0,6.1,0.331,5.7,12.1,0.469,4.8,5.8,0.831,0.9,4.3,5.2,3.0,0.6,0.4,2.2,2.1,22.3
8,Immanuel Quickley,24,30,0,720,7.6,16.7,0.454,3.2,8.1,0.395,4.4,8.6,0.509,4.1,4.7,0.872,0.2,3.6,3.8,3.7,0.8,0.1,1.5,2.2,22.5
9,Precious Achiuwa,24,25,11,656,5.0,9.3,0.538,0.4,1.5,0.25,4.6,7.7,0.596,1.1,1.6,0.69,4.5,5.8,10.3,1.3,0.8,1.4,1.3,2.9,11.5
10,Mitchell Robinson,25,21,21,613,3.4,5.8,0.592,0.0,0.0,,3.4,5.8,0.592,0.8,2.2,0.368,6.6,6.1,12.7,0.9,1.9,1.6,1.2,2.3,7.6
11,Miles McBride,23,44,3,556,6.3,14.2,0.443,3.2,7.9,0.402,3.1,6.3,0.495,1.3,1.6,0.8,0.8,2.1,2.8,2.8,1.6,0.2,1.1,3.2,17.0
12,OG Anunoby,26,14,14,500,5.8,11.3,0.516,1.8,4.6,0.391,4.0,6.7,0.602,2.3,2.7,0.842,1.1,3.6,4.7,1.5,1.8,1.1,1.4,2.4,15.8
13,Jericho Sims,25,30,9,342,2.7,3.9,0.703,0.0,0.0,,2.7,3.9,0.703,0.8,1.3,0.667,3.2,5.6,8.7,1.2,0.3,1.2,0.8,2.8,6.3
14,Taj Gibson,38,16,1,165,1.5,5.0,0.304,0.0,1.3,0.0,1.5,3.7,0.412,0.4,0.4,1.0,2.2,3.9,6.1,2.0,0.4,1.3,1.1,6.1,3.5
15,Alec Burks,32,5,1,101,6.4,19.2,0.333,3.6,10.3,0.345,2.9,8.9,0.32,2.9,3.9,0.727,0.7,2.9,3.6,1.4,0.0,0.0,2.5,2.1,19.2
16,Bojan Bogdanović,34,4,0,98,7.3,15.8,0.465,3.7,7.7,0.476,3.7,8.1,0.455,2.2,3.7,0.6,0.0,3.3,3.3,0.4,1.5,0.4,0.7,3.3,20.6
17,Malachi Flynn,25,14,0,60,5.4,13.8,0.391,2.4,7.8,0.308,3.0,6.0,0.5,5.4,6.6,0.818,0.0,3.6,3.6,3.6,0.6,0.0,1.8,1.8,18.6
18,Ryan Arcidiacono,29,20,0,45,0.0,4.8,0.0,0.0,4.8,0.0,0.0,0.0,,0.0,0.0,,0.0,6.4,6.4,3.2,1.6,0.0,1.6,4.0,0.0
19,Evan Fournier,31,3,0,39,3.7,18.5,0.2,1.8,13.8,0.133,1.8,4.6,0.4,1.8,1.8,1.0,0.0,3.7,3.7,2.8,3.7,0.0,0.9,3.7,11.1
20,Jacob Toppin,23,7,0,34,5.3,9.5,0.556,1.1,4.2,0.25,4.2,5.3,0.8,2.1,2.1,1.0,3.2,3.2,6.4,2.1,0.0,1.1,1.1,3.2,13.8
21,Charlie Brown Jr.,26,6,0,33,2.2,9.8,0.222,2.2,6.5,0.333,0.0,3.3,0.0,0.0,0.0,,1.1,1.1,2.2,0.0,0.0,2.2,2.2,5.5,6.5
22,DaQuan Jeffries,26,12,0,31,5.8,15.1,0.385,1.2,7.0,0.167,4.6,8.1,0.571,0.0,2.3,0.0,0.0,5.8,5.8,2.3,0.0,0.0,1.2,2.3,12.8
23,Dylan Windler,27,3,0,7,5.1,10.3,0.5,5.1,10.3,0.5,0.0,0.0,,0.0,0.0,,0.0,5.1,5.1,5.1,0.0,0.0,0.0,5.1,15.4
24,Dmytro Skapintsev,25,2,0,2,0.0,18.0,0.0,0.0,0.0,,0.0,18.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
