Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Rk,Player,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Bam Adebayo,26,46,1592,,,,,100%,-0.2,-1.6,39,27,55,25,136,4,469,28,35
2,Jaime Jaquez Jr.,22,50,1471,5%,37%,49%,9%,,1.9,3.0,41,24,65,6,60,6,308,15,45
3,Duncan Robinson,29,51,1402,,17%,58%,25%,,1.0,1.0,35,12,63,6,22,7,331,4,24
4,Jimmy Butler,34,38,1281,,,13%,87%,1%,3.6,5.9,35,23,18,5,134,5,458,27,41
5,Tyler Herro,24,36,1209,46%,53%,1%,,,-1.6,-3.8,43,25,27,4,35,1,379,9,41
6,Josh Richardson,30,43,1103,44%,51%,6%,,,-4.2,-8.0,23,1,35,5,16,6,249,4,9
7,Caleb Martin,28,39,1041,7%,62%,30%,1%,,1.3,1.2,23,12,36,4,32,13,215,8,26
8,Kyle Lowry,37,37,1037,100%,,,,,0.5,-0.1,37,9,53,3,16,20,350,2,13
9,Haywood Highsmith,27,41,867,,1%,61%,38%,,-0.2,-1.0,15,3,52,4,7,2,109,2,11
10,Kevin Love,35,45,793,,,,36%,64%,5.4,7.0,25,4,50,1,33,14,231,5,6
11,Nikola Jović,20,23,385,,,,76%,24%,11.2,12.4,13,5,19,3,10,5,107,2,4
12,Terry Rozier,29,10,299,100%,,,,,-5.5,-6.7,7,3,8,1,12,3,136,4,5
13,Thomas Bryant,26,25,259,,,,1%,99%,-6.5,-7.8,2,1,12,7,11,0,39,2,4
14,Orlando Robinson,23,24,239,,,,,100%,1.5,1.1,6,1,19,5,10,0,66,2,6
15,Jamal Cain,24,16,225,,,28%,73%,,-5.5,-6.5,1,0,7,0,12,1,9,1,3
16,Dru Smith,26,9,131,72%,28%,,,,-14.1,-15.4,5,0,6,0,1,3,33,0,1
17,R.J. Hampton,22,8,76,91%,9%,,,,9.2,9.0,3,0,6,0,1,0,20,0,1
18,Cole Swider,24,10,50,,40%,43%,16%,,4.1,3.6,2,4,1,0,1,0,8,0,0
19,Alondes Williams,24,1,6,100%,,,,,-14.3,-14.8,0,1,0,0,0,0,0,0,0
