Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1,Bam Adebayo,26,46,46,1592,11.0,21.6,0.512,0.0,0.3,0.091,11.0,21.2,0.519,6.9,8.9,0.78,3.2,11.9,15.1,5.9,1.5,1.4,3.5,3.5,29.1,,114,110
2,Jaime Jaquez Jr.,22,50,16,1471,8.3,17.0,0.488,1.5,4.8,0.315,6.8,12.2,0.557,3.4,4.1,0.821,2.1,4.5,6.6,4.3,1.8,0.4,2.8,3.9,21.5,,111,115
3,Duncan Robinson,29,51,19,1402,8.4,18.3,0.458,5.1,12.4,0.413,3.2,5.9,0.554,2.3,2.6,0.89,0.4,3.9,4.2,5.1,1.1,0.4,2.5,4.1,24.2,,116,116
4,Jimmy Butler,34,38,38,1281,9.9,19.6,0.502,1.5,3.3,0.447,8.4,16.4,0.513,10.3,12.0,0.861,3.0,5.2,8.2,6.8,2.0,0.5,2.6,1.5,31.5,,130,114
5,Tyler Herro,24,36,36,1209,11.6,26.5,0.437,4.8,12.0,0.399,6.8,14.5,0.468,2.7,3.2,0.835,0.7,7.1,7.8,6.5,1.2,0.1,3.2,2.1,30.7,,107,115
6,Josh Richardson,30,43,6,1103,6.9,15.6,0.444,3.0,8.5,0.347,4.0,7.0,0.561,2.3,2.4,0.944,0.8,4.6,5.4,4.7,1.1,0.6,1.6,3.4,19.1,,116,116
7,Caleb Martin,28,39,18,1041,7.1,15.7,0.45,2.0,5.8,0.352,5.0,9.9,0.507,2.3,3.0,0.75,2.3,6.1,8.4,4.0,1.4,0.6,2.2,3.8,18.5,,109,114
8,Kyle Lowry,37,37,35,1037,4.9,11.6,0.426,3.0,7.7,0.385,2.0,3.9,0.506,1.7,2.0,0.833,1.2,5.0,6.2,7.0,1.9,0.7,2.5,4.5,14.5,,115,114
9,Haywood Highsmith,27,41,24,867,5.0,11.7,0.426,2.6,6.9,0.372,2.4,4.7,0.506,1.2,1.5,0.808,2.0,4.7,6.7,2.5,2.2,1.2,1.4,4.6,13.7,,112,112
10,Kevin Love,35,45,5,793,7.9,18.1,0.434,4.4,12.7,0.343,3.5,5.4,0.651,4.7,6.1,0.776,3.0,14.7,17.7,6.4,1.0,0.5,2.2,5.1,24.9,,123,110
11,Nikola Jović,20,23,15,385,6.0,14.1,0.427,3.3,7.2,0.464,2.7,6.9,0.389,1.8,3.1,0.583,2.2,10.0,12.2,5.7,0.9,1.0,2.8,5.5,17.2,,109,113
12,Terry Rozier,29,10,9,299,7.6,21.2,0.359,1.8,7.8,0.234,5.8,13.4,0.432,3.8,4.0,0.958,1.7,5.8,7.5,9.3,1.3,0.3,1.8,3.1,20.9,,107,115
13,Thomas Bryant,26,25,3,259,8.4,14.7,0.571,0.0,0.8,0.0,8.4,14.0,0.603,3.4,4.2,0.818,4.8,9.9,14.7,2.9,1.1,1.0,2.9,5.0,20.3,,118,112
14,Orlando Robinson,23,24,7,239,6.6,12.8,0.516,1.5,2.7,0.538,5.2,10.2,0.51,3.7,5.0,0.75,3.9,9.7,13.7,5.6,1.2,1.5,2.9,6.4,18.4,,121,111
15,Jamal Cain,24,16,1,225,6.4,15.2,0.42,1.8,5.7,0.308,4.6,9.5,0.488,4.0,5.1,0.783,2.9,4.2,7.0,0.9,2.2,0.9,1.1,3.7,18.5,,111,113
16,Dru Smith,26,9,0,131,5.7,12.5,0.455,2.6,6.4,0.412,3.0,6.0,0.5,0.8,0.8,1.0,2.3,3.0,5.3,5.3,3.4,1.1,1.9,4.5,14.7,,118,111
17,R.J. Hampton,22,8,2,76,2.6,9.1,0.286,0.7,5.2,0.125,2.0,3.9,0.5,0.7,1.3,0.5,1.3,2.6,3.9,5.2,0.0,0.0,2.0,5.2,6.5,,84,120
18,Cole Swider,24,10,0,50,8.9,22.8,0.391,5.0,16.8,0.294,4.0,5.9,0.667,2.0,2.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,5.9,2.0,24.8,,88,117
19,Alondes Williams,24,1,0,6,0.0,8.3,0.0,0.0,8.3,0.0,0.0,0.0,,0.0,0.0,,0.0,8.3,8.3,0.0,0.0,0.0,8.3,0.0,0.0,,0,117
