Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 14_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 21_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 24_level_0,Dunks,Dunks,Unnamed: 27_level_0,Corner 3s,Corner 3s,Unnamed: 30_level_0,Heaves,Heaves
Rk,Player,Age,G,MP,FG%,Dist.,Unnamed: 7_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 14_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 21_level_1,2P,3P,Unnamed: 24_level_1,%FGA,#,Unnamed: 27_level_1,%3PA,3P%,Unnamed: 30_level_1,Att.,#
1,Bam Adebayo,26,46,1592,0.512,8.3,,0.984,0.248,0.351,0.299,0.087,0.016,,0.519,0.738,0.481,0.425,0.367,0.091,,0.582,1.0,,0.157,95,,0.0,,,0,0
2,Jaime Jaquez Jr.,22,50,1471,0.488,10.5,,0.716,0.3,0.337,0.067,0.012,0.284,,0.557,0.675,0.488,0.412,0.333,0.315,,0.512,0.978,,0.058,24,,0.538,0.299,,1,0
3,Duncan Robinson,29,51,1402,0.458,19.2,,0.321,0.133,0.149,0.031,0.008,0.679,,0.554,0.667,0.494,0.5,0.0,0.413,,0.739,0.903,,0.006,3,,0.225,0.456,,2,0
4,Jimmy Butler,34,38,1281,0.502,9.6,,0.833,0.266,0.358,0.156,0.053,0.167,,0.513,0.674,0.467,0.354,0.481,0.447,,0.456,0.763,,0.051,24,,0.435,0.459,,0,0
5,Tyler Herro,24,36,1209,0.437,17.2,,0.548,0.086,0.188,0.165,0.108,0.452,,0.468,0.589,0.459,0.467,0.386,0.399,,0.41,0.803,,0.008,3,,0.119,0.457,,1,0
6,Josh Richardson,30,43,1103,0.444,17.9,,0.452,0.118,0.159,0.101,0.075,0.548,,0.561,0.683,0.582,0.457,0.462,0.347,,0.511,0.97,,0.023,7,,0.226,0.395,,1,0
7,Caleb Martin,28,39,1041,0.45,13.7,,0.631,0.233,0.236,0.079,0.085,0.369,,0.507,0.597,0.487,0.308,0.5,0.352,,0.585,0.884,,0.045,13,,0.344,0.357,,2,0
8,Kyle Lowry,37,37,1037,0.426,19.6,,0.335,0.116,0.124,0.062,0.033,0.665,,0.506,0.607,0.5,0.2,0.75,0.385,,0.488,0.823,,0.0,0,,0.224,0.472,,2,0
9,Haywood Highsmith,27,41,867,0.426,16.9,,0.407,0.172,0.186,0.025,0.025,0.593,,0.506,0.6,0.447,0.6,0.2,0.372,,0.667,1.0,,0.054,10,,0.43,0.423,,0,0
10,Kevin Love,35,45,793,0.434,19.8,,0.297,0.134,0.114,0.014,0.034,0.703,,0.651,0.821,0.545,0.75,0.3,0.343,,0.589,0.986,,0.0,0,,0.127,0.231,,0,0
11,Nikola Jović,20,23,385,0.427,15.3,,0.491,0.209,0.227,0.045,0.009,0.509,,0.389,0.391,0.48,0.0,0.0,0.464,,0.619,0.808,,0.0,0,,0.179,0.6,,0,0
12,Terry Rozier,29,10,299,0.359,14.6,,0.633,0.133,0.227,0.188,0.086,0.367,,0.432,0.412,0.448,0.417,0.455,0.234,,0.286,0.909,,0.0,0,,0.447,0.333,,0,0
13,Thomas Bryant,26,25,259,0.571,5.9,,0.948,0.481,0.312,0.091,0.065,0.052,,0.603,0.757,0.542,0.429,0.0,0.0,,0.682,,,0.286,20,,0.25,0.0,,0,0
14,Orlando Robinson,23,24,239,0.516,9.2,,0.79,0.371,0.339,0.048,0.032,0.21,,0.51,0.652,0.476,0.0,0.0,0.538,,0.68,1.0,,0.113,5,,0.154,1.0,,0,0
15,Jamal Cain,24,16,225,0.42,12.7,,0.623,0.246,0.232,0.101,0.043,0.377,,0.488,0.647,0.313,0.429,0.667,0.308,,0.667,0.875,,0.087,5,,0.654,0.294,,0,0
16,Dru Smith,26,9,131,0.455,15.4,,0.485,0.273,0.121,0.061,0.03,0.515,,0.5,0.667,0.5,0.0,0.0,0.412,,0.5,0.857,,0.0,0,,0.235,0.75,,0,0
17,R.J. Hampton,22,8,76,0.286,17.0,,0.429,0.143,0.143,0.143,0.0,0.571,,0.5,0.5,0.5,0.5,,0.125,,0.333,1.0,,0.0,0,,0.375,0.0,,0,0
18,Cole Swider,24,10,50,0.391,21.1,,0.261,0.13,0.043,0.043,0.043,0.739,,0.667,1.0,0.0,1.0,0.0,0.294,,0.75,1.0,,0.087,2,,0.176,0.333,,0,0
19,Alondes Williams,24,1,6,0.0,27.7,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,0.0,,,,,0.0,0,,0.0,,,0,0
