Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Bam Adebayo,26,46,46,1592,8.0,15.7,0.512,0.0,0.2,0.091,8.0,15.4,0.519,5.0,6.5,0.78,2.4,8.6,11.0,4.3,1.1,1.0,2.5,2.6,21.1
2,Jaime Jaquez Jr.,22,50,16,1471,6.0,12.3,0.488,1.1,3.5,0.315,4.9,8.8,0.557,2.5,3.0,0.821,1.5,3.3,4.8,3.1,1.3,0.3,2.0,2.9,15.6
3,Duncan Robinson,29,51,19,1402,6.1,13.3,0.458,3.7,9.0,0.413,2.4,4.3,0.554,1.7,1.9,0.89,0.3,2.8,3.1,3.7,0.8,0.3,1.8,3.0,17.6
4,Jimmy Butler,34,38,38,1281,7.2,14.3,0.502,1.1,2.4,0.447,6.1,11.9,0.513,7.5,8.7,0.861,2.2,3.8,5.9,4.9,1.5,0.3,1.9,1.1,22.9
5,Tyler Herro,24,36,36,1209,8.4,19.3,0.437,3.5,8.7,0.399,4.9,10.6,0.468,2.0,2.4,0.835,0.5,5.2,5.7,4.7,0.9,0.1,2.3,1.5,22.3
6,Josh Richardson,30,43,6,1103,5.0,11.3,0.444,2.2,6.2,0.347,2.9,5.1,0.561,1.7,1.8,0.944,0.6,3.4,3.9,3.4,0.8,0.5,1.2,2.5,13.9
7,Caleb Martin,28,39,18,1041,5.2,11.4,0.45,1.5,4.2,0.352,3.7,7.2,0.507,1.7,2.2,0.75,1.7,4.4,6.1,2.9,1.0,0.4,1.6,2.8,13.5
8,Kyle Lowry,37,37,35,1037,3.6,8.4,0.426,2.2,5.6,0.385,1.4,2.8,0.506,1.2,1.5,0.833,0.9,3.6,4.5,5.1,1.4,0.5,1.8,3.3,10.5
9,Haywood Highsmith,27,41,24,867,3.6,8.5,0.426,1.9,5.0,0.372,1.7,3.4,0.506,0.9,1.1,0.808,1.5,3.4,4.9,1.8,1.6,0.9,1.0,3.4,10.0
10,Kevin Love,35,45,5,793,5.7,13.2,0.434,3.2,9.3,0.343,2.5,3.9,0.651,3.5,4.4,0.776,2.2,10.7,12.8,4.6,0.7,0.4,1.6,3.7,18.1
11,Nikola Jović,20,23,15,385,4.4,10.3,0.427,2.4,5.2,0.464,2.0,5.0,0.389,1.3,2.2,0.583,1.6,7.3,8.9,4.1,0.7,0.7,2.1,4.0,12.5
12,Terry Rozier,29,10,9,299,5.5,15.4,0.359,1.3,5.7,0.234,4.2,9.8,0.432,2.8,2.9,0.958,1.2,4.2,5.4,6.7,1.0,0.2,1.3,2.3,15.2
13,Thomas Bryant,26,25,3,259,6.1,10.7,0.571,0.0,0.6,0.0,6.1,10.1,0.603,2.5,3.1,0.818,3.5,7.2,10.7,2.1,0.8,0.7,2.1,3.6,14.7
14,Orlando Robinson,23,24,7,239,4.8,9.3,0.516,1.1,2.0,0.538,3.8,7.4,0.51,2.7,3.6,0.75,2.9,7.1,9.9,4.1,0.9,1.1,2.1,4.7,13.4
15,Jamal Cain,24,16,1,225,4.6,11.0,0.42,1.3,4.2,0.308,3.4,6.9,0.488,2.9,3.7,0.783,2.1,3.0,5.1,0.6,1.6,0.6,0.8,2.7,13.4
16,Dru Smith,26,9,0,131,4.1,9.1,0.455,1.9,4.7,0.412,2.2,4.4,0.5,0.5,0.5,1.0,1.6,2.2,3.8,3.8,2.5,0.8,1.4,3.3,10.7
17,R.J. Hampton,22,8,2,76,1.9,6.6,0.286,0.5,3.8,0.125,1.4,2.8,0.5,0.5,0.9,0.5,0.9,1.9,2.8,3.8,0.0,0.0,1.4,3.8,4.7
18,Cole Swider,24,10,0,50,6.5,16.6,0.391,3.6,12.2,0.294,2.9,4.3,0.667,1.4,1.4,1.0,0.7,1.4,2.2,2.9,0.7,0.7,4.3,1.4,18.0
19,Alondes Williams,24,1,0,6,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,,0.0,0.0,,0.0,6.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0
