Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
1,Bam Adebayo,26,46,1592,19.8,0.57,0.016,0.413,7.3,27.5,17.2,19.7,1.5,2.8,12.0,25.8,,1.7,2.7,4.5,0.135,,0.6,1.6,2.2,1.7
2,Jaime Jaquez Jr.,22,50,1471,12.5,0.572,0.284,0.244,4.8,10.4,7.5,13.2,1.8,0.7,12.9,19.3,,0.7,1.7,2.4,0.078,,-2.5,0.0,-2.4,-0.2
3,Duncan Robinson,29,51,1402,12.8,0.623,0.679,0.141,0.9,8.9,4.8,15.6,1.1,0.8,11.3,19.5,,1.4,1.4,2.8,0.095,,0.1,-0.6,-0.5,0.5
4,Jimmy Butler,34,38,1281,22.7,0.632,0.167,0.61,6.7,12.0,9.3,22.0,2.0,0.9,9.3,24.5,,4.2,1.6,5.8,0.217,,4.4,0.6,5.0,2.3
5,Tyler Herro,24,36,1209,15.2,0.549,0.452,0.122,1.7,16.4,8.9,22.1,1.2,0.2,10.1,27.8,,0.0,1.4,1.4,0.055,,1.3,-0.8,0.5,0.8
6,Josh Richardson,30,43,1103,11.3,0.573,0.548,0.156,1.8,10.7,6.2,13.9,1.1,1.2,8.9,16.3,,0.9,1.1,2.0,0.088,,-1.4,0.0,-1.5,0.2
7,Caleb Martin,28,39,1041,11.2,0.542,0.369,0.193,5.1,14.1,9.5,11.8,1.4,1.1,11.4,17.2,,0.2,1.3,1.5,0.069,,-2.2,0.1,-2.1,0.0
8,Kyle Lowry,37,37,1037,10.8,0.582,0.665,0.174,2.7,11.5,7.0,19.5,1.9,1.4,16.9,13.4,,0.7,1.3,2.0,0.094,,-2.1,1.2,-0.9,0.3
9,Haywood Highsmith,27,41,867,9.7,0.557,0.593,0.127,4.5,10.8,7.6,6.8,2.2,2.4,10.4,12.3,,0.3,1.2,1.6,0.086,,-2.7,1.4,-1.3,0.2
10,Kevin Love,35,45,793,18.1,0.597,0.703,0.338,6.7,33.9,20.1,19.3,1.0,1.0,9.5,20.5,,1.6,1.3,2.9,0.173,,2.7,1.1,3.8,1.2
11,Nikola Jović,20,23,385,11.2,0.556,0.509,0.218,4.9,23.2,13.9,16.3,0.9,2.0,15.4,16.4,,0.1,0.5,0.6,0.08,,-2.2,1.4,-0.8,0.1
12,Terry Rozier,29,10,299,12.3,0.455,0.367,0.188,3.7,13.4,8.5,27.9,1.3,0.7,7.4,22.1,,0.0,0.3,0.3,0.055,,-1.8,0.0,-1.8,0.0
13,Thomas Bryant,26,25,259,15.1,0.611,0.052,0.286,10.7,23.0,16.8,8.8,1.1,1.9,14.8,17.4,,0.3,0.4,0.7,0.123,,-2.3,-0.4,-2.7,0.0
14,Orlando Robinson,23,24,239,14.9,0.613,0.21,0.387,8.8,22.5,15.6,16.4,1.2,2.8,16.2,16.0,,0.3,0.4,0.7,0.143,,-1.6,1.0,-0.6,0.1
15,Jamal Cain,24,16,225,11.2,0.531,0.377,0.333,6.4,9.7,8.0,2.6,2.2,1.7,5.9,16.5,,0.1,0.3,0.4,0.084,,-2.9,0.2,-2.7,0.0
16,Dru Smith,26,9,131,12.7,0.576,0.515,0.061,5.1,7.0,6.0,15.0,3.4,2.2,12.9,13.1,,0.1,0.2,0.3,0.12,,-1.9,3.1,1.2,0.1
17,R.J. Hampton,22,8,76,0.8,0.336,0.571,0.143,2.9,6.0,4.5,13.6,0.0,0.0,16.8,10.4,,-0.1,0.0,-0.1,-0.041,,-8.2,-1.4,-9.6,-0.1
18,Cole Swider,24,10,50,7.1,0.523,0.739,0.087,2.2,4.6,3.4,12.4,1.0,1.9,20.1,26.4,,-0.1,0.0,-0.1,-0.083,,-2.7,-2.3,-5.1,0.0
19,Alondes Williams,24,1,6,-12.7,0.0,1.0,0.0,0.0,19.1,9.4,0.0,0.0,0.0,50.0,14.7,,-0.1,0.0,0.0,-0.374,,-17.2,-4.1,-21.4,0.0
