Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
1,Stephen Curry,35,53,1769,21.1,0.631,0.605,0.255,1.5,12.1,6.8,24.4,1.2,1.0,12.1,31.3,,4.1,1.3,5.5,0.149,,6.6,-1.1,5.5,3.3
2,Klay Thompson,33,53,1608,12.4,0.559,0.604,0.132,1.7,10.6,6.2,10.5,0.9,1.5,9.0,23.1,,0.8,1.1,1.9,0.056,,0.1,-1.6,-1.5,0.2
3,Jonathan Kuminga,21,55,1408,16.4,0.597,0.214,0.379,5.4,14.4,10.0,11.8,1.3,1.6,11.2,23.6,,1.8,1.3,3.0,0.104,,-0.1,-0.5,-0.7,0.5
4,Andrew Wiggins,28,51,1388,11.9,0.539,0.307,0.234,6.2,10.8,8.5,8.9,1.0,1.7,9.5,20.1,,0.7,1.0,1.7,0.058,,-1.8,-1.2,-3.0,-0.4
5,Brandin Podziemski,20,50,1332,13.2,0.541,0.394,0.142,6.3,17.4,11.9,19.5,1.5,0.5,12.3,16.3,,1.4,1.3,2.7,0.096,,-0.4,0.3,-0.1,0.6
6,Dario Šarić,29,54,1016,16.0,0.608,0.508,0.242,7.3,21.4,14.4,18.0,1.4,0.8,14.3,19.3,,1.7,1.1,2.8,0.133,,1.2,0.6,1.7,1.0
7,Kevon Looney,27,56,986,15.1,0.627,0.005,0.337,13.6,24.4,19.1,15.2,1.1,1.7,16.3,10.7,,2.1,1.2,3.3,0.161,,-0.5,1.3,0.8,0.7
8,Chris Paul,38,32,882,14.2,0.543,0.486,0.171,1.2,13.5,7.4,33.5,2.0,0.3,12.6,14.3,,1.7,0.8,2.5,0.137,,0.1,1.1,1.2,0.7
9,Draymond Green,33,32,850,14.9,0.609,0.357,0.203,5.1,22.5,13.9,29.2,1.5,3.1,24.0,16.0,,1.0,1.1,2.1,0.118,,0.1,2.9,3.0,1.1
10,Moses Moody,21,42,706,13.9,0.577,0.475,0.228,7.0,11.9,9.4,6.4,1.8,1.9,8.9,18.5,,0.8,0.7,1.4,0.097,,0.0,0.1,0.1,0.4
11,Trayce Jackson-Davis,23,43,556,21.6,0.681,0.0,0.431,14.1,19.7,16.9,10.8,1.1,5.8,11.9,17.7,,1.5,0.7,2.3,0.196,,1.1,0.9,2.0,0.6
12,Gary Payton II,31,22,345,14.1,0.589,0.363,0.127,7.6,12.5,10.0,8.2,3.2,1.8,10.0,14.5,,0.4,0.5,0.9,0.12,,-1.3,2.6,1.3,0.3
13,Cory Joseph,32,26,296,6.1,0.47,0.656,0.109,2.2,8.7,5.5,17.4,0.7,0.9,15.2,11.2,,0.0,0.2,0.2,0.03,,-4.0,-0.7,-4.7,-0.2
14,Lester Quinones,23,22,283,9.8,0.539,0.582,0.253,6.9,13.3,10.1,12.4,0.9,0.6,12.9,17.2,,0.2,0.2,0.4,0.062,,-2.5,-0.9,-3.4,-0.1
15,Gui Santos,21,14,118,17.2,0.665,0.441,0.441,11.1,20.0,15.6,7.9,1.2,1.5,9.0,15.8,,0.3,0.1,0.5,0.192,,0.7,0.1,0.8,0.1
16,Jerome Robinson,26,11,36,2.1,0.322,0.583,0.667,3.0,6.0,4.5,6.6,0.0,2.5,0.0,18.0,,-0.1,0.0,-0.1,-0.072,,-8.2,-3.9,-12.2,-0.1
17,Usman Garuba,21,3,8,6.1,0.0,0.0,0.0,13.6,0.0,6.8,14.0,6.0,0.0,0.0,5.2,,0.0,0.0,0.0,0.069,,-6.5,3.5,-3.0,0.0
18,Pat Spencer,27,1,2,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,-7.0,-1.5,-8.5,0.0
