Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Rk,Player,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Stephen Curry,35,53,1769,76%,24%,,,,0.5,-4.1,86,46,50,14,95,12,621,31,36
2,Klay Thompson,33,53,1608,,32%,61%,7%,,-1.6,-8.6,41,18,61,9,43,1,265,11,19
3,Jonathan Kuminga,21,55,1408,,,2%,70%,28%,4.4,5.2,32,28,45,13,120,11,278,28,51
4,Andrew Wiggins,28,51,1388,,,68%,32%,,-2.5,-8.9,22,26,59,8,63,11,232,8,31
5,Brandin Podziemski,20,50,1332,15%,76%,9%,,,6.8,9.6,39,13,47,4,26,34,472,9,23
6,Dario Šarić,29,54,1016,,,,,100%,0.1,-2.9,32,17,71,10,39,5,319,8,24
7,Kevon Looney,27,56,986,,,,16%,84%,-1.8,-5.7,15,13,66,11,32,1,292,10,21
8,Chris Paul,38,32,882,100%,,,,,4.9,4.5,26,8,21,0,11,3,562,4,6
9,Draymond Green,33,32,850,,,4%,84%,12%,5.2,4.8,56,9,50,12,19,23,451,5,13
10,Moses Moody,21,42,706,,32%,66%,2%,,0.7,-1.7,14,8,24,3,30,9,78,9,15
11,Trayce Jackson-Davis,23,43,556,,,,36%,64%,4.3,3.1,11,4,44,12,41,0,105,12,19
12,Gary Payton II,31,22,345,3%,83%,15%,,,9.7,8.9,4,2,21,3,5,1,54,1,6
13,Cory Joseph,32,26,296,85%,15%,1%,,,-0.4,-2.6,6,2,15,1,1,3,109,0,2
14,Lester Quinones,23,22,283,3%,74%,19%,4%,,5.9,4.4,8,1,18,2,10,7,61,1,7
15,Gui Santos,21,14,118,,,24%,63%,13%,5.3,3.6,3,0,13,0,7,0,17,1,3
16,Jerome Robinson,26,11,36,38%,62%,,,,13.4,11.6,0,0,1,0,2,0,4,0,0
17,Usman Garuba,21,3,8,,,,22%,78%,-29.4,-31.4,0,0,2,0,0,0,2,0,1
18,Pat Spencer,27,1,2,100%,,,,,-100.0,-101.9,0,0,0,0,0,0,0,0,0
