Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1,Stephen Curry,35,53,53,1769,13.1,28.5,0.459,7.1,17.3,0.414,5.9,11.3,0.528,6.7,7.3,0.921,0.7,5.4,6.1,7.3,1.2,0.5,4.4,2.6,40.0,,121.0,118
2,Klay Thompson,33,53,49,1608,9.6,22.9,0.418,5.2,13.9,0.372,4.4,9.1,0.488,2.8,3.0,0.921,0.7,4.8,5.5,3.5,0.9,0.8,2.4,2.9,27.1,,111.0,119
3,Jonathan Kuminga,21,55,29,1408,10.9,20.7,0.526,1.4,4.4,0.31,9.5,16.3,0.585,5.7,7.8,0.725,2.4,6.5,8.9,3.8,1.3,0.9,3.0,4.1,28.8,,117.0,117
4,Andrew Wiggins,28,51,40,1388,8.6,19.0,0.455,2.0,5.8,0.351,6.6,13.2,0.501,3.2,4.4,0.727,2.7,4.8,7.6,3.1,1.0,0.9,2.2,3.9,22.6,,111.0,119
5,Brandin Podziemski,20,50,17,1332,7.1,15.5,0.457,2.3,6.1,0.373,4.8,9.4,0.512,1.4,2.2,0.623,2.8,7.8,10.6,7.0,1.5,0.3,2.3,3.3,17.8,,117.0,117
6,Dario Šarić,29,54,9,1016,8.1,17.3,0.47,3.4,8.8,0.389,4.7,8.5,0.553,3.6,4.2,0.864,3.2,9.6,12.8,6.3,1.4,0.4,3.2,5.1,23.2,,122.0,115
7,Kevon Looney,27,56,36,986,5.4,9.0,0.603,0.0,0.0,0.0,5.4,8.9,0.607,2.1,3.0,0.694,6.0,11.0,17.0,5.7,1.1,0.9,2.0,6.2,13.0,,137.0,115
8,Chris Paul,38,32,11,882,5.7,13.4,0.424,2.4,6.5,0.361,3.3,6.9,0.484,1.9,2.3,0.833,0.5,6.1,6.6,12.6,2.0,0.2,2.1,3.2,15.6,,128.0,117
9,Draymond Green,33,32,29,850,6.5,12.9,0.507,2.0,4.6,0.444,4.5,8.3,0.541,2.0,2.6,0.761,2.3,10.1,12.4,10.7,1.5,1.6,4.4,5.6,17.1,,118.0,113
10,Moses Moody,21,42,4,706,8.2,17.7,0.463,2.9,8.4,0.341,5.3,9.3,0.574,3.2,4.0,0.797,3.1,5.3,8.4,2.3,1.8,1.0,1.9,3.6,22.5,,117.0,116
11,Trayce Jackson-Davis,23,43,3,556,10.3,15.1,0.684,0.0,0.0,,10.3,15.1,0.684,3.8,6.5,0.587,6.2,8.8,15.1,3.6,1.1,3.1,2.4,5.9,24.5,,134.0,113
12,Gary Payton II,31,22,0,345,7.4,14.3,0.52,1.7,5.2,0.324,5.7,9.1,0.631,1.3,1.8,0.692,3.4,5.6,8.9,2.9,3.2,1.0,1.7,5.3,17.7,,121.0,113
13,Cory Joseph,32,26,0,296,3.7,10.4,0.359,2.1,6.8,0.31,1.6,3.6,0.455,0.7,1.1,0.571,1.0,3.9,4.9,6.8,0.7,0.5,2.0,4.1,10.3,,108.0,120
14,Lester Quinones,23,22,0,283,6.1,15.5,0.396,3.6,9.0,0.396,2.6,6.5,0.395,2.7,3.9,0.696,3.1,6.0,9.0,4.6,0.9,0.3,2.6,6.1,18.6,,113.0,119
15,Gui Santos,21,14,0,118,6.9,13.9,0.5,2.5,6.1,0.4,4.5,7.8,0.579,5.7,6.1,0.933,4.9,9.0,13.9,2.9,1.2,0.8,1.6,6.5,22.1,,139.0,116
16,Jerome Robinson,26,11,0,36,2.7,16.1,0.167,1.3,9.4,0.143,1.3,6.7,0.2,6.7,10.7,0.625,1.3,2.7,4.0,2.7,0.0,1.3,0.0,2.7,13.4,,87.0,122
17,Usman Garuba,21,3,0,8,0.0,6.0,0.0,0.0,0.0,,0.0,6.0,0.0,0.0,0.0,,6.0,0.0,6.0,6.0,6.0,0.0,0.0,12.1,0.0,,103.0,111
18,Pat Spencer,27,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,125
