Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 14_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 21_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 24_level_0,Dunks,Dunks,Unnamed: 27_level_0,Corner 3s,Corner 3s,Unnamed: 30_level_0,Heaves,Heaves
Rk,Player,Age,G,MP,FG%,Dist.,Unnamed: 7_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 14_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 21_level_1,2P,3P,Unnamed: 24_level_1,%FGA,#,Unnamed: 27_level_1,%3PA,3P%,Unnamed: 30_level_1,Att.,#
1,Stephen Curry,35,53,1769,0.459,19.9,,0.395,0.068,0.182,0.062,0.083,0.605,,0.528,0.69,0.516,0.446,0.483,0.414,,0.362,0.592,,0.0,0,,0.077,0.612,,2,0
2,Klay Thompson,33,53,1608,0.418,20.3,,0.396,0.043,0.119,0.108,0.125,0.604,,0.488,0.697,0.473,0.47,0.448,0.372,,0.723,0.936,,0.001,1,,0.123,0.351,,2,0
3,Jonathan Kuminga,21,55,1408,0.526,9.7,,0.786,0.295,0.359,0.108,0.025,0.214,,0.585,0.764,0.512,0.369,0.467,0.31,,0.608,0.925,,0.182,98,,0.287,0.405,,0,0
4,Andrew Wiggins,28,51,1388,0.455,12.8,,0.693,0.201,0.314,0.08,0.097,0.307,,0.501,0.609,0.523,0.295,0.377,0.351,,0.616,0.932,,0.055,29,,0.143,0.375,,1,0
5,Brandin Podziemski,20,50,1332,0.457,13.7,,0.606,0.191,0.331,0.054,0.03,0.394,,0.512,0.732,0.451,0.174,0.385,0.373,,0.541,0.746,,0.005,2,,0.195,0.455,,1,0
6,Dario Šarić,29,54,1016,0.47,16.2,,0.492,0.148,0.261,0.044,0.038,0.508,,0.553,0.796,0.474,0.375,0.357,0.389,,0.636,1.0,,0.003,1,,0.114,0.238,,0,0
7,Kevon Looney,27,56,986,0.603,3.9,,0.995,0.484,0.462,0.027,0.022,0.005,,0.607,0.674,0.553,0.4,0.5,0.0,,0.658,,,0.125,19,,0.0,,,1,0
8,Chris Paul,38,32,882,0.424,19.6,,0.514,0.016,0.098,0.212,0.188,0.486,,0.484,1.0,0.542,0.519,0.37,0.361,,0.23,0.698,,0.0,0,,0.16,0.316,,2,0
9,Draymond Green,33,32,850,0.507,12.1,,0.643,0.282,0.282,0.07,0.009,0.357,,0.541,0.672,0.5,0.125,1.0,0.444,,0.797,0.917,,0.018,4,,0.296,0.5,,0,0
10,Moses Moody,21,42,706,0.463,15.4,,0.525,0.162,0.259,0.062,0.042,0.475,,0.574,0.714,0.537,0.5,0.364,0.341,,0.59,0.857,,0.046,9,,0.285,0.229,,0,0
11,Trayce Jackson-Davis,23,43,556,0.684,2.4,,1.0,0.644,0.351,0.006,0.0,0.0,,0.684,0.723,0.607,1.0,,,,0.756,,,0.362,56,,,,,0,0
12,Gary Payton II,31,22,345,0.52,10.8,,0.637,0.324,0.314,0.0,0.0,0.363,,0.631,0.697,0.563,,,0.324,,0.829,1.0,,0.108,9,,0.649,0.292,,0,0
13,Cory Joseph,32,26,296,0.359,20.4,,0.344,0.031,0.156,0.078,0.078,0.656,,0.455,0.0,0.7,0.4,0.2,0.31,,0.6,0.923,,0.0,0,,0.238,0.4,,1,0
14,Lester Quinones,23,22,283,0.396,18.1,,0.418,0.121,0.176,0.121,0.0,0.582,,0.395,0.545,0.375,0.273,,0.396,,0.4,0.952,,0.011,1,,0.208,0.545,,1,1
15,Gui Santos,21,14,118,0.5,12.8,,0.559,0.353,0.206,0.0,0.0,0.441,,0.579,0.667,0.429,,,0.4,,0.636,0.833,,0.029,1,,0.333,0.6,,0,0
16,Jerome Robinson,26,11,36,0.167,16.6,,0.417,0.083,0.333,0.0,0.0,0.583,,0.2,0.0,0.25,,,0.143,,1.0,1.0,,0.083,1,,0.286,0.0,,0,0
17,Usman Garuba,21,3,8,0.0,1.1,,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,0,,,,,0,0
18,Pat Spencer,27,1,2,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
