,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
49,Dāvis Bertāns,PF,31,OKC,15,0,6.1,0.7,1.7,.385,0.7,1.6,.417,0.0,0.1,.000,.577,0.9,1.0,.933,0.1,0.5,0.7,0.6,0.2,0.2,0.1,0.7,2.9
50,Patrick Beverley,PG,35,PHI,44,5,19.4,2.1,4.9,.424,0.7,2.3,.317,1.4,2.6,.517,.498,1.1,1.4,.803,0.6,2.5,3.1,2.9,0.5,0.4,1.0,1.8,6.0
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Saddiq Bey,SF,24,ATL,47,35,32.7,4.5,10.7,.417,1.7,5.6,.307,2.7,5.1,.538,.497,2.5,3.1,.814,2.6,4.0,6.6,1.5,0.9,0.1,0.9,1.6,13.2
53,Goga Bitadze,C,24,ORL,41,31,19.7,2.7,4.4,.615,0.0,0.2,.200,2.6,4.1,.639,.620,1.1,1.7,.676,2.3,3.7,6.1,1.6,0.7,1.5,0.8,2.2,6.5
54,Onuralp Bitim,SG,24,CHI,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Bismack Biyombo,C,31,MEM,30,27,23.9,2.2,4.0,.563,0.0,0.0,,2.2,4.0,.563,.563,0.7,1.5,.478,1.9,4.5,6.4,1.7,0.3,1.1,1.3,2.7,5.2
56,Anthony Black,PG,20,ORL,45,29,19.4,1.9,3.9,.497,0.5,1.4,.381,1.4,2.5,.563,.566,0.9,1.4,.656,0.5,1.8,2.3,1.7,0.6,0.4,0.9,2.0,5.3
57,Leaky Black,SF,24,CHO,17,0,6.6,0.6,1.2,.476,0.2,0.5,.444,0.4,0.7,.500,.571,0.4,0.6,.600,0.3,0.9,1.2,0.4,0.2,0.2,0.1,0.7,1.8
58,Bogdan Bogdanović,SG,31,ATL,45,6,28.4,6.1,14.1,.431,3.1,8.4,.371,2.9,5.6,.520,.542,1.9,2.1,.903,0.5,2.6,3.1,2.6,1.3,0.2,1.2,2.4,17.1
59,Bojan Bogdanović,PF,34,DET,26,25,33.0,7.2,15.4,.468,3.0,7.3,.414,4.2,8.0,.517,.566,2.9,3.8,.765,0.5,2.9,3.4,2.5,0.9,0.1,2.2,2.1,20.3
60,Bol Bol,PF,24,PHO,12,0,7.2,1.4,1.9,.739,0.3,0.4,.600,1.2,1.5,.778,.804,0.3,0.4,.800,0.8,1.5,2.3,0.5,0.3,0.5,0.5,0.8,3.4
61,Marques Bolden,C,25,MIL,2,0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0
62,Devin Booker,PG,27,PHO,39,39,36.2,9.9,19.8,.502,2.3,5.9,.388,7.6,13.9,.551,.560,6.1,6.9,.878,0.7,4.2,4.9,7.3,0.9,0.4,2.7,3.0,28.3
63,Brandon Boston Jr.,SF,22,LAC,12,0,8.3,1.7,4.1,.408,0.5,1.4,.353,1.2,2.7,.438,.469,0.6,0.7,.875,0.6,0.6,1.2,0.4,0.2,0.2,0.3,1.1,4.4
64,Chris Boucher,PF,31,TOR,44,0,14.0,2.1,4.4,.477,0.6,2.0,.326,1.5,2.4,.598,.549,1.3,1.8,.753,1.2,2.8,4.0,0.4,0.3,0.4,0.5,1.4,6.1
65,James Bouknight,SG,23,CHO,12,0,6.1,1.3,3.1,.432,1.0,2.3,.444,0.3,0.8,.400,.595,0.1,0.2,.500,0.1,0.7,0.8,0.5,0.0,0.1,0.1,0.3,3.8
66,Jamaree Bouyea,PG,24,POR,6,0,9.5,0.8,3.5,.238,0.0,1.3,.000,0.8,2.2,.385,.238,0.0,0.0,,0.3,1.3,1.7,1.3,0.0,0.0,1.3,0.5,1.7
67,Malaki Branham,PG,20,SAS,43,21,20.8,3.4,7.8,.434,0.9,3.0,.305,2.4,4.7,.517,.494,0.6,0.6,.926,0.3,1.7,2.0,2.3,0.4,0.1,1.2,1.2,8.3
68,Christian Braun,SG,22,DEN,49,0,18.8,2.6,5.8,.449,0.7,1.9,.363,1.9,4.0,.490,.507,1.2,1.7,.732,0.8,2.8,3.6,1.4,0.4,0.4,0.7,1.5,7.1
69,Mikal Bridges,SF,27,BRK,47,47,35.1,7.7,16.9,.455,2.4,6.6,.369,5.3,10.3,.510,.527,4.1,5.0,.825,0.9,4.2,5.0,3.7,1.0,0.4,2.3,1.7,21.9
70,Miles Bridges,SF,25,CHO,35,33,37.2,8.0,17.4,.462,2.4,6.7,.359,5.6,10.7,.527,.531,2.7,3.1,.861,0.8,6.7,7.5,3.1,1.1,0.6,2.0,1.9,21.1
71,Oshae Brissett,SF,25,BOS,31,0,11.4,1.3,2.9,.461,0.3,1.2,.278,1.0,1.7,.585,.517,0.9,1.3,.675,1.1,1.9,3.0,0.6,0.4,0.1,0.3,1.1,3.8
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Malcolm Brogdon,PG,31,POR,38,24,28.6,5.6,12.7,.441,2.2,5.2,.416,3.4,7.5,.458,.526,2.5,3.0,.832,0.7,3.0,3.7,5.5,0.7,0.2,1.6,1.5,15.8
74,Armoni Brooks,PG,25,BRK,10,0,10.4,1.5,4.6,.326,1.1,3.2,.344,0.4,1.4,.286,.446,0.1,0.2,.500,0.7,1.1,1.8,0.5,0.1,0.1,0.3,0.3,4.2
75,Dillon Brooks,SF,28,HOU,38,38,31.4,5.1,11.0,.460,1.9,4.9,.389,3.2,6.1,.517,.547,1.9,2.3,.837,0.7,2.7,3.4,1.6,0.9,0.1,1.5,3.7,13.9
76,Bruce Brown,SG-PG,27,TOT,39,36,29.6,4.5,9.5,.478,1.0,2.9,.330,3.6,6.5,.545,.530,1.9,2.3,.833,0.9,4.0,4.9,2.8,1.1,0.3,1.3,2.6,12.0
77,Bruce Brown,SG,27,IND,33,33,29.7,4.5,9.5,.475,1.0,3.1,.327,3.5,6.5,.545,.527,2.0,2.5,.817,0.8,3.9,4.7,3.0,1.1,0.2,1.2,2.5,12.1
78,Bruce Brown,PG,27,TOR,6,3,29.0,4.7,9.3,.500,0.8,2.3,.357,3.8,7.0,.548,.545,1.3,1.3,1.000,1.7,4.7,6.3,1.7,1.2,0.8,1.5,3.2,11.5
79,Charlie Brown Jr.,SG,26,NYK,4,0,1.5,0.3,1.0,.250,0.3,0.8,.333,0.0,0.3,.000,.375,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.3,0.8
80,Greg Brown III,PF,22,DAL,6,0,6.7,0.8,1.8,.455,0.2,0.5,.333,0.7,1.3,.500,.500,0.7,1.5,.444,0.5,1.0,1.5,0.7,0.0,0.7,0.7,0.8,2.5
