,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
126,Anthony Davis,C,30,LAL,46,46,35.9,9.5,17.2,.554,0.4,1.2,.315,9.1,16.0,.571,.565,5.6,6.9,.805,3.2,8.9,12.1,3.7,1.2,2.3,2.1,2.5,24.9
127,Johnny Davis,SG,21,WAS,21,0,7.8,1.0,2.4,.431,0.0,0.2,.250,1.0,2.2,.447,.441,0.2,0.3,.571,0.4,0.6,1.0,0.3,0.3,0.1,0.2,0.6,2.3
128,JD Davison,SG,21,BOS,2,0,3.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,1.0,1.0,1.000,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0
129,Dexter Dennis,SG,24,DAL,4,0,7.5,2.5,4.8,.526,0.3,2.0,.125,2.3,2.8,.818,.553,0.3,0.8,.333,0.3,2.0,2.3,1.0,0.0,0.3,0.8,0.3,5.5
130,DeMar DeRozan,SF,34,CHI,47,47,37.3,7.7,16.4,.467,1.0,2.9,.336,6.7,13.6,.495,.496,5.7,6.7,.842,0.6,3.5,4.0,5.3,1.1,0.7,1.5,2.1,22.0
131,Moussa Diabaté,C,22,LAC,10,0,5.8,0.9,1.8,.500,0.0,0.0,,0.9,1.8,.500,.500,0.9,1.2,.750,1.4,0.6,2.0,0.4,0.4,0.0,0.2,0.4,2.7
132,Mamadi Diakite,PF,27,SAS,3,0,5.3,1.3,1.7,.800,0.0,0.0,,1.3,1.7,.800,.800,1.3,2.0,.667,0.3,0.7,1.0,0.7,0.0,0.3,0.0,0.3,4.0
133,Hamidou Diallo,SG,25,WAS,2,0,2.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,1.0,0.0,1.0,0.5,1.0,0.0,0.5,0.5,1.0
134,Gradey Dick,SG,20,TOR,26,1,13.7,1.3,3.9,.337,0.7,2.5,.297,0.6,1.4,.405,.431,0.7,0.7,.944,0.5,1.1,1.5,1.2,0.5,0.0,0.7,1.4,4.0
135,Ousmane Dieng,PF,20,OKC,23,0,11.2,1.4,3.4,.423,0.7,2.3,.308,0.7,1.1,.654,.526,0.4,0.5,.833,0.4,1.4,1.8,0.8,0.1,0.0,0.5,0.7,4.0
136,Spencer Dinwiddie,PG,30,BRK,45,45,30.5,4.2,10.5,.395,1.9,5.8,.327,2.2,4.7,.479,.485,2.7,3.5,.783,0.6,2.8,3.4,6.0,0.8,0.2,1.4,1.8,13.0
137,Donte DiVincenzo,SG,27,NYK,49,31,23.3,4.3,9.6,.451,2.9,6.8,.418,1.4,2.7,.534,.600,0.9,1.2,.733,0.8,2.4,3.2,2.3,1.2,0.3,1.1,1.9,12.4
138,Luka Dončić,PG,24,DAL,40,40,37.5,11.7,24.0,.489,3.9,10.3,.375,7.9,13.7,.574,.569,7.4,9.5,.780,0.8,7.8,8.6,9.6,1.4,0.6,3.9,1.9,34.7
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Luguentz Dort,SF,24,OKC,46,46,28.5,3.5,8.1,.435,1.8,4.7,.384,1.7,3.4,.506,.547,1.7,2.0,.809,1.2,2.7,3.8,1.3,0.8,0.7,0.9,3.0,10.5
141,Ayo Dosunmu,SG,24,CHI,47,9,24.3,3.7,7.4,.496,1.1,3.0,.383,2.5,4.4,.573,.573,1.0,1.2,.804,0.7,1.9,2.6,2.1,0.8,0.5,1.0,2.0,9.4
142,Andre Drummond,C,30,CHI,49,7,15.9,3.2,5.7,.557,0.0,0.0,.000,3.2,5.7,.561,.557,1.5,2.6,.558,3.3,5.0,8.3,0.6,1.1,0.6,1.1,1.7,7.8
143,Chris Duarte,SF,26,SAC,35,11,13.2,1.3,3.6,.360,0.6,1.9,.313,0.7,1.7,.414,.444,0.5,0.7,.750,0.4,1.5,1.8,0.9,0.5,0.1,0.6,1.7,3.7
144,Kris Dunn,PG,29,UTA,42,24,17.5,2.2,4.5,.487,0.6,1.4,.431,1.6,3.1,.512,.553,0.3,0.4,.667,0.7,2.2,2.9,4.2,0.9,0.5,1.3,1.8,5.2
145,Kevin Durant,PF,35,PHO,41,41,37.3,10.1,19.0,.533,2.2,5.0,.449,7.9,14.0,.563,.592,5.9,6.7,.876,0.5,5.9,6.4,5.8,0.8,1.3,3.1,1.9,28.4
146,Jalen Duren,C,20,DET,32,31,29.9,6.2,9.7,.640,0.0,0.1,.000,6.2,9.7,.644,.640,1.5,2.2,.700,3.3,8.4,11.8,2.5,0.4,0.8,2.0,3.2,14.0
147,Tari Eason,PF,22,HOU,22,0,21.8,4.0,8.6,.466,0.8,2.3,.360,3.2,6.3,.504,.513,1.0,1.5,.636,2.1,4.9,7.0,1.2,1.4,0.9,0.9,2.3,9.8
