Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Rk,Player,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Kevin Durant,35,51,1892,,,4%,89%,7%,5.5,7.8,80,60,46,12,138,8,679,36,30
2,Grayson Allen,28,52,1723,24%,73%,3%,,,4.6,4.2,43,13,54,5,46,14,385,12,20
3,Devin Booker,27,48,1711,87%,13%,,,,6.2,8.4,70,33,58,12,129,11,830,29,39
4,Jusuf Nurkić,29,54,1473,,,,,100%,9.6,13.9,48,27,92,29,83,1,465,18,41
5,Eric Gordon,35,49,1460,14%,47%,39%,,,3.0,0.0,32,14,34,6,25,2,256,6,31
6,Bradley Beal,30,30,979,2%,34%,59%,5%,,2.6,-0.7,37,17,42,10,42,8,325,10,22
7,Josh Okogie,25,52,898,,20%,74%,6%,,1.4,-2.3,19,7,27,3,46,26,146,12,17
8,Drew Eubanks,26,52,826,,,,,100%,-4.9,-11.2,19,9,44,16,29,3,118,5,17
9,Keita Bates-Diop,28,39,597,,3%,50%,47%,1%,-3.4,-8.1,4,6,22,0,18,0,83,8,15
10,Jordan Goodwin,25,40,558,97%,3%,,,,-1.6,-5.7,17,8,24,1,9,2,181,3,16
11,Chimezie Metu,26,37,447,,,,55%,45%,-2.7,-6.8,13,8,23,2,22,2,44,1,8
12,Nassir Little,23,34,426,,16%,66%,16%,1%,-6.5,-11.2,8,3,24,1,7,2,48,3,6
13,Yuta Watanabe,29,29,382,,,49%,51%,,-5.9,-10.4,9,5,28,0,6,2,24,1,4
14,Bol Bol,24,20,208,,,2%,78%,20%,9.8,7.3,4,5,16,0,4,0,24,4,2
15,Royce O'Neale,30,6,149,,10%,57%,33%,,13.7,11.4,4,0,11,0,2,1,37,0,1
16,Saben Lee,24,15,116,100%,,,,,15.2,12.7,4,0,3,0,15,2,43,1,3
17,Udoka Azubuike,24,14,107,,,,,100%,-14.5,-18.2,0,2,12,2,5,1,6,1,3
18,Thaddeus Young,35,1,19,,,48%,52%,,0.2,-2.9,0,1,2,0,0,0,0,0,0
19,David Roddy,22,3,12,,,24%,67%,9%,-39.7,-42.9,0,1,0,0,0,0,0,0,0
20,Théo Maledon,22,3,12,21%,79%,,,,-27.7,-30.8,1,0,2,1,2,0,0,1,1
