Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 14_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 21_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 24_level_0,Dunks,Dunks,Unnamed: 27_level_0,Corner 3s,Corner 3s,Unnamed: 30_level_0,Heaves,Heaves
Rk,Player,Age,G,MP,FG%,Dist.,Unnamed: 7_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 14_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 21_level_1,2P,3P,Unnamed: 24_level_1,%FGA,#,Unnamed: 27_level_1,%3PA,3P%,Unnamed: 30_level_1,Att.,#
1,Kevin Durant,35,51,1892,0.53,14.8,,0.726,0.128,0.159,0.281,0.159,0.274,,0.57,0.848,0.555,0.489,0.503,0.423,,0.493,0.805,,0.055,54,,0.139,0.514,,0,0
2,Grayson Allen,28,52,1723,0.508,17.4,,0.377,0.212,0.144,0.018,0.002,0.623,,0.545,0.649,0.422,0.375,0.0,0.486,,0.593,0.888,,0.027,9,,0.293,0.543,,0,0
3,Devin Booker,27,48,1711,0.496,15.2,,0.703,0.133,0.164,0.243,0.164,0.297,,0.549,0.789,0.474,0.524,0.467,0.371,,0.36,0.618,,0.016,12,,0.073,0.5,,0,0
4,Jusuf Nurkić,29,54,1473,0.518,7.4,,0.823,0.469,0.307,0.032,0.015,0.177,,0.575,0.641,0.493,0.533,0.286,0.25,,0.64,1.0,,0.095,38,,0.095,0.125,,0,0
5,Eric Gordon,35,49,1460,0.457,18.4,,0.363,0.166,0.16,0.031,0.006,0.637,,0.576,0.753,0.41,0.533,0.333,0.389,,0.598,0.926,,0.002,1,,0.193,0.433,,1,0
6,Bradley Beal,30,30,979,0.495,13.5,,0.688,0.218,0.211,0.13,0.13,0.313,,0.556,0.713,0.473,0.5,0.482,0.363,,0.442,0.878,,0.039,14,,0.296,0.375,,0,0
7,Josh Okogie,25,52,898,0.417,12.6,,0.542,0.354,0.156,0.026,0.005,0.458,,0.519,0.574,0.4,0.6,0.0,0.295,,0.611,1.0,,0.073,13,,0.648,0.298,,0,0
8,Drew Eubanks,26,52,826,0.624,4.6,,0.984,0.473,0.43,0.054,0.027,0.016,,0.617,0.761,0.538,0.3,0.0,1.0,,0.814,1.0,,0.323,49,,1.0,1.0,,0,0
9,Keita Bates-Diop,28,39,597,0.427,12.4,,0.573,0.34,0.173,0.06,0.0,0.427,,0.512,0.608,0.346,0.444,,0.313,,0.614,0.95,,0.1,14,,0.656,0.333,,0,0
10,Jordan Goodwin,25,40,558,0.389,14.8,,0.585,0.212,0.192,0.119,0.062,0.415,,0.46,0.659,0.351,0.348,0.333,0.288,,0.365,0.913,,0.005,0,,0.25,0.35,,0,0
11,Chimezie Metu,26,37,447,0.508,12.2,,0.608,0.385,0.162,0.038,0.023,0.392,,0.646,0.82,0.333,0.4,0.333,0.294,,0.824,1.0,,0.192,23,,0.294,0.467,,0,0
12,Nassir Little,23,34,426,0.458,15.9,,0.439,0.234,0.159,0.037,0.009,0.561,,0.638,0.76,0.588,0.25,0.0,0.317,,0.8,1.0,,0.103,11,,0.367,0.318,,0,0
13,Yuta Watanabe,29,29,382,0.361,20.7,,0.227,0.093,0.082,0.031,0.021,0.773,,0.5,0.778,0.25,0.667,0.0,0.32,,0.545,1.0,,0.031,3,,0.413,0.323,,0,0
14,Bol Bol,24,20,208,0.653,11.8,,0.736,0.194,0.347,0.167,0.028,0.264,,0.755,1.0,0.72,0.667,0.0,0.368,,0.7,1.0,,0.153,10,,0.526,0.5,,0,0
15,Royce O'Neale,30,6,149,0.4,21.3,,0.222,0.089,0.089,0.022,0.022,0.778,,0.4,1.0,0.0,0.0,0.0,0.4,,0.75,0.929,,0.022,1,,0.229,0.375,,0,0
16,Saben Lee,24,15,116,0.412,9.6,,0.706,0.382,0.324,0.0,0.0,0.294,,0.542,0.615,0.455,,,0.1,,0.462,1.0,,0.118,2,,0.5,0.2,,0,0
17,Udoka Azubuike,24,14,107,0.727,2.4,,1.0,0.727,0.273,0.0,0.0,0.0,,0.727,0.813,0.5,,,,,0.563,,,0.545,10,,,,,0,0
18,Thaddeus Young,35,1,19,0.333,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,,0.333,0.333,,,,,,0.0,,,0.0,0,,,,,0,0
19,David Roddy,22,3,12,0.667,16.2,,0.333,0.333,0.0,0.0,0.0,0.667,,1.0,1.0,,,,0.5,,1.0,1.0,,0.0,0,,1.0,0.5,,0,0
20,Théo Maledon,22,3,12,0.333,6.3,,1.0,0.0,1.0,0.0,0.0,0.0,,0.333,,0.333,,,,,0.0,,,0.0,0,,,,,0,0
