Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1,Kevin Durant,35,51,51,1892,13.3,25.1,0.53,2.9,6.9,0.423,10.4,18.2,0.57,7.2,8.3,0.864,0.7,8.0,8.7,7.4,1.2,1.7,4.2,2.4,36.6,,121,115
2,Grayson Allen,28,52,52,1723,6.3,12.5,0.508,3.8,7.8,0.486,2.6,4.7,0.545,2.6,3.0,0.886,1.0,4.8,5.8,4.6,1.2,1.0,1.9,3.2,19.1,,131,118
3,Devin Booker,27,48,48,1711,13.1,26.3,0.496,2.9,7.8,0.371,10.2,18.5,0.549,8.4,9.6,0.876,1.0,5.3,6.3,9.5,1.3,0.5,3.5,4.0,37.5,,124,118
4,Jusuf Nurkić,29,54,54,1473,8.1,15.7,0.518,0.7,2.8,0.25,7.4,12.9,0.575,4.1,6.0,0.687,4.7,13.7,18.4,6.7,1.8,1.8,3.7,5.9,21.1,,117,110
5,Eric Gordon,35,49,24,1460,7.4,16.3,0.457,4.0,10.4,0.389,3.4,5.9,0.576,1.5,1.8,0.815,0.5,3.0,3.4,3.6,1.6,0.8,2.1,2.1,20.3,,114,118
6,Bradley Beal,30,30,30,979,10.6,21.5,0.495,2.4,6.7,0.363,8.2,14.8,0.556,3.4,4.4,0.775,1.2,5.1,6.4,6.7,1.3,0.4,3.6,3.9,27.1,,112,118
7,Josh Okogie,25,52,11,898,4.3,10.4,0.417,1.4,4.8,0.295,2.9,5.6,0.519,3.8,5.3,0.732,3.7,4.1,7.7,3.2,2.4,1.2,1.7,3.5,13.9,,119,115
8,Drew Eubanks,26,52,4,826,6.8,10.9,0.624,0.2,0.2,1.0,6.7,10.8,0.617,3.1,4.2,0.736,4.1,8.8,12.8,2.8,1.2,2.6,2.9,4.9,17.0,,122,113
9,Keita Bates-Diop,28,39,8,597,5.2,12.2,0.427,1.6,5.2,0.313,3.6,7.0,0.512,2.1,2.9,0.722,2.4,5.8,8.2,2.8,1.8,1.6,1.1,2.7,14.2,,116,115
10,Jordan Goodwin,25,40,0,558,6.5,16.8,0.389,2.0,7.0,0.288,4.5,9.8,0.46,2.2,2.5,0.862,3.5,6.7,10.2,6.8,2.0,0.8,2.5,3.7,17.3,,109,115
11,Chimezie Metu,26,37,5,447,7.2,14.1,0.508,1.6,5.5,0.294,5.5,8.6,0.646,4.1,4.7,0.884,2.6,9.4,12.0,2.1,2.1,1.0,2.9,4.2,20.1,,115,113
12,Nassir Little,23,34,2,426,5.6,12.2,0.458,2.2,6.8,0.317,3.4,5.4,0.638,1.9,2.3,0.85,1.6,6.5,8.1,2.2,1.1,1.1,1.5,4.2,15.3,,116,117
13,Yuta Watanabe,29,29,0,382,4.5,12.3,0.361,3.1,9.5,0.32,1.4,2.8,0.5,1.3,1.9,0.667,1.4,4.3,5.7,1.3,1.1,0.9,2.0,4.3,13.2,,97,118
14,Bol Bol,24,20,0,208,11.0,16.8,0.653,1.6,4.4,0.368,9.4,12.4,0.755,1.4,1.9,0.75,4.4,11.0,15.4,2.3,1.2,3.3,2.3,5.1,25.0,,131,111
15,Royce O'Neale,30,6,1,149,5.9,14.7,0.4,4.6,11.4,0.4,1.3,3.3,0.4,0.7,1.6,0.4,1.6,10.4,12.1,5.2,3.6,1.0,1.3,4.2,17.0,,119,109
16,Saben Lee,24,15,0,116,5.9,14.3,0.412,0.4,4.2,0.1,5.4,10.1,0.542,9.6,13.0,0.742,2.5,7.1,9.6,7.5,2.9,1.3,2.9,2.5,21.8,,118,112
17,Udoka Azubuike,24,14,0,107,7.3,10.0,0.727,0.0,0.0,,7.3,10.0,0.727,1.4,5.0,0.273,5.0,9.5,14.5,1.4,0.5,2.7,1.8,7.7,15.9,,125,114
18,Thaddeus Young,35,1,0,19,2.6,7.7,0.333,0.0,0.0,,2.6,7.7,0.333,0.0,0.0,,15.4,5.1,20.5,0.0,2.6,0.0,2.6,10.2,5.1,,118,115
19,David Roddy,22,3,0,12,8.1,12.2,0.667,4.1,8.1,0.5,4.1,4.1,1.0,0.0,0.0,,0.0,8.1,8.1,0.0,0.0,0.0,4.1,4.1,20.3,,106,120
20,Théo Maledon,22,3,0,12,4.1,12.2,0.333,0.0,0.0,,4.1,12.2,0.333,12.2,12.2,1.0,0.0,4.1,4.1,0.0,0.0,0.0,12.2,12.2,20.3,,69,122
