Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1,Lauri Markkanen,26,48,48,1577,11.6,23.6,0.49,4.7,11.8,0.403,6.8,11.8,0.577,6.3,7.1,0.888,3.3,9.1,12.5,2.9,1.2,0.7,1.9,2.7,34.1,,130,119
2,John Collins,26,54,52,1505,9.7,18.6,0.521,2.0,6.0,0.342,7.7,12.7,0.606,3.2,4.1,0.789,3.9,10.5,14.5,2.0,1.0,1.5,2.4,4.7,24.7,,119,117
3,Jordan Clarkson,31,48,19,1454,9.7,23.4,0.415,2.7,9.0,0.3,7.0,14.4,0.487,5.2,6.0,0.878,1.5,3.9,5.4,7.8,0.9,0.2,4.3,2.3,27.4,,107,123
4,Collin Sexton,25,58,35,1431,11.7,24.1,0.485,3.0,7.8,0.392,8.6,16.3,0.529,8.3,9.5,0.873,1.7,3.3,5.0,9.0,1.4,0.4,3.9,3.9,34.6,,124,122
5,Keyonte George,20,52,21,1308,7.2,18.4,0.39,3.6,10.3,0.344,3.6,8.1,0.448,4.3,5.2,0.818,0.5,4.9,5.4,8.3,1.0,0.2,3.9,2.2,22.2,,108,123
6,Simone Fontecchio,28,50,34,1160,6.7,14.8,0.45,3.8,9.6,0.391,2.9,5.2,0.56,1.3,1.7,0.8,2.1,5.1,7.3,3.0,1.2,0.7,2.1,3.3,18.4,,116,121
7,Walker Kessler,22,50,17,1159,7.7,11.8,0.649,0.2,0.8,0.211,7.5,11.0,0.68,1.8,3.3,0.557,5.2,10.0,15.2,1.8,1.0,5.6,2.2,4.5,17.3,,126,113
8,Kelly Olynyk,32,50,8,1019,6.8,12.1,0.562,1.7,4.0,0.429,5.1,8.2,0.626,3.8,4.5,0.842,3.0,9.0,11.9,10.3,1.7,0.6,3.8,6.2,19.1,,130,118
9,Ochai Agbaji,23,51,10,1003,5.1,11.9,0.426,2.2,6.8,0.331,2.8,5.1,0.551,0.7,1.0,0.75,1.7,4.3,6.0,2.2,1.3,1.4,1.6,3.2,13.1,,108,121
10,Kris Dunn,29,50,27,909,6.0,12.2,0.487,1.7,4.3,0.407,4.2,8.0,0.53,0.9,1.3,0.68,2.0,5.6,7.6,10.7,2.8,1.2,3.4,5.0,14.6,,118,116
11,Talen Horton-Tucker,23,36,11,726,9.0,21.9,0.411,2.7,8.2,0.331,6.3,13.7,0.459,4.0,5.2,0.782,1.1,4.7,5.8,9.3,2.3,0.7,3.6,4.6,24.7,,109,119
12,Taylor Hendricks,20,19,2,302,6.0,14.6,0.413,2.7,8.9,0.304,3.3,5.7,0.583,1.1,1.4,0.778,3.3,6.3,9.7,1.4,1.7,1.6,2.4,4.3,15.9,,104,118
13,Omer Yurtseven,25,31,6,274,7.2,14.7,0.488,0.7,2.8,0.25,6.5,11.9,0.544,1.2,2.3,0.538,6.5,12.8,19.2,2.3,0.7,1.9,4.2,6.3,16.3,,100,116
14,Luka Šamanić,24,27,0,149,7.4,19.6,0.377,1.9,7.7,0.25,5.5,11.9,0.459,5.5,6.8,0.81,2.6,11.3,13.8,1.3,0.3,1.0,3.9,5.1,22.2,,95,119
15,Brice Sensabaugh,20,8,0,44,8.7,20.7,0.421,3.3,8.7,0.375,5.4,12.0,0.455,1.1,1.1,1.0,1.1,6.5,7.6,3.3,1.1,0.0,3.3,3.3,21.8,,98,122
16,Johnny Juzang,22,3,0,9,0.0,21.3,0.0,0.0,21.3,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5.3,0.0,0.0,0.0,5.3,0.0,,19,128
17,Kira Lewis Jr.,22,3,0,7,6.8,13.7,0.5,0.0,6.8,0.0,6.8,6.8,1.0,0.0,0.0,,6.8,0.0,6.8,20.5,6.8,0.0,0.0,0.0,13.7,,160,112
18,Micah Potter,25,2,0,7,0.0,6.8,0.0,0.0,6.8,0.0,0.0,0.0,,0.0,0.0,,0.0,27.4,27.4,0.0,0.0,0.0,0.0,0.0,0.0,,0,112
19,Jason Preston,24,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,47.9,0.0,47.9,0.0,0.0,0.0,47.9,0.0,0.0,,52,128
