Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 14_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 21_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 24_level_0,Dunks,Dunks,Unnamed: 27_level_0,Corner 3s,Corner 3s,Unnamed: 30_level_0,Heaves,Heaves
Rk,Player,Age,G,MP,FG%,Dist.,Unnamed: 7_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 14_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 21_level_1,2P,3P,Unnamed: 24_level_1,%FGA,#,Unnamed: 27_level_1,%3PA,3P%,Unnamed: 30_level_1,Att.,#
1,Lauri Markkanen,26,48,1577,0.49,15.8,,0.501,0.177,0.235,0.061,0.028,0.499,,0.577,0.759,0.495,0.426,0.455,0.403,,0.746,0.981,,0.094,66,,0.191,0.419,,1,0
2,John Collins,26,54,1505,0.521,11.1,,0.68,0.315,0.277,0.048,0.041,0.32,,0.606,0.777,0.488,0.429,0.292,0.342,,0.734,0.984,,0.14,78,,0.503,0.351,,0,0
3,Jordan Clarkson,31,48,1454,0.415,14.9,,0.615,0.113,0.338,0.12,0.045,0.385,,0.487,0.588,0.479,0.412,0.5,0.3,,0.38,0.695,,0.014,10,,0.147,0.4,,6,0
4,Collin Sexton,25,58,1431,0.485,12.2,,0.677,0.228,0.325,0.082,0.042,0.323,,0.529,0.756,0.412,0.39,0.467,0.392,,0.447,0.824,,0.029,18,,0.241,0.446,,1,0
5,Keyonte George,20,52,1308,0.39,18.2,,0.439,0.08,0.233,0.082,0.046,0.561,,0.448,0.675,0.41,0.415,0.304,0.344,,0.404,0.722,,0.02,10,,0.124,0.371,,3,0
6,Simone Fontecchio,28,50,1160,0.45,17.7,,0.349,0.165,0.156,0.022,0.006,0.651,,0.56,0.61,0.518,0.375,1.0,0.391,,0.7,0.989,,0.053,15,,0.451,0.39,,0,0
7,Walker Kessler,22,50,1159,0.649,3.7,,0.933,0.681,0.242,0.004,0.007,0.067,,0.68,0.747,0.522,0.0,0.0,0.211,,0.746,1.0,,0.361,100,,1.0,0.211,,0,0
8,Kelly Olynyk,32,50,1019,0.562,12.1,,0.674,0.295,0.264,0.058,0.058,0.326,,0.626,0.776,0.588,0.267,0.4,0.429,,0.477,0.972,,0.016,4,,0.202,0.353,,0,0
9,Ochai Agbaji,23,51,1003,0.426,15.9,,0.43,0.201,0.181,0.036,0.012,0.57,,0.551,0.72,0.422,0.333,0.333,0.331,,0.831,0.979,,0.068,15,,0.451,0.406,,0,0
10,Kris Dunn,29,50,909,0.487,12.5,,0.651,0.177,0.414,0.052,0.009,0.349,,0.53,0.683,0.479,0.417,0.5,0.407,,0.288,0.97,,0.06,14,,0.346,0.464,,1,0
11,Talen Horton-Tucker,23,36,726,0.411,13.4,,0.625,0.199,0.308,0.088,0.03,0.375,,0.459,0.652,0.441,0.172,0.2,0.331,,0.263,0.805,,0.039,10,,0.234,0.345,,2,0
12,Taylor Hendricks,20,19,302,0.413,16.6,,0.391,0.174,0.174,0.033,0.011,0.609,,0.583,0.75,0.438,0.667,0.0,0.304,,0.571,1.0,,0.098,8,,0.446,0.44,,0,0
13,Omer Yurtseven,25,31,274,0.488,7.8,,0.81,0.417,0.31,0.071,0.012,0.19,,0.544,0.743,0.385,0.167,0.0,0.25,,0.622,1.0,,0.214,15,,0.5,0.25,,0,0
14,Luka Šamanić,24,27,149,0.377,11.9,,0.607,0.328,0.262,0.016,0.0,0.393,,0.459,0.7,0.125,1.0,,0.25,,0.824,1.0,,0.066,4,,0.417,0.4,,0,0
15,Brice Sensabaugh,20,8,44,0.421,15.9,,0.579,0.0,0.368,0.105,0.105,0.421,,0.455,,0.714,0.0,0.0,0.375,,0.6,1.0,,0.0,0,,0.25,0.0,,0,0
16,Johnny Juzang,22,3,9,0.0,24.7,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,0.0,,,,,0.0,0,,0.5,0.0,,0,0
17,Kira Lewis Jr.,22,3,7,0.5,15.5,,0.5,0.0,0.5,0.0,0.0,0.5,,1.0,,1.0,,,0.0,,0.0,,,0.0,0,,0.0,,,0,0
18,Micah Potter,25,2,7,0.0,25.8,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,0.0,,,,,0.0,0,,0.0,,,0,0
19,Jason Preston,24,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
