Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Lauri Markkanen,26,48,48,32.9,7.9,16.1,0.49,3.3,8.1,0.403,4.7,8.1,0.577,0.591,4.3,4.8,0.888,2.3,6.3,8.5,2.0,0.9,0.5,1.3,1.9,23.4
2,Jordan Clarkson,31,48,19,30.3,6.1,14.8,0.415,1.7,5.7,0.3,4.4,9.1,0.487,0.473,3.3,3.8,0.878,0.9,2.5,3.4,4.9,0.5,0.1,2.7,1.4,17.3
3,John Collins,26,54,52,27.9,5.6,10.8,0.521,1.2,3.5,0.342,4.5,7.4,0.606,0.576,1.9,2.4,0.789,2.3,6.1,8.4,1.2,0.6,0.9,1.4,2.8,14.4
4,Keyonte George,20,52,21,25.2,3.8,9.7,0.39,1.9,5.4,0.344,1.9,4.3,0.448,0.486,2.3,2.8,0.818,0.3,2.6,2.8,4.3,0.5,0.1,2.1,1.2,11.7
5,Collin Sexton,25,58,35,24.7,6.0,12.4,0.485,1.6,4.0,0.392,4.4,8.4,0.529,0.548,4.3,4.9,0.873,0.9,1.7,2.6,4.7,0.7,0.2,2.0,2.0,17.8
6,Walker Kessler,22,50,17,23.2,3.7,5.7,0.649,0.1,0.4,0.211,3.6,5.3,0.68,0.656,0.9,1.6,0.557,2.5,4.8,7.3,0.9,0.5,2.7,1.0,2.2,8.4
7,Simone Fontecchio,28,50,34,23.2,3.2,7.2,0.45,1.8,4.7,0.391,1.4,2.5,0.56,0.577,0.6,0.8,0.8,1.0,2.5,3.5,1.5,0.6,0.4,1.0,1.6,8.9
8,Kelly Olynyk,32,50,8,20.4,2.9,5.2,0.562,0.7,1.7,0.429,2.2,3.5,0.626,0.632,1.6,1.9,0.842,1.3,3.8,5.1,4.4,0.7,0.2,1.6,2.6,8.1
9,Talen Horton-Tucker,23,36,11,20.2,3.8,9.2,0.411,1.1,3.4,0.331,2.6,5.8,0.459,0.473,1.7,2.2,0.782,0.5,2.0,2.4,3.9,1.0,0.3,1.5,1.9,10.4
10,Ochai Agbaji,23,51,10,19.7,2.1,4.9,0.426,0.9,2.8,0.331,1.2,2.1,0.551,0.52,0.3,0.4,0.75,0.7,1.8,2.5,0.9,0.5,0.6,0.7,1.3,5.4
11,Kris Dunn,29,50,27,18.2,2.3,4.6,0.487,0.7,1.6,0.407,1.6,3.0,0.53,0.558,0.3,0.5,0.68,0.7,2.1,2.9,4.1,1.1,0.4,1.3,1.9,5.5
12,Taylor Hendricks,20,19,2,15.9,2.0,4.8,0.413,0.9,2.9,0.304,1.1,1.9,0.583,0.505,0.4,0.5,0.778,1.1,2.1,3.2,0.5,0.6,0.5,0.8,1.4,5.3
13,Omer Yurtseven,25,31,6,8.8,1.3,2.7,0.488,0.1,0.5,0.25,1.2,2.2,0.544,0.512,0.2,0.4,0.538,1.2,2.4,3.5,0.4,0.1,0.4,0.8,1.2,3.0
14,Luka Šamanić,24,27,0,5.5,0.9,2.3,0.377,0.2,0.9,0.25,0.6,1.4,0.459,0.426,0.6,0.8,0.81,0.3,1.3,1.6,0.1,0.0,0.1,0.4,0.6,2.6
15,Brice Sensabaugh,20,8,0,5.5,1.0,2.4,0.421,0.4,1.0,0.375,0.6,1.4,0.455,0.5,0.1,0.1,1.0,0.1,0.8,0.9,0.4,0.1,0.0,0.4,0.4,2.5
16,Micah Potter,25,2,0,3.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Johnny Juzang,22,3,0,3.0,0.0,1.3,0.0,0.0,1.3,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3,0.0
18,Kira Lewis Jr.,22,3,0,2.3,0.3,0.7,0.5,0.0,0.3,0.0,0.3,0.3,1.0,0.5,0.0,0.0,,0.3,0.0,0.3,1.0,0.3,0.0,0.0,0.0,0.7
19,Jason Preston,24,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
