Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
1,Lauri Markkanen,26,48,1577,21.9,0.64,0.499,0.299,7.6,20.7,14.2,9.6,1.2,1.3,6.7,24.7,,4.8,1.1,5.9,0.179,,5.3,-1.4,4.0,2.4
2,John Collins,26,54,1505,16.3,0.604,0.32,0.219,9.1,23.7,16.5,6.2,1.0,2.7,10.5,19.7,,2.0,1.3,3.3,0.105,,-0.2,-1.2,-1.5,0.2
3,Jordan Clarkson,31,48,1454,12.5,0.526,0.385,0.255,3.4,8.9,6.2,24.0,0.9,0.4,14.2,26.2,,0.2,0.3,0.4,0.014,,-1.2,-3.2,-4.3,-0.9
4,Collin Sexton,25,58,1431,20.2,0.614,0.323,0.394,3.9,7.4,5.7,29.5,1.4,0.8,12.1,27.7,,3.9,0.5,4.3,0.146,,3.8,-1.6,2.2,1.5
5,Keyonte George,20,52,1308,11.0,0.535,0.561,0.284,1.2,11.0,6.1,23.6,1.0,0.3,15.9,21.3,,0.3,0.4,0.6,0.023,,-1.2,-2.2,-3.4,-0.4
6,Simone Fontecchio,28,50,1160,11.0,0.592,0.651,0.112,5.0,11.6,8.3,8.5,1.2,1.4,12.0,15.2,,0.9,0.5,1.4,0.059,,-0.5,-1.1,-1.6,0.1
7,Walker Kessler,22,50,1159,18.2,0.654,0.067,0.277,12.0,22.5,17.3,5.2,1.0,10.3,14.0,13.3,,1.7,1.6,3.3,0.137,,-0.6,1.8,1.2,0.9
8,Kelly Olynyk,32,50,1019,17.1,0.677,0.326,0.368,6.8,20.3,13.6,29.0,1.7,1.0,21.3,15.5,,2.4,0.8,3.2,0.152,,1.2,1.5,2.7,1.2
9,Ochai Agbaji,23,51,1003,8.0,0.531,0.57,0.08,3.9,9.8,6.9,6.0,1.3,2.5,11.7,12.0,,0.1,0.5,0.6,0.027,,-2.7,-0.3,-3.0,-0.3
10,Kris Dunn,29,50,909,14.0,0.568,0.349,0.108,4.5,12.7,8.7,29.4,2.8,2.1,20.8,14.0,,1.0,0.9,1.9,0.098,,-0.8,1.8,1.0,0.7
11,Talen Horton-Tucker,23,36,726,13.7,0.512,0.375,0.236,2.6,10.6,6.6,27.9,2.3,1.3,12.9,23.9,,0.3,0.5,0.8,0.051,,-0.7,-0.1,-0.7,0.2
12,Taylor Hendricks,20,19,302,9.5,0.521,0.609,0.098,7.7,14.3,11.0,3.9,1.7,2.9,13.5,15.2,,-0.1,0.2,0.2,0.026,,-3.3,-1.3,-4.5,-0.2
13,Omer Yurtseven,25,31,274,11.2,0.518,0.19,0.155,14.9,28.8,21.9,6.5,0.7,3.5,21.1,17.2,,-0.2,0.3,0.1,0.017,,-4.3,-1.0,-5.3,-0.2
14,Luka Šamanić,24,27,149,8.0,0.491,0.393,0.344,5.9,25.4,15.8,3.7,0.3,1.8,14.6,22.9,,-0.2,0.1,-0.1,-0.036,,-5.8,-2.9,-8.7,-0.3
15,Brice Sensabaugh,20,8,44,8.3,0.514,0.421,0.053,2.5,14.8,8.7,9.7,1.1,0.0,13.4,21.1,,0.0,0.0,0.0,-0.025,,-3.6,-2.5,-6.1,0.0
16,Johnny Juzang,22,3,9,-14.7,0.0,1.0,0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,18.4,,-0.1,0.0,-0.1,-0.389,,-18.8,-8.7,-27.5,-0.1
17,Kira Lewis Jr.,22,3,7,29.0,0.5,0.5,0.0,15.8,0.0,7.8,57.9,6.8,0.0,0.0,11.8,,0.0,0.0,0.0,0.323,,7.0,5.3,12.3,0.0
18,Micah Potter,25,2,7,1.5,0.0,1.0,0.0,0.0,61.8,31.2,0.0,0.0,0.0,0.0,5.9,,0.0,0.0,0.0,-0.065,,-8.3,-3.4,-11.7,0.0
19,Jason Preston,24,1,1,-11.9,,,,100.0,0.0,54.7,0.0,0.0,0.0,100.0,41.4,,0.0,0.0,0.0,-0.925,,-8.0,-17.4,-25.3,0.0
