Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
1,Shai Gilgeous-Alexander,25,56,1932,30.7,0.65,0.167,0.449,2.9,14.4,8.9,31.4,3.0,2.4,8.3,32.9,,8.8,3.3,12.1,0.301,,7.4,2.7,10.1,5.9
2,Chet Holmgren,21,57,1713,21.0,0.644,0.366,0.264,6.2,21.6,14.2,12.6,1.1,8.1,11.3,21.6,,3.4,3.1,6.6,0.184,,2.3,2.0,4.3,2.7
3,Jalen Williams,22,51,1630,18.4,0.625,0.243,0.236,1.9,11.7,7.0,21.0,1.5,1.5,10.1,23.0,,3.4,1.9,5.2,0.154,,1.8,0.0,1.8,1.6
4,Luguentz Dort,24,55,1566,11.3,0.6,0.591,0.23,4.4,10.1,7.4,5.9,1.5,2.3,9.0,15.1,,1.5,1.8,3.4,0.103,,-1.3,-0.1,-1.4,0.3
5,Josh Giddey,21,56,1388,15.0,0.52,0.283,0.143,6.5,20.5,13.9,24.1,1.3,2.1,15.4,22.5,,0.2,2.0,2.3,0.078,,0.1,0.3,0.3,0.8
6,Cason Wallace,20,57,1180,11.8,0.637,0.552,0.088,3.6,8.3,6.1,8.2,1.7,1.9,7.8,12.3,,1.7,1.3,3.0,0.12,,-0.6,0.5,-0.1,0.6
7,Isaiah Joe,24,53,985,13.7,0.642,0.733,0.118,2.4,11.2,7.0,8.2,1.7,1.3,8.4,16.7,,1.4,1.1,2.5,0.122,,1.3,-0.1,1.3,0.8
8,Aaron Wiggins,25,54,775,15.0,0.693,0.379,0.179,5.8,12.1,9.1,8.3,1.7,0.8,12.0,15.4,,1.5,0.9,2.4,0.147,,0.5,-0.2,0.4,0.5
9,Kenrich Williams,29,46,676,11.3,0.57,0.534,0.056,5.9,14.8,10.6,10.3,1.8,0.8,8.5,12.8,,0.7,0.9,1.6,0.113,,-1.2,0.4,-0.8,0.2
10,Jaylin Williams,21,48,597,11.9,0.533,0.643,0.172,5.1,23.2,14.6,13.2,1.5,2.6,10.1,13.7,,0.5,1.0,1.5,0.12,,-1.1,1.6,0.5,0.4
11,Vasilije Micić,30,30,361,7.9,0.498,0.495,0.209,0.3,6.8,3.7,25.5,1.2,0.8,22.6,15.4,,-0.2,0.3,0.2,0.02,,-3.9,-1.4,-5.3,-0.3
12,Ousmane Dieng,20,29,326,10.1,0.555,0.634,0.158,3.6,12.7,8.4,12.0,0.7,0.8,12.9,16.5,,0.1,0.3,0.4,0.063,,-1.7,-1.1,-2.9,-0.1
13,Lindy Waters III,26,24,170,10.9,0.644,0.923,0.0,0.7,13.8,7.6,8.9,0.3,2.2,7.1,14.3,,0.2,0.2,0.4,0.108,,-0.2,-0.9,-1.1,0.0
14,Tre Mann,22,13,119,14.1,0.606,0.475,0.025,3.9,17.9,11.3,22.1,1.2,0.0,18.2,18.0,,0.1,0.1,0.3,0.101,,0.4,-0.3,0.1,0.1
15,Dāvis Bertāns,31,15,91,17.2,0.675,0.923,0.577,2.6,9.4,6.1,12.1,1.6,3.0,3.0,16.0,,0.3,0.1,0.4,0.227,,3.2,0.8,4.0,0.1
16,Olivier Sarr,24,13,90,14.7,0.653,0.333,0.722,13.0,29.6,21.7,2.7,0.0,6.1,11.2,12.9,,0.2,0.2,0.3,0.186,,-2.7,-0.2,-2.9,0.0
17,Keyontae Johnson,23,8,64,-0.2,0.321,0.214,0.0,5.5,10.0,7.8,7.2,0.0,0.0,22.2,12.2,,-0.2,0.0,-0.1,-0.087,,-8.4,-2.9,-11.3,-0.2
18,Aleksej Pokusevski,22,10,60,2.4,0.338,0.688,0.25,3.9,14.2,9.3,9.7,0.8,1.5,14.5,15.0,,-0.1,0.1,-0.1,-0.064,,-7.7,-2.3,-10.0,-0.1
19,Gordon Hayward,33,3,40,5.9,0.311,0.0,0.167,8.8,29.3,19.5,8.8,0.0,0.0,7.2,15.1,,-0.1,0.1,0.0,-0.022,,-5.9,-2.6,-8.5,-0.1
20,Bismack Biyombo,31,1,8,-1.8,,,,0.0,13.3,7.0,0.0,0.0,11.5,100.0,5.4,,0.0,0.0,0.0,-0.101,,-9.5,2.3,-7.2,0.0
21,Adam Flagler,24,1,6,-13.6,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,21.7,,-0.1,0.0,-0.1,-0.451,,-18.0,-8.9,-26.9,0.0
