Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Shai Gilgeous-Alexander,25,56,56,1932,11.5,20.9,0.548,1.3,3.5,0.38,10.1,17.4,0.582,8.3,9.4,0.883,0.9,4.9,5.8,6.9,2.2,1.0,2.3,2.6,32.5
2,Chet Holmgren,21,57,57,1713,7.7,14.2,0.544,2.1,5.2,0.403,5.6,9.0,0.625,2.9,3.8,0.771,1.9,7.3,9.2,3.2,0.8,3.2,2.0,3.1,20.5
3,Jalen Williams,22,51,51,1630,8.4,15.5,0.541,1.7,3.8,0.45,6.7,11.8,0.57,2.9,3.7,0.801,0.6,4.0,4.5,5.2,1.1,0.6,1.9,3.0,21.5
4,Luguentz Dort,24,55,55,1566,4.6,10.4,0.447,2.5,6.1,0.404,2.2,4.3,0.508,2.0,2.4,0.817,1.4,3.4,4.8,1.7,1.1,0.9,1.1,3.8,13.7
5,Josh Giddey,21,56,56,1388,6.6,14.9,0.447,1.4,4.2,0.327,5.3,10.7,0.494,1.8,2.1,0.829,2.0,7.0,8.9,6.5,1.0,0.8,2.9,1.8,16.4
6,Cason Wallace,20,57,9,1180,4.6,9.1,0.508,2.1,5.0,0.421,2.5,4.1,0.617,0.7,0.8,0.846,1.1,2.8,3.9,2.3,1.3,0.8,0.8,2.9,12.0
7,Isaiah Joe,24,53,0,985,5.7,12.1,0.47,3.8,8.8,0.426,1.9,3.2,0.591,1.2,1.4,0.846,0.7,3.8,4.5,2.3,1.2,0.5,1.2,2.4,16.3
8,Aaron Wiggins,25,54,0,775,6.0,10.4,0.58,2.0,3.9,0.518,4.0,6.5,0.619,1.4,1.9,0.775,1.8,4.1,5.9,2.3,1.3,0.3,1.5,3.0,15.6
9,Kenrich Williams,29,46,1,676,4.4,9.5,0.466,2.1,5.1,0.411,2.3,4.4,0.53,0.2,0.5,0.3,1.8,5.0,6.8,3.0,1.3,0.3,0.9,3.5,11.1
10,Jaylin Williams,21,48,0,597,3.7,9.5,0.389,2.2,6.1,0.356,1.5,3.4,0.446,1.3,1.6,0.815,1.6,7.8,9.4,3.9,1.1,1.0,1.1,4.0,10.9
11,Vasilije Micić,30,30,0,361,3.7,9.1,0.407,1.1,4.5,0.244,2.6,4.6,0.565,1.4,1.9,0.737,0.1,2.3,2.4,7.6,0.9,0.3,2.9,2.2,9.9
12,Ousmane Dieng,20,29,0,326,4.7,11.2,0.426,2.2,7.1,0.313,2.5,4.1,0.622,1.5,1.8,0.875,1.1,4.3,5.4,3.4,0.6,0.3,1.8,2.1,13.3
13,Lindy Waters III,26,24,0,170,4.9,11.0,0.442,4.4,10.2,0.438,0.4,0.8,0.5,0.0,0.0,,0.2,4.7,4.9,2.5,0.2,0.8,0.8,3.6,14.2
14,Tre Mann,22,13,0,119,6.1,12.1,0.5,2.4,5.7,0.421,3.6,6.4,0.571,0.3,0.3,1.0,1.2,6.1,7.3,6.1,0.9,0.0,2.7,0.9,14.8
15,Dāvis Bertāns,31,15,0,91,4.0,10.3,0.385,4.0,9.5,0.417,0.0,0.8,0.0,5.5,5.9,0.933,0.8,3.2,4.0,3.6,1.2,1.2,0.4,4.0,17.4
16,Olivier Sarr,24,13,0,90,4.0,7.2,0.556,0.8,2.4,0.333,3.2,4.8,0.667,3.6,5.2,0.692,4.0,10.0,14.0,0.8,0.0,2.4,1.2,6.8,12.4
17,Keyontae Johnson,23,8,0,64,2.3,7.9,0.286,0.6,1.7,0.333,1.7,6.2,0.273,0.0,0.0,,1.7,3.4,5.1,2.3,0.0,0.0,2.3,2.8,5.1
18,Aleksej Pokusevski,22,10,0,60,2.4,9.6,0.25,1.2,6.6,0.182,1.2,3.0,0.4,1.2,2.4,0.5,1.2,4.8,6.0,3.0,0.6,0.6,1.8,3.0,7.2
19,Gordon Hayward,33,3,0,40,2.7,10.8,0.25,0.0,0.0,,2.7,10.8,0.25,1.8,1.8,1.0,2.7,9.9,12.6,2.7,0.0,0.0,0.9,0.0,7.2
20,Bismack Biyombo,31,1,0,8,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,4.5,4.5,0.0,0.0,4.5,4.5,4.5,0.0
21,Adam Flagler,24,1,0,6,0.0,18.0,0.0,0.0,18.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
