No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
9,Ausar Thompson,SF,6-7,215,"January 30, 2003",us,R,
23,Jaden Ivey,SG,6-4,195,"February 13, 2002",us,1,Purdue
25,Marcus Sasser,PG,6-2,195,"September 21, 2000",us,R,Houston
2,Cade Cunningham,PG,6-6,220,"September 25, 2001",us,2,Oklahoma State
0,Jalen Duren,C,6-10,250,"November 18, 2003",us,1,Memphis
13,James Wiseman,C,7-0,240,"March 31, 2001",us,2,Memphis
28,Isaiah Stewart,PF,6-8,250,"May 22, 2001",us,3,Washington
17,Stanley Umude (TW),SG,6-6,210,"April 12, 1999",us,1,"South Dakota, Arkansas"
41,Mike Muscala,C,6-10,240,"July 1, 1991",us,10,Bucknell
8,Jared Rhoden (TW),SG,6-6,210,"August 27, 1999",us,1,Seton Hall
19,Simone Fontecchio,SF,6-8,209,"December 9, 1995",it,1,
7,Troy Brown Jr.,SF,6-6,215,"July 28, 1999",us,5,Oregon
31,Evan Fournier,SG,6-6,205,"October 29, 1992",fr,11,
5,Shake Milton,SG,6-5,205,"September 26, 1996",us,5,SMU
14,Malachi Flynn,PG,6-1,175,"May 10, 1998",us,3,"Washington State, San Diego State"
24,Quentin Grimes,SG,6-5,205,"May 8, 2000",us,2,"Kansas, Houston"
