Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Cade Cunningham,22,46,46,1557,8.9,19.7,0.453,1.9,5.5,0.346,7.0,14.1,0.495,3.9,4.5,0.857,0.4,4.0,4.4,7.9,1.0,0.4,3.8,2.9,23.6
2,Jaden Ivey,21,52,36,1449,6.9,15.4,0.448,2.0,5.6,0.36,4.9,9.8,0.499,3.7,5.0,0.729,1.6,3.1,4.7,4.8,0.9,0.7,3.1,3.7,19.5
3,Ausar Thompson,21,56,31,1353,5.5,11.2,0.49,0.3,2.3,0.151,5.1,8.9,0.578,1.6,2.7,0.604,3.2,6.3,9.6,2.8,1.5,1.4,1.9,4.3,12.9
4,Jalen Duren,20,41,40,1235,7.3,11.5,0.635,0.0,0.1,0.0,7.3,11.4,0.64,2.2,2.9,0.74,3.9,10.4,14.3,3.0,0.5,1.0,2.3,3.9,16.8
5,Isaiah Stewart,22,35,34,1070,4.8,10.2,0.47,1.6,4.4,0.374,3.1,5.8,0.544,1.8,2.4,0.746,2.1,5.9,8.0,2.1,0.4,0.9,1.8,2.9,13.0
6,Killian Hayes,22,42,31,1008,4.2,10.1,0.413,0.8,2.6,0.297,3.4,7.5,0.455,1.2,1.8,0.66,0.4,3.9,4.2,7.3,1.3,0.7,1.8,2.7,10.3
7,Bojan Bogdanović,34,28,27,921,7.8,16.6,0.468,3.4,8.1,0.415,4.4,8.5,0.518,3.2,4.1,0.779,0.5,3.2,3.7,2.8,0.9,0.2,2.5,2.2,22.1
8,Alec Burks,32,43,0,901,6.4,16.2,0.394,4.0,9.9,0.401,2.4,6.4,0.384,4.8,5.4,0.903,0.6,3.8,4.4,2.7,0.8,0.4,1.3,2.6,21.6
9,Marcus Sasser,23,50,0,813,6.4,13.7,0.468,2.6,6.2,0.424,3.8,7.6,0.503,1.5,1.8,0.85,0.3,3.1,3.4,6.7,1.2,0.4,2.2,3.1,17.0
10,Kevin Knox,24,31,11,560,5.5,12.0,0.462,2.0,6.0,0.33,3.5,5.9,0.598,1.3,1.4,0.909,1.2,3.7,4.8,1.5,0.8,0.5,1.4,3.2,14.3
11,James Wiseman,22,37,0,528,6.5,9.7,0.664,0.0,0.1,0.0,6.5,9.6,0.674,2.1,3.4,0.62,3.7,6.4,10.2,1.8,0.3,1.6,2.1,5.2,15.1
12,Marvin Bagley III,24,26,10,478,8.1,13.6,0.591,0.1,0.5,0.167,8.0,13.2,0.606,3.8,4.6,0.82,3.5,5.4,8.9,2.0,0.4,1.1,2.2,3.0,20.0
13,Isaiah Livers,25,23,6,469,3.1,8.9,0.345,1.7,5.9,0.286,1.4,3.0,0.462,0.9,1.4,0.667,1.2,2.5,3.7,1.9,1.0,0.4,1.2,3.3,8.8
14,Stanley Umude,24,17,0,190,4.7,9.9,0.481,3.2,5.9,0.548,1.5,4.0,0.381,4.2,4.5,0.917,0.8,5.1,5.9,1.7,0.8,0.9,2.1,5.3,16.9
15,Mike Muscala,32,13,4,171,3.2,9.3,0.341,2.7,7.2,0.382,0.4,2.1,0.2,0.4,0.8,0.5,2.1,4.0,6.1,2.1,0.6,1.1,0.4,2.7,9.5
16,Joe Harris,32,16,0,170,3.0,8.3,0.359,2.1,6.4,0.333,0.8,1.9,0.444,0.2,0.4,0.5,0.6,2.1,2.8,2.1,0.6,0.4,0.8,4.0,8.3
17,Simone Fontecchio,28,5,4,143,7.8,16.4,0.477,3.0,7.8,0.387,4.8,8.6,0.559,0.8,1.3,0.6,1.0,3.5,4.5,2.8,1.0,0.0,0.5,2.0,19.4
18,Danilo Gallinari,35,6,0,90,4.8,8.8,0.545,2.8,4.8,0.583,2.0,4.0,0.5,8.4,9.6,0.875,0.8,4.8,5.6,4.8,0.8,0.8,0.4,3.6,20.8
19,Evan Fournier,31,4,0,86,6.7,13.4,0.5,3.8,8.0,0.474,2.9,5.4,0.538,2.1,2.9,0.714,0.8,5.4,6.3,1.3,1.7,0.4,2.5,2.5,19.3
20,Troy Brown Jr.,24,5,0,74,4.4,11.7,0.375,2.4,7.3,0.333,1.9,4.4,0.444,1.0,1.0,1.0,1.0,6.8,7.8,2.9,0.5,0.0,1.5,2.4,12.2
21,Monte Morris,28,6,0,68,6.4,17.5,0.364,1.1,5.8,0.182,5.3,11.6,0.455,0.5,1.1,0.5,1.1,5.3,6.4,4.2,0.5,0.5,1.1,0.5,14.3
22,Shake Milton,27,4,0,63,6.3,14.9,0.423,1.7,5.1,0.333,4.6,9.7,0.471,1.1,1.7,0.667,4.0,6.3,10.3,3.4,1.1,0.6,1.7,1.7,15.4
23,Jared Rhoden,24,6,0,42,5.1,9.4,0.545,0.9,3.4,0.25,4.3,6.0,0.714,1.7,1.7,1.0,0.9,3.4,4.3,3.4,0.0,1.7,2.6,3.4,12.9
24,Malachi Flynn,25,4,0,38,4.7,14.2,0.333,1.9,4.7,0.4,2.8,9.5,0.3,0.9,1.9,0.5,0.0,3.8,3.8,5.7,2.8,0.0,2.8,2.8,12.3
25,Quentin Grimes,23,1,0,26,2.8,11.1,0.25,1.4,6.9,0.2,1.4,4.2,0.333,0.0,0.0,,0.0,2.8,2.8,5.5,2.8,1.4,1.4,1.4,6.9
26,Tosan Evbuomwan,22,1,0,8,9.0,9.0,1.0,4.5,4.5,1.0,4.5,4.5,1.0,0.0,0.0,,0.0,9.0,9.0,0.0,4.5,0.0,0.0,4.5,22.5
27,Malcolm Cazalon,22,1,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
