Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Rk,Player,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Paolo Banchero,21,57,1986,,,,95%,5%,-1.7,-8.2,81,58,62,18,198,0,722,39,69
2,Franz Wagner,22,50,1661,,4%,84%,11%,,2.9,5.6,45,35,50,15,98,26,472,25,57
3,Jalen Suggs,22,53,1416,16%,79%,5%,,,-3.2,-7.8,51,27,83,9,42,26,321,7,19
4,Cole Anthony,23,57,1311,100%,,,,,0.6,0.1,52,32,68,6,72,10,436,13,23
5,Moritz Wagner,26,56,1029,,,,1%,99%,1.7,1.7,13,22,45,21,84,21,163,26,32
6,Anthony Black,20,53,980,72%,26%,1%,,,-0.8,-2.2,35,5,61,1,27,14,199,7,13
7,Goga Bitadze,24,48,863,,,,,100%,2.9,3.3,15,5,46,10,30,1,171,8,15
8,Wendell Carter Jr.,24,32,839,,,,6%,94%,-1.2,-2.6,11,11,40,14,35,4,123,5,12
9,Gary Harris,29,35,797,20%,78%,2%,,,1.1,0.6,12,3,28,1,8,5,144,3,4
10,Joe Ingles,36,44,765,,16%,79%,5%,,4.2,4.9,25,6,24,7,4,1,291,1,5
11,Caleb Houstan,21,41,617,,23%,70%,8%,,-2.8,-4.4,7,3,20,1,7,0,66,1,1
12,Jonathan Isaac,26,40,590,,,14%,85%,,12.5,15.0,6,7,25,1,28,5,42,6,12
13,Markelle Fultz,25,22,516,74%,26%,,,,0.6,0.0,14,6,17,4,10,1,183,4,16
14,Chuma Okeke,25,34,383,1%,60%,33%,6%,,-5.7,-7.3,5,2,8,1,2,0,45,1,2
15,Trevelin Queen,26,13,163,12%,58%,30%,,,0.7,0.1,5,2,8,0,6,1,48,2,0
16,Jett Howard,20,13,49,,,7%,87%,6%,0.9,0.3,1,1,1,0,1,0,8,0,0
17,Admiral Schofield,26,13,49,,,,20%,80%,10.9,10.5,1,1,3,2,1,2,12,0,2
18,Kevon Harris,26,2,6,,47%,53%,,,11.0,10.4,1,0,2,0,0,0,3,0,0
