Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Paolo Banchero,21,57,57,1986,8.3,18.3,0.456,1.6,4.3,0.364,6.8,14.0,0.484,5.2,7.4,0.7,1.1,5.9,7.0,5.4,1.1,0.6,3.1,2.1,23.4
2,Franz Wagner,22,50,50,1661,8.3,17.5,0.476,1.7,5.5,0.315,6.6,12.0,0.551,4.1,4.8,0.851,1.1,4.9,6.1,4.4,1.1,0.4,2.2,2.5,22.5
3,Jalen Suggs,22,53,53,1416,5.9,13.1,0.453,2.7,7.1,0.387,3.2,6.1,0.529,1.9,2.5,0.76,1.0,3.4,4.3,3.4,1.9,0.8,2.5,3.7,16.6
4,Cole Anthony,23,57,0,1311,6.5,14.9,0.435,1.7,5.1,0.332,4.8,9.8,0.489,4.1,4.9,0.832,1.3,4.9,6.2,4.9,1.3,0.7,2.7,3.9,18.7
5,Moritz Wagner,26,56,1,1029,8.3,14.1,0.589,0.9,2.9,0.329,7.4,11.3,0.655,4.4,5.5,0.801,3.1,5.7,8.9,2.3,1.0,0.6,2.3,4.2,22.0
6,Anthony Black,20,53,31,980,3.5,7.5,0.468,1.0,2.7,0.37,2.5,4.8,0.523,1.6,2.5,0.657,1.1,3.3,4.4,3.0,1.0,0.7,1.8,3.7,9.6
7,Goga Bitadze,24,48,32,863,4.8,7.9,0.603,0.1,0.5,0.167,4.7,7.4,0.633,2.0,3.0,0.662,4.2,6.7,10.9,3.0,1.1,2.9,1.4,4.1,11.6
8,Wendell Carter Jr.,24,32,26,839,5.8,10.7,0.544,1.7,4.0,0.419,4.2,6.7,0.618,2.6,3.6,0.718,2.5,6.5,9.0,2.1,0.6,0.6,1.7,3.3,16.0
9,Gary Harris,29,35,8,797,3.8,8.7,0.44,2.1,5.9,0.359,1.7,2.8,0.613,1.2,1.6,0.771,0.8,1.8,2.6,2.8,1.4,0.5,0.9,2.8,11.0
10,Joe Ingles,36,44,0,765,3.3,8.0,0.42,2.3,5.5,0.422,1.0,2.5,0.415,0.8,1.0,0.857,0.8,4.0,4.8,6.3,1.3,0.2,1.8,3.0,9.8
11,Caleb Houstan,21,41,8,617,3.7,9.5,0.393,3.3,8.9,0.375,0.4,0.6,0.636,1.0,1.3,0.773,1.3,2.5,3.8,1.4,0.6,0.1,0.8,2.7,11.8
12,Jonathan Isaac,26,40,1,590,5.6,11.6,0.479,1.2,4.1,0.299,4.3,7.5,0.577,2.7,3.8,0.71,3.1,7.2,10.3,1.1,1.8,2.8,1.3,2.7,15.0
13,Markelle Fultz,25,22,15,516,5.9,12.1,0.483,0.1,0.6,0.125,5.8,11.6,0.5,0.7,1.3,0.556,2.2,3.2,5.4,5.4,2.0,0.6,1.7,2.4,12.5
14,Chuma Okeke,25,34,8,383,3.6,9.3,0.384,2.2,6.8,0.319,1.4,2.5,0.556,0.2,0.5,0.4,1.7,5.2,6.9,1.6,0.7,0.7,1.1,1.8,9.5
15,Trevelin Queen,26,13,0,163,3.1,8.4,0.368,0.7,3.8,0.176,2.4,4.6,0.524,2.0,2.7,0.75,0.7,3.5,4.2,4.0,1.5,1.1,1.5,3.3,8.8
16,Jett Howard,20,13,0,49,5.9,16.2,0.364,3.7,12.5,0.294,2.2,3.7,0.6,1.5,2.9,0.5,0.7,2.9,3.7,2.2,0.0,0.7,1.5,2.2,16.9
17,Admiral Schofield,26,13,0,49,4.4,11.8,0.375,2.2,7.3,0.3,2.2,4.4,0.5,0.0,1.5,0.0,0.7,5.1,5.9,3.7,0.0,0.0,2.9,5.1,11.0
18,Kevon Harris,26,2,0,6,12.0,18.0,0.667,0.0,0.0,,12.0,18.0,0.667,0.0,0.0,,0.0,12.0,12.0,6.0,0.0,0.0,6.0,18.0,24.0
