Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1,Paolo Banchero,21,57,57,1986,11.4,25.0,0.456,2.2,5.9,0.364,9.2,19.1,0.484,7.1,10.1,0.7,1.6,8.1,9.6,7.3,1.4,0.8,4.2,2.8,32.0,,109,113
2,Franz Wagner,22,50,50,1661,11.4,23.9,0.476,2.4,7.5,0.315,9.0,16.4,0.551,5.6,6.5,0.851,1.6,6.8,8.3,6.0,1.6,0.5,3.0,3.5,30.7,,116,114
3,Jalen Suggs,22,53,53,1416,8.1,18.0,0.453,3.8,9.7,0.387,4.4,8.3,0.529,2.6,3.5,0.76,1.3,4.6,5.9,4.7,2.6,1.1,3.5,5.1,22.7,,109,112
4,Cole Anthony,23,57,0,1311,8.9,20.3,0.435,2.3,6.9,0.332,6.6,13.4,0.489,5.6,6.7,0.832,1.8,6.7,8.5,6.8,1.7,1.0,3.7,5.3,25.6,,110,113
5,Moritz Wagner,26,56,1,1029,11.4,19.3,0.589,1.3,3.9,0.329,10.1,15.4,0.655,6.0,7.5,0.801,4.3,7.8,12.1,3.2,1.3,0.9,3.2,5.7,30.0,,126,113
6,Anthony Black,20,53,31,980,4.8,10.2,0.468,1.4,3.7,0.37,3.4,6.5,0.523,2.2,3.4,0.657,1.5,4.6,6.0,4.1,1.4,0.9,2.4,5.0,13.1,,109,115
7,Goga Bitadze,24,48,32,863,6.5,10.8,0.603,0.1,0.7,0.167,6.4,10.1,0.633,2.7,4.0,0.662,5.8,9.1,14.9,4.1,1.5,3.9,1.9,5.6,15.8,,131,108
8,Wendell Carter Jr.,24,32,26,839,8.0,14.7,0.544,2.3,5.5,0.419,5.7,9.2,0.618,3.6,5.0,0.718,3.4,8.9,12.3,2.9,0.9,0.9,2.3,4.5,21.8,,125,114
9,Gary Harris,29,35,8,797,5.2,11.9,0.44,2.9,8.1,0.359,2.3,3.8,0.613,1.7,2.2,0.771,1.1,2.4,3.5,3.8,1.9,0.6,1.2,3.9,15.1,,122,115
10,Joe Ingles,36,44,0,765,4.6,10.9,0.42,3.2,7.5,0.422,1.4,3.4,0.415,1.2,1.4,0.857,1.0,5.5,6.5,8.6,1.8,0.3,2.5,4.1,13.4,,120,114
11,Caleb Houstan,21,41,8,617,5.1,13.0,0.393,4.5,12.1,0.375,0.6,0.9,0.636,1.4,1.8,0.773,1.8,3.4,5.2,1.9,0.8,0.1,1.1,3.7,16.1,,119,118
12,Jonathan Isaac,26,40,1,590,7.6,15.8,0.479,1.7,5.6,0.299,5.9,10.3,0.577,3.7,5.2,0.71,4.3,9.8,14.1,1.5,2.4,3.8,1.8,3.7,20.5,,117,106
13,Markelle Fultz,25,22,15,516,8.0,16.6,0.483,0.1,0.8,0.125,7.9,15.8,0.5,1.0,1.7,0.556,3.1,4.4,7.4,7.4,2.7,0.8,2.4,3.3,17.1,,110,112
14,Chuma Okeke,25,34,8,383,4.9,12.7,0.384,3.0,9.2,0.319,1.9,3.5,0.556,0.3,0.6,0.4,2.3,7.1,9.4,2.2,0.9,0.9,1.5,2.4,13.0,,104,115
15,Trevelin Queen,26,13,0,163,4.2,11.5,0.368,0.9,5.1,0.176,3.3,6.3,0.524,2.7,3.6,0.75,0.9,4.8,5.7,5.4,2.1,1.5,2.1,4.5,12.1,,101,112
16,Jett Howard,20,13,0,49,8.0,22.1,0.364,5.0,17.1,0.294,3.0,5.0,0.6,2.0,4.0,0.5,1.0,4.0,5.0,3.0,0.0,1.0,2.0,3.0,23.1,,99,118
17,Admiral Schofield,26,13,0,49,6.0,16.1,0.375,3.0,10.0,0.3,3.0,6.0,0.5,0.0,2.0,0.0,1.0,7.0,8.0,5.0,0.0,0.0,4.0,7.0,15.1,,85,117
18,Kevon Harris,26,2,0,6,16.4,24.6,0.667,0.0,0.0,,16.4,24.6,0.667,0.0,0.0,,0.0,16.4,16.4,8.2,0.0,0.0,8.2,24.6,32.8,,101,111
