Rk,Unnamed: 1,Salary
1,Fred VanVleet,"$40,806,300"
2,Dillon Brooks,"$22,627,671"
3,Steven Adams,"$12,600,000"
4,Jalen Green,"$9,891,480"
5,Jeff Green,"$9,600,000"
6,Jabari Smith Jr.,"$9,326,520"
7,Amen Thompson,"$8,809,320"
8,Jock Landale,"$8,000,000"
9,John Wall,"$6,802,950"
10,Jae'Sean Tate,"$6,500,000"
11,Alperen Şengün,"$3,536,280"
12,Tari Eason,"$3,527,160"
13,Cam Whitmore,"$3,218,160"
14,Aaron Holiday,"$2,019,706"
15,Boban Marjanović,"$2,019,706"
16,Reggie Bullock,"$2,019,706"
17,Jeremiah Robinson-Earl,"$1,900,000"
