Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Rk,Player,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Fred VanVleet,29,50,1832,81%,19%,,,,2.4,6.7,57,19,50,7,50,17,934,11,22
2,Alperen Şengün,21,56,1814,,,,,100%,0.0,-0.2,53,54,100,19,138,20,666,36,60
3,Jalen Green,21,57,1729,14%,82%,4%,,,-3.5,-9.4,51,56,41,8,116,3,454,33,75
4,Jabari Smith Jr.,20,52,1659,,,,76%,24%,-1.9,-4.8,23,24,73,10,58,2,188,13,42
5,Dillon Brooks,28,48,1501,1%,21%,68%,11%,,-1.7,-3.9,29,24,89,7,56,15,193,10,22
6,Aaron Holiday,27,54,942,100%,,,,,3.6,5.4,24,12,42,2,17,11,249,5,14
7,Jeff Green,37,55,921,,,7%,69%,25%,-1.3,-2.1,8,5,47,18,59,3,115,15,10
8,Jae'Sean Tate,28,52,902,4%,32%,64%,1%,,5.4,7.9,10,7,61,5,15,12,142,4,14
9,Amen Thompson,21,38,754,,25%,63%,12%,,-3.0,-4.2,28,17,41,5,43,7,223,14,20
10,Cam Whitmore,19,31,538,,,46%,50%,4%,-3.8,-4.9,10,12,24,5,35,1,30,6,21
11,Tari Eason,22,22,480,,1%,40%,59%,,10.7,12.9,9,3,31,2,16,2,65,5,17
12,Jock Landale,28,31,282,,,,8%,92%,6.7,7.4,4,3,18,2,9,1,50,1,11
13,Reggie Bullock,32,23,216,11%,42%,41%,6%,,-5.9,-6.5,4,0,5,1,1,0,22,1,1
14,Jeenathan Williams,24,11,76,25%,75%,,,,11.6,11.8,1,0,6,0,4,0,13,1,5
15,Nate Hinton,24,11,58,28%,69%,3%,,,10.1,10.2,2,0,4,0,3,0,12,1,2
16,Jermaine Samuels,25,11,53,,,62%,38%,,-12.0,-12.3,0,0,0,0,0,0,6,0,1
17,Boban Marjanović,35,9,48,,,,,100%,-21.6,-22.1,2,0,4,0,4,0,10,2,1
