Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1,Fred VanVleet,29,50,50,1832,7.3,17.8,0.409,3.9,10.3,0.376,3.4,7.4,0.456,3.4,4.0,0.853,0.5,4.4,4.9,10.6,1.5,1.2,2.2,3.0,21.8,,121,114
2,Alperen Şengün,21,56,56,1814,12.4,23.0,0.539,0.8,2.8,0.298,11.6,20.2,0.572,5.8,8.3,0.709,4.2,9.6,13.8,7.3,1.7,1.1,3.9,5.0,31.5,,118,111
3,Jalen Green,21,57,57,1729,9.8,24.0,0.407,3.2,10.4,0.307,6.6,13.6,0.483,5.5,6.9,0.801,0.7,7.0,7.7,5.4,1.1,0.6,3.5,2.0,28.2,,104,115
4,Jabari Smith Jr.,20,52,52,1659,7.4,16.4,0.455,2.6,7.1,0.365,4.8,9.3,0.524,2.8,3.5,0.815,3.1,10.0,13.1,2.3,1.1,1.1,1.9,4.1,20.3,,115,112
5,Dillon Brooks,28,48,48,1501,7.6,17.1,0.443,3.1,7.8,0.402,4.5,9.4,0.476,3.1,3.6,0.841,1.2,4.2,5.4,2.6,1.4,0.2,2.1,5.6,21.4,,111,116
6,Aaron Holiday,27,54,1,942,7.0,15.4,0.458,3.4,8.3,0.41,3.7,7.1,0.514,2.1,2.3,0.889,0.8,4.2,4.9,5.2,1.5,0.2,2.3,4.4,19.5,,116,116
7,Jeff Green,37,55,5,921,5.8,12.2,0.474,1.3,4.4,0.301,4.5,7.8,0.57,5.1,6.2,0.829,1.7,4.6,6.4,2.5,0.5,1.2,2.1,4.2,18.0,,118,117
8,Jae'Sean Tate,28,52,9,902,5.0,10.6,0.47,1.1,3.7,0.304,3.9,6.9,0.558,1.2,1.7,0.688,2.8,6.5,9.3,3.0,2.0,0.5,1.4,6.6,12.3,,115,113
9,Amen Thompson,21,38,6,754,8.0,15.6,0.51,0.4,2.9,0.156,7.5,12.7,0.591,3.4,5.4,0.631,4.3,9.4,13.8,6.0,2.8,1.5,3.7,5.5,19.8,,110,108
10,Cam Whitmore,19,31,1,538,12.2,25.8,0.476,4.8,12.4,0.384,7.5,13.3,0.561,4.4,6.7,0.662,1.8,8.3,10.1,1.3,1.7,0.8,2.6,3.8,33.7,,110,112
11,Tari Eason,22,22,0,480,8.9,19.1,0.466,1.8,5.0,0.36,7.1,14.0,0.504,2.1,3.3,0.636,4.6,10.8,15.4,2.7,3.1,1.9,2.0,5.1,21.7,,111,106
12,Jock Landale,28,31,0,282,4.6,12.0,0.386,0.3,3.1,0.111,4.3,8.9,0.481,2.2,2.9,0.765,6.5,5.2,11.7,3.6,1.4,1.9,2.1,4.8,11.9,,109,113
13,Reggie Bullock,32,23,0,216,4.7,11.2,0.42,3.6,8.7,0.41,1.1,2.5,0.455,0.2,0.2,1.0,0.7,6.7,7.4,2.2,0.9,0.4,1.1,2.7,13.2,,115,115
14,Jeenathan Williams,24,11,0,76,8.9,19.1,0.467,0.6,1.9,0.333,8.3,17.2,0.481,2.6,4.5,0.571,5.1,1.3,6.4,3.8,1.3,0.0,1.3,5.7,21.0,,113,118
15,Nate Hinton,24,11,0,58,8.4,16.7,0.5,5.8,9.2,0.636,2.5,7.5,0.333,3.3,4.2,0.8,2.5,7.5,10.0,5.0,1.7,1.7,1.7,8.4,25.9,,139,111
16,Jermaine Samuels,25,11,0,53,7.3,10.1,0.727,0.0,1.8,0.0,7.3,8.2,0.889,1.8,1.8,1.0,1.8,8.2,10.1,1.8,0.9,0.9,0.0,3.7,16.5,,161,114
17,Boban Marjanović,35,9,0,48,10.1,21.2,0.476,0.0,2.0,0.0,10.1,19.2,0.526,3.0,6.1,0.5,6.1,16.2,22.2,4.0,0.0,1.0,2.0,4.0,23.2,,108,111
