Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 14_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 21_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 24_level_0,Dunks,Dunks,Unnamed: 27_level_0,Corner 3s,Corner 3s,Unnamed: 30_level_0,Heaves,Heaves
Rk,Player,Age,G,MP,FG%,Dist.,Unnamed: 7_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 14_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 21_level_1,2P,3P,Unnamed: 24_level_1,%FGA,#,Unnamed: 27_level_1,%3PA,3P%,Unnamed: 30_level_1,Att.,#
1,Fred VanVleet,29,50,1832,0.409,19.6,,0.418,0.106,0.122,0.068,0.122,0.582,,0.456,0.507,0.354,0.435,0.524,0.376,,0.219,0.565,,0.0,0,,0.087,0.5,,2,0
2,Alperen Şengün,21,56,1814,0.539,8.0,,0.879,0.332,0.4,0.108,0.039,0.121,,0.572,0.692,0.506,0.505,0.412,0.298,,0.624,1.0,,0.08,59,,0.019,0.0,,2,0
3,Jalen Green,21,57,1729,0.407,15.4,,0.566,0.226,0.175,0.068,0.097,0.434,,0.483,0.674,0.327,0.31,0.446,0.307,,0.38,0.588,,0.037,29,,0.094,0.371,,2,0
4,Jabari Smith Jr.,20,52,1659,0.455,15.8,,0.565,0.203,0.143,0.141,0.078,0.435,,0.524,0.667,0.5,0.43,0.364,0.365,,0.62,0.944,,0.077,36,,0.115,0.5,,3,0
5,Dillon Brooks,28,48,1501,0.443,15.2,,0.546,0.183,0.241,0.087,0.036,0.454,,0.476,0.701,0.328,0.413,0.474,0.402,,0.594,0.959,,0.017,7,,0.149,0.5,,2,0
6,Aaron Holiday,27,54,942,0.458,17.5,,0.462,0.124,0.171,0.12,0.047,0.538,,0.514,0.649,0.471,0.528,0.286,0.41,,0.282,0.833,,0.007,2,,0.224,0.444,,1,0
7,Jeff Green,37,55,921,0.474,12.9,,0.642,0.233,0.289,0.086,0.034,0.358,,0.57,0.759,0.463,0.6,0.125,0.301,,0.694,0.88,,0.069,13,,0.494,0.317,,2,0
8,Jae'Sean Tate,28,52,902,0.47,11.0,,0.652,0.354,0.273,0.005,0.02,0.348,,0.558,0.614,0.537,0.0,0.0,0.304,,0.556,1.0,,0.025,3,,0.522,0.333,,0,0
9,Amen Thompson,21,38,754,0.51,8.6,,0.815,0.449,0.243,0.062,0.062,0.185,,0.591,0.706,0.508,0.267,0.4,0.156,,0.419,0.857,,0.198,46,,0.267,0.083,,1,0
10,Cam Whitmore,19,31,538,0.476,14.9,,0.517,0.276,0.182,0.024,0.035,0.483,,0.561,0.633,0.5,0.571,0.3,0.384,,0.566,0.925,,0.115,25,,0.174,0.458,,0,0
11,Tari Eason,22,22,480,0.466,9.9,,0.735,0.434,0.185,0.069,0.048,0.265,,0.504,0.561,0.371,0.462,0.556,0.36,,0.471,1.0,,0.122,20,,0.3,0.267,,0,0
12,Jock Landale,28,31,282,0.386,9.4,,0.743,0.414,0.257,0.057,0.014,0.257,,0.481,0.517,0.444,0.5,0.0,0.111,,0.68,1.0,,0.129,7,,0.167,0.333,,0,0
13,Reggie Bullock,32,23,216,0.42,21.8,,0.22,0.04,0.06,0.04,0.08,0.78,,0.455,1.0,0.333,0.5,0.25,0.41,,1.0,0.938,,0.0,0,,0.41,0.5,,0,0
14,Jeenathan Williams,24,11,76,0.467,6.4,,0.9,0.467,0.367,0.033,0.033,0.1,,0.481,0.714,0.273,0.0,0.0,0.333,,0.385,1.0,,0.1,3,,0.667,0.0,,0,0
15,Nate Hinton,24,11,58,0.5,16.8,,0.45,0.25,0.1,0.0,0.1,0.55,,0.333,0.4,0.5,,0.0,0.636,,0.0,0.714,,0.0,0,,0.091,0.0,,0,0
16,Jermaine Samuels,25,11,53,0.727,6.0,,0.818,0.636,0.182,0.0,0.0,0.182,,0.889,0.857,1.0,,,0.0,,0.625,,,0.091,1,,1.0,0.0,,0,0
17,Boban Marjanović,35,9,48,0.476,7.6,,0.905,0.286,0.476,0.095,0.048,0.095,,0.526,0.833,0.4,0.5,0.0,0.0,,0.6,,,0.19,4,,0.0,,,0,0
