Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
1,Fred VanVleet,29,50,1832,15.8,0.559,0.582,0.223,1.2,9.8,5.5,31.0,1.5,2.3,10.3,19.1,,3.1,2.2,5.3,0.138,,2.3,0.8,3.1,2.3
2,Alperen Şengün,21,56,1814,21.7,0.591,0.121,0.359,9.3,21.1,15.2,25.4,1.7,2.1,12.9,26.9,,3.3,2.8,6.1,0.162,,2.9,1.6,4.5,3.0
3,Jalen Green,21,57,1729,13.2,0.523,0.434,0.288,1.5,15.6,8.5,17.0,1.1,1.1,11.4,26.8,,-0.7,2.0,1.3,0.036,,-0.8,-0.8,-1.6,0.2
4,Jabari Smith Jr.,20,52,1659,13.4,0.567,0.435,0.212,6.8,22.0,14.4,6.7,1.1,2.1,9.7,17.4,,1.3,2.4,3.7,0.106,,-1.0,0.3,-0.7,0.5
5,Dillon Brooks,28,48,1501,10.2,0.57,0.454,0.213,2.6,9.2,5.9,7.6,1.4,0.4,10.1,18.3,,0.6,1.5,2.2,0.069,,-2.8,0.0,-2.8,-0.3
6,Aaron Holiday,27,54,942,11.4,0.596,0.538,0.151,1.7,9.2,5.5,15.2,1.5,0.4,12.1,16.4,,0.8,1.0,1.8,0.094,,-1.7,0.5,-1.2,0.2
7,Jeff Green,37,55,921,10.6,0.603,0.358,0.504,3.8,10.2,7.0,7.0,0.5,2.3,12.1,14.9,,0.9,0.9,1.7,0.091,,-2.4,-0.2,-2.6,-0.1
8,Jae'Sean Tate,28,52,902,9.5,0.54,0.348,0.162,6.3,14.4,10.3,8.3,2.0,0.9,10.9,11.2,,0.5,1.3,1.8,0.094,,-3.8,1.7,-2.1,0.0
9,Amen Thompson,21,38,754,16.1,0.55,0.185,0.346,9.5,20.9,15.2,17.9,2.8,2.8,16.9,19.0,,0.3,1.4,1.8,0.112,,-1.4,2.6,1.3,0.6
10,Cam Whitmore,19,31,538,17.4,0.587,0.483,0.259,4.0,18.3,11.1,4.3,1.7,1.5,8.3,27.5,,0.3,0.8,1.0,0.093,,1.3,-0.5,0.8,0.4
11,Tari Eason,22,22,480,17.1,0.528,0.265,0.175,10.3,23.9,17.1,8.4,3.1,3.7,8.9,19.8,,0.2,1.0,1.3,0.125,,-0.7,2.1,1.4,0.4
12,Jock Landale,28,31,282,10.8,0.445,0.257,0.243,14.4,11.4,12.9,9.8,1.4,3.6,13.4,13.5,,0.0,0.4,0.4,0.072,,-3.3,0.1,-3.3,-0.1
13,Reggie Bullock,32,23,216,8.2,0.585,0.78,0.02,1.5,14.9,8.2,6.1,0.9,0.9,9.0,10.9,,0.1,0.2,0.3,0.075,,-2.2,0.0,-2.2,0.0
14,Jeenathan Williams,24,11,76,12.0,0.499,0.1,0.233,11.3,2.8,7.0,11.8,1.3,0.0,5.7,19.7,,0.1,0.1,0.1,0.073,,-2.6,-1.1,-3.7,0.0
15,Nate Hinton,24,11,58,19.1,0.698,0.55,0.25,5.5,16.6,11.1,15.2,1.7,3.2,8.3,17.8,,0.2,0.1,0.3,0.227,,3.3,2.1,5.4,0.1
16,Jermaine Samuels,25,11,53,15.2,0.758,0.182,0.182,4.0,18.2,11.1,5.4,0.9,1.7,0.0,9.6,,0.1,0.1,0.2,0.191,,-0.3,1.2,0.9,0.0
17,Boban Marjanović,35,9,48,16.2,0.486,0.095,0.286,13.4,35.7,24.5,12.9,0.0,1.9,7.8,22.8,,0.0,0.1,0.1,0.086,,-1.8,-1.7,-3.5,0.0
