Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1.0,Jayson Tatum,25.0,54,54.0,1938,496,1044,0.475,166,456,0.364,330,588,0.561,0.555,297,362,0.82,47,411,458,260,57,32,137,110,1455
2.0,Jaylen Brown,27.0,52,52.0,1738,446,901,0.495,103,298,0.346,343,603,0.569,0.552,155,218,0.711,55,231,286,195,56,29,126,137,1150
3.0,Jrue Holiday,33.0,52,52.0,1729,257,541,0.475,107,243,0.44,150,298,0.503,0.574,56,68,0.824,67,230,297,251,44,37,96,88,677
4.0,Derrick White,29.0,53,53.0,1711,290,619,0.468,144,358,0.402,146,261,0.559,0.585,111,124,0.895,34,171,205,252,55,62,85,112,835
5.0,Al Horford,37.0,47,22.0,1273,139,285,0.488,74,181,0.409,65,104,0.625,0.618,17,20,0.85,61,253,314,129,25,48,34,70,369
6.0,Kristaps Porziņģis,28.0,42,42.0,1242,284,539,0.527,79,214,0.369,205,325,0.631,0.6,198,233,0.85,64,221,285,82,25,78,69,119,845
7.0,Sam Hauser,26.0,56,6.0,1187,156,346,0.451,125,298,0.419,31,48,0.646,0.632,15,17,0.882,35,150,185,53,22,14,26,71,452
8.0,Payton Pritchard,26.0,57,0.0,1173,165,379,0.435,98,257,0.381,67,122,0.549,0.565,30,37,0.811,51,128,179,157,24,6,35,71,458
9.0,Luke Kornet,28.0,41,2.0,605,88,126,0.698,0,0,,88,126,0.698,0.698,29,33,0.879,77,84,161,36,16,40,17,57,205
10.0,Oshae Brissett,25.0,37,0.0,401,46,100,0.46,12,41,0.293,34,59,0.576,0.52,35,52,0.673,36,66,102,29,14,2,11,37,139
11.0,Neemias Queta,24.0,23,0.0,283,49,80,0.613,0,0,,49,80,0.613,0.613,15,20,0.75,44,58,102,11,10,14,9,45,113
12.0,Svi Mykhailiuk,26.0,24,0.0,183,23,66,0.348,17,53,0.321,6,13,0.462,0.477,3,6,0.5,5,16,21,11,7,0,7,12,66
13.0,Dalano Banton,24.0,24,1.0,171,19,51,0.373,2,16,0.125,17,35,0.486,0.392,16,20,0.8,12,23,35,19,5,3,10,20,56
14.0,Lamar Stevens,26.0,19,1.0,122,21,45,0.467,3,8,0.375,18,37,0.486,0.5,8,11,0.727,12,19,31,8,6,5,9,14,53
15.0,Jordan Walsh,19.0,4,0.0,33,1,5,0.2,0,3,0.0,1,2,0.5,0.2,0,0,,2,9,11,2,2,1,2,5,2
16.0,JD Davison,21.0,2,0.0,6,0,1,0.0,0,1,0.0,0,0,,0.0,2,2,1.0,1,1,2,0,0,0,0,0,2
17.0,Drew Peterson,24.0,1,0.0,3,1,1,1.0,1,1,1.0,0,0,,1.5,0,0,,0,0,0,1,0,0,0,1,3
18.0,Jaden Springer,21.0,2,0.0,3,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,0,0,0,0,0,0,0,0
19.0,Xavier Tillman Sr.,25.0,1,0.0,3,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,0,0,0,0,0,1,0,1,2
,,,57,,13805,2482,5131,0.484,931,2429,0.383,1551,2702,0.574,0.574,987,1223,0.807,603,2071,2674,1496,368,372,711,970,6882
