Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 14_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 21_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 24_level_0,Dunks,Dunks,Unnamed: 27_level_0,Corner 3s,Corner 3s,Unnamed: 30_level_0,Heaves,Heaves
Rk,Player,Age,G,MP,FG%,Dist.,Unnamed: 7_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 14_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 21_level_1,2P,3P,Unnamed: 24_level_1,%FGA,#,Unnamed: 27_level_1,%3PA,3P%,Unnamed: 30_level_1,Att.,#
1,Jayson Tatum,25,54,1938,0.475,15.6,,0.563,0.219,0.163,0.095,0.086,0.437,,0.561,0.742,0.453,0.444,0.433,0.364,,0.373,0.482,,0.065,64,,0.064,0.379,,0,0
2,Jaylen Brown,27,52,1738,0.495,13.3,,0.669,0.226,0.243,0.124,0.075,0.331,,0.569,0.745,0.461,0.563,0.397,0.346,,0.399,0.631,,0.079,59,,0.198,0.373,,0,0
3,Jrue Holiday,33,52,1729,0.475,15.5,,0.551,0.172,0.22,0.1,0.059,0.449,,0.503,0.667,0.487,0.315,0.406,0.44,,0.467,0.729,,0.011,4,,0.23,0.661,,1,0
4,Derrick White,29,53,1711,0.468,17.7,,0.422,0.121,0.197,0.079,0.024,0.578,,0.559,0.773,0.492,0.408,0.533,0.402,,0.411,0.771,,0.018,11,,0.209,0.413,,0,0
5,Al Horford,37,47,1273,0.488,17.7,,0.365,0.179,0.13,0.028,0.028,0.635,,0.625,0.765,0.514,0.5,0.375,0.409,,0.646,1.0,,0.042,11,,0.398,0.403,,0,0
6,Kristaps Porziņģis,28,42,1242,0.527,14.8,,0.603,0.245,0.182,0.115,0.061,0.397,,0.631,0.803,0.551,0.516,0.394,0.369,,0.722,0.987,,0.139,68,,0.023,0.0,,1,0
7,Sam Hauser,26,56,1187,0.451,23.2,,0.139,0.075,0.046,0.009,0.009,0.861,,0.646,0.654,0.563,0.667,1.0,0.419,,0.742,0.984,,0.023,8,,0.221,0.53,,2,0
8,Payton Pritchard,26,57,1173,0.435,20.6,,0.322,0.103,0.103,0.058,0.058,0.678,,0.549,0.692,0.487,0.545,0.409,0.381,,0.388,0.847,,0.0,0,,0.241,0.403,,4,1
9,Luke Kornet,28,41,605,0.698,1.9,,1.0,0.778,0.214,0.008,0.0,0.0,,0.698,0.786,0.37,1.0,,,,0.682,,,0.381,39,,,,,0,0
10,Oshae Brissett,25,37,401,0.46,12.4,,0.59,0.34,0.2,0.01,0.04,0.41,,0.576,0.676,0.45,1.0,0.25,0.293,,0.647,1.0,,0.14,13,,0.561,0.348,,0,0
11,Neemias Queta,24,23,283,0.613,3.1,,1.0,0.588,0.35,0.063,0.0,0.0,,0.613,0.745,0.429,0.4,,,,0.694,,,0.263,20,,,,,0,0
12,Svi Mykhailiuk,26,24,183,0.348,21.9,,0.197,0.121,0.015,0.045,0.015,0.803,,0.462,0.625,0.0,0.333,0.0,0.321,,0.667,0.941,,0.045,1,,0.208,0.364,,0,0
13,Dalano Banton,24,24,171,0.373,11.3,,0.686,0.275,0.353,0.02,0.039,0.314,,0.486,0.643,0.444,0.0,0.0,0.125,,0.412,1.0,,0.078,4,,0.313,0.2,,0,0
14,Lamar Stevens,26,19,122,0.467,8.7,,0.822,0.444,0.222,0.089,0.067,0.178,,0.486,0.75,0.1,0.0,0.667,0.375,,0.667,1.0,,0.178,7,,0.75,0.333,,0,0
15,Jordan Walsh,19,4,33,0.2,16.3,,0.4,0.4,0.0,0.0,0.0,0.6,,0.5,0.5,,,,0.0,,1.0,,,0.2,1,,0.667,0.0,,0,0
16,JD Davison,21,2,6,0.0,24.3,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,0.0,,,,,0.0,0,,1.0,0.0,,0,0
17,Drew Peterson,24,1,3,1.0,26.3,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,1.0,,,1.0,,0.0,0,,0.0,,,0,0
18,Jaden Springer,21,2,3,0.0,23.0,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,0.0,,,,,0.0,0,,1.0,0.0,,0,0
19,Xavier Tillman Sr.,25,1,3,1.0,0.6,,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,,,,,,1.0,,,0.0,0,,,,,0,0
