Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1,Jayson Tatum,25,54,54,1938,12.5,26.4,0.475,4.2,11.5,0.364,8.3,14.9,0.561,7.5,9.2,0.82,1.2,10.4,11.6,6.6,1.4,0.8,3.5,2.8,36.8,,120,110
2,Jaylen Brown,27,52,52,1738,12.6,25.4,0.495,2.9,8.4,0.346,9.7,17.0,0.569,4.4,6.1,0.711,1.6,6.5,8.1,5.5,1.6,0.8,3.6,3.9,32.4,,113,112
3,Jrue Holiday,33,52,52,1729,7.3,15.3,0.475,3.0,6.9,0.44,4.3,8.4,0.503,1.6,1.9,0.824,1.9,6.5,8.4,7.1,1.2,1.0,2.7,2.5,19.2,,121,113
4,Derrick White,29,53,53,1711,8.3,17.7,0.468,4.1,10.3,0.402,4.2,7.5,0.559,3.2,3.6,0.895,1.0,4.9,5.9,7.2,1.6,1.8,2.4,3.2,23.9,,126,112
5,Al Horford,37,47,22,1273,5.4,11.0,0.488,2.8,7.0,0.409,2.5,4.0,0.625,0.7,0.8,0.85,2.3,9.7,12.1,5.0,1.0,1.8,1.3,2.7,14.2,,133,111
6,Kristaps Porziņģis,28,42,42,1242,11.2,21.3,0.527,3.1,8.4,0.369,8.1,12.8,0.631,7.8,9.2,0.85,2.5,8.7,11.2,3.2,1.0,3.1,2.7,4.7,33.3,,128,110
7,Sam Hauser,26,56,6,1187,6.4,14.3,0.451,5.2,12.3,0.419,1.3,2.0,0.646,0.6,0.7,0.882,1.4,6.2,7.6,2.2,0.9,0.6,1.1,2.9,18.7,,127,115
8,Payton Pritchard,26,57,0,1173,6.9,15.8,0.435,4.1,10.7,0.381,2.8,5.1,0.549,1.3,1.5,0.811,2.1,5.3,7.5,6.6,1.0,0.3,1.5,3.0,19.1,,127,115
9,Luke Kornet,28,41,2,605,7.1,10.2,0.698,0.0,0.0,,7.1,10.2,0.698,2.3,2.7,0.879,6.2,6.8,13.0,2.9,1.3,3.2,1.4,4.6,16.6,,152,110
10,Oshae Brissett,25,37,0,401,5.6,12.2,0.46,1.5,5.0,0.293,4.2,7.2,0.576,4.3,6.4,0.673,4.4,8.1,12.5,3.5,1.7,0.2,1.3,4.5,17.0,,127,112
11,Neemias Queta,24,23,0,283,8.5,13.9,0.613,0.0,0.0,,8.5,13.9,0.613,2.6,3.5,0.75,7.6,10.0,17.7,1.9,1.7,2.4,1.6,7.8,19.6,,137,108
12,Svi Mykhailiuk,26,24,0,183,6.2,17.7,0.348,4.6,14.2,0.321,1.6,3.5,0.462,0.8,1.6,0.5,1.3,4.3,5.6,2.9,1.9,0.0,1.9,3.2,17.7,,100,114
13,Dalano Banton,24,24,1,171,5.4,14.6,0.373,0.6,4.6,0.125,4.9,10.0,0.486,4.6,5.7,0.8,3.4,6.6,10.0,5.4,1.4,0.9,2.9,5.7,16.1,,106,113
14,Lamar Stevens,26,19,1,122,8.4,18.1,0.467,1.2,3.2,0.375,7.2,14.9,0.486,3.2,4.4,0.727,4.8,7.6,12.5,3.2,2.4,2.0,3.6,5.6,21.3,,107,108
15,Jordan Walsh,19,4,0,33,1.5,7.4,0.2,0.0,4.5,0.0,1.5,3.0,0.5,0.0,0.0,,3.0,13.4,16.3,3.0,3.0,1.5,3.0,7.4,3.0,,65,104
16,JD Davison,21,2,0,6,0.0,8.2,0.0,0.0,8.2,0.0,0.0,0.0,,16.3,16.3,1.0,8.2,8.2,16.3,0.0,0.0,0.0,0.0,0.0,16.3,,146,116
17,Drew Peterson,24,1,0,3,16.3,16.3,1.0,16.3,16.3,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,16.3,0.0,0.0,0.0,16.3,49.0,,282,120
18,Jaden Springer,21,2,0,3,0.0,16.3,0.0,0.0,16.3,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,121
19,Xavier Tillman Sr.,25,1,0,3,16.3,16.3,1.0,0.0,0.0,,16.3,16.3,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,16.3,0.0,16.3,32.7,,200,100
