Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Rk,Player,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Jayson Tatum,25,54,1938,,,25%,73%,2%,11.0,2.6,66,38,41,24,147,3,653,32,44
2,Jaylen Brown,27,52,1738,,30%,69%,1%,,7.9,-6.5,48,46,58,20,112,6,484,32,52
3,Jrue Holiday,33,52,1729,69%,31%,,,,8.8,-3.8,54,28,46,3,28,17,621,7,22
4,Derrick White,29,53,1711,19%,77%,3%,,,12.6,6.5,51,16,59,12,56,20,607,12,23
5,Al Horford,37,47,1273,,,,51%,49%,10.7,0.9,14,9,41,8,5,1,324,2,5
6,Kristaps Porziņģis,28,42,1242,,,,5%,95%,11.1,1.6,26,16,67,20,99,4,201,23,12
7,Sam Hauser,26,56,1187,,11%,56%,33%,1%,11.1,1.6,14,7,42,3,3,4,142,0,9
8,Payton Pritchard,26,57,1173,100%,,,,,10.2,0.0,16,6,24,5,14,5,390,3,11
9,Luke Kornet,28,41,605,,,,,100%,5.8,-5.6,10,2,41,5,16,2,93,5,8
10,Oshae Brissett,25,37,401,,13%,58%,30%,,9.2,-1.2,4,4,22,1,24,0,75,4,5
11,Neemias Queta,24,23,283,,,,4%,96%,18.1,8.8,1,2,32,4,11,1,30,4,9
12,Svi Mykhailiuk,26,24,183,,50%,47%,3%,,8.0,-2.3,7,0,10,0,3,2,24,0,2
13,Dalano Banton,24,24,171,38%,54%,8%,,,4.5,-6.1,6,1,11,3,10,1,46,2,3
14,Lamar Stevens,26,19,122,,,10%,69%,22%,4.4,-6.0,3,6,7,0,6,0,20,1,3
15,Jordan Walsh,19,4,33,,12%,79%,9%,,41.0,31.2,0,1,0,0,0,0,6,0,0
16,JD Davison,21,2,6,,100%,,,,8.3,-1.9,0,0,0,0,1,0,0,0,0
17,Drew Peterson,24,1,3,,,,,100%,40.0,29.8,0,0,1,0,0,0,2,0,0
18,Jaden Springer,21,2,3,,100%,,,,0.0,-10.2,0,0,0,0,0,0,0,0,0
19,Xavier Tillman Sr.,25,1,3,,,,,100%,0.0,-10.2,0,0,1,0,0,0,0,0,0
