Unnamed: 0,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Franz Wagner,30:45,0.66,0.65,0.2,0.05,0.0,6.6,3.8,15.5,0.0,0.0,0.0,30.0,134.0,99.0,6.9
1,Paolo Banchero,30:29,0.598,0.529,0.176,0.412,0.0,13.4,7.6,9.0,3.2,0.0,0.0,29.7,126.0,90.0,3.6
2,Goga Bitadze,27:52,0.874,0.857,0.0,0.143,19.1,14.7,16.6,8.9,0.0,13.5,11.8,13.7,166.0,88.0,10.5
3,Anthony Black,24:40,0.521,0.5,0.25,1.0,5.4,16.6,11.7,12.9,0.0,0.0,14.8,12.4,114.0,97.0,-2.9
4,Gary Harris,22:35,0.652,0.625,0.625,0.125,0.0,13.6,7.7,5.2,4.3,0.0,10.6,18.9,116.0,88.0,2.6
6,Caleb Houstan,25:25,0.5,0.5,1.0,0.0,0.0,16.1,9.1,4.2,0.0,0.0,0.0,10.7,106.0,97.0,-2.7
7,Cole Anthony,23:35,0.601,0.542,0.25,0.25,0.0,13.0,7.4,33.2,0.0,0.0,7.0,27.4,127.0,97.0,3.4
8,Moritz Wagner,16:13,0.5,0.5,0.0,0.0,8.2,25.2,17.8,13.7,0.0,0.0,33.3,16.7,88.0,95.0,-5.9
9,Joe Ingles,15:53,0.5,0.5,0.5,0.0,0.0,25.7,14.6,35.2,0.0,0.0,0.0,17.0,129.0,94.0,5.9
10,Chuma Okeke,13:08,1.0,1.0,0.0,0.0,0.0,31.1,17.6,0.0,3.7,0.0,50.0,6.9,81.0,86.0,1.6
11,Jett Howard,5:29,1.042,1.25,0.5,1.0,0.0,18.6,10.5,27.8,0.0,0.0,0.0,23.7,204.0,96.0,25.3
12,Admiral Schofield,3:55,0.5,0.5,0.0,0.0,0.0,52.2,29.5,0.0,0.0,0.0,50.0,46.1,44.0,85.0,-41.4
