Unnamed: 0,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Herbert Jones,36:54,0.727,0.727,0.455,0.0,0.0,9.8,5.7,7.0,1.4,2.6,21.4,18.1,112.0,117.0,0.2
1,Brandon Ingram,32:17,0.72,0.682,0.273,0.455,0.0,14.9,8.6,30.1,3.3,0.0,18.5,24.0,133.0,114.0,6.1
2,CJ McCollum,29:40,0.676,0.625,0.375,0.25,0.0,12.1,7.0,25.2,0.0,3.2,10.1,31.8,135.0,119.0,6.8
3,Zion Williamson,28:37,0.765,0.733,0.0,0.4,5.8,12.6,9.7,37.9,1.8,3.3,10.2,32.8,150.0,115.0,13.9
4,Jonas Valančiūnas,20:22,0.4,0.4,0.4,0.0,8.1,35.4,23.9,17.6,0.0,0.0,16.7,14.1,104.0,116.0,-6.8
6,Jose Alvarado,27:03,0.5,0.5,0.75,0.0,6.1,8.9,7.7,13.4,0.0,3.5,11.1,15.9,115.0,120.0,-3.5
7,Dyson Daniels,23:31,0.902,0.833,0.333,0.667,14.1,15.3,14.8,5.0,2.2,0.0,0.0,7.9,199.0,116.0,6.9
8,Larry Nance Jr.,22:26,0.667,0.667,0.0,0.0,22.1,32.1,27.9,11.7,2.4,4.2,0.0,12.8,162.0,109.0,8.3
9,Naji Marshall,14:08,0.25,0.25,0.5,0.0,0.0,17.0,9.8,0.0,3.7,0.0,0.0,13.5,60.0,112.0,-14.7
10,Jordan Hawkins,2:52,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,103.0,125.0,-11.2
11,Cody Zeller,2:10,0.0,0.0,0.0,0.0,76.4,0.0,32.1,49.2,0.0,0.0,0.0,0.0,226.0,125.0,24.0
12,Kira Lewis Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Jeremiah Robinson-Earl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
