Unnamed: 0,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,DeMar DeRozan,36:36,0.414,0.375,0.2,0.2,3.1,9.4,6.2,27.7,1.4,4.0,4.4,26.8,109.0,103.0,-3.5
1,Coby White,36:07,0.571,0.536,0.214,0.143,3.2,12.7,7.9,17.6,0.0,0.0,6.3,19.0,128.0,108.0,-3.1
2,Patrick Williams,26:48,0.588,0.5,0.636,0.364,8.5,12.8,10.7,0.0,3.7,5.4,13.6,23.8,113.0,96.0,-2.2
3,Nikola Vučević,25:24,0.688,0.688,0.375,0.0,9.0,40.5,24.7,15.1,0.0,0.0,20.0,17.0,123.0,105.0,-0.3
4,Alex Caruso,25:18,0.667,0.667,0.833,0.0,0.0,13.6,6.8,4.6,4.0,5.7,0.0,10.2,141.0,95.0,1.9
6,Ayo Dosunmu,27:55,0.883,0.85,0.5,0.3,0.0,24.6,12.3,19.7,1.8,5.2,20.9,22.1,138.0,99.0,10.3
7,Andre Drummond,18:52,0.631,0.636,0.0,0.182,30.3,30.3,30.3,8.7,10.6,0.0,0.0,27.2,146.0,82.0,12.8
8,Dalen Terry,18:06,0.621,0.5,1.0,2.0,6.3,25.3,15.8,17.9,2.8,8.0,15.1,15.8,133.0,95.0,5.5
9,Jevon Carter,16:51,0.857,0.857,0.429,0.0,0.0,6.8,3.4,43.5,0.0,0.0,0.0,17.9,185.0,109.0,15.0
10,Julian Phillips,4:19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7,0.0,0.0,0.0,0.0,230.0,110.0,2.5
11,Terry Taylor,3:44,1.0,1.0,0.0,0.0,30.6,30.6,30.6,37.7,0.0,0.0,50.0,23.1,120.0,106.0,-2.0
12,Torrey Craig,Did Not Dress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
