No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,Russell Westbrook,PG,6-4,200,"November 12, 1988",us,15,UCLA
24,Norman Powell,SG,6-3,215,"May 25, 1993",us,8,UCLA
13,Paul George,PF,6-8,220,"May 2, 1990",us,13,Fresno State
2,Kawhi Leonard,SF,6-7,225,"June 29, 1991",us,11,San Diego State
1,James Harden,PG,6-5,220,"August 26, 1989",us,14,Arizona State
14,Terance Mann,SG,6-5,215,"October 18, 1996",us,4,Florida State
40,Ivica Zubac,C,7-0,240,"March 18, 1997",ba,7,
7,Amir Coffey,SF,6-7,210,"June 17, 1997",us,4,Minnesota
10,Daniel Theis,C,6-8,245,"April 4, 1992",de,6,
21,Kobe Brown,PF,6-7,250,"January 1, 2000",us,R,Missouri
44,Mason Plumlee,C,6-10,254,"March 5, 1990",us,10,Duke
5,Bones Hyland,PG,6-2,173,"September 14, 2000",us,2,VCU
4,Brandon Boston Jr.,SF,6-7,185,"November 28, 2001",us,2,Kentucky
17,P.J. Tucker,PF,6-5,245,"May 5, 1985",us,12,Texas
25,Moussa Diabaté (TW),C,6-11,210,"January 21, 2002",fr,1,Michigan
11,Jordan Miller (TW),SF,6-7,195,"January 23, 2000",us,R,"George Mason, Miami (FL)"
22,Xavier Moon (TW),SG,6-2,165,"January 2, 1995",us,2,"Northwest Florida State College, Morehead State University"
12,Joshua Primo,SG,6-6,190,"December 24, 2002",ca,2,Alabama
