Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,James Harden,34,51,51,1765,5.2,11.8,0.444,2.9,7.0,0.414,2.3,4.8,0.487,4.7,5.3,0.88,0.5,4.9,5.4,8.6,1.2,0.9,2.7,2.0,18.0
2,Paul George,33,52,52,1758,8.3,18.2,0.456,3.5,8.8,0.395,4.8,9.4,0.512,3.5,3.9,0.905,0.6,5.1,5.7,3.9,1.7,0.4,2.2,3.1,23.6
3,Kawhi Leonard,32,51,51,1750,9.4,17.9,0.528,2.3,5.3,0.442,7.1,12.5,0.564,3.9,4.4,0.892,1.2,5.2,6.5,3.8,1.8,0.9,1.8,1.6,25.1
4,Norman Powell,30,55,1,1404,6.8,13.8,0.494,3.1,6.7,0.456,3.7,7.1,0.529,2.5,3.0,0.838,0.3,3.3,3.6,1.4,0.7,0.5,1.3,2.5,19.2
5,Russell Westbrook,35,56,10,1285,7.1,15.6,0.452,1.0,3.8,0.272,6.0,11.8,0.511,2.4,3.6,0.667,2.2,6.0,8.2,7.1,1.7,0.6,3.3,2.7,17.6
6,Terance Mann,27,50,46,1270,4.3,9.2,0.471,1.3,4.1,0.322,3.0,5.0,0.593,1.2,1.6,0.768,1.8,3.0,4.9,2.7,0.8,0.3,0.9,2.6,11.2
7,Ivica Zubac,26,46,46,1229,6.9,10.5,0.655,0.0,0.0,,6.9,10.5,0.655,2.3,3.5,0.667,4.1,8.6,12.7,1.8,0.3,1.7,1.6,3.8,16.1
8,Amir Coffey,26,44,8,809,4.2,7.9,0.534,1.6,3.9,0.425,2.6,4.0,0.637,1.9,2.1,0.894,0.8,2.6,3.3,1.6,1.0,0.3,0.8,2.6,12.0
9,Daniel Theis,31,40,1,677,5.5,10.1,0.547,0.9,2.1,0.41,4.7,8.0,0.583,1.6,2.3,0.721,3.2,4.7,7.9,2.2,1.0,1.9,1.5,5.1,13.6
10,Mason Plumlee,33,25,9,421,4.8,7.4,0.644,0.0,0.0,,4.8,7.4,0.644,3.9,5.6,0.697,3.0,8.9,11.9,2.6,0.7,0.7,1.4,3.2,13.5
11,Kobe Brown,24,32,0,279,3.0,8.0,0.371,1.5,5.0,0.308,1.4,3.0,0.478,0.1,0.3,0.5,1.3,4.4,5.7,2.2,0.8,0.4,0.9,5.2,7.6
12,Bones Hyland,23,19,2,251,6.3,17.2,0.367,2.9,9.2,0.313,3.4,8.0,0.429,1.4,1.7,0.833,0.4,2.0,2.4,4.7,1.4,0.1,3.3,3.9,16.9
13,P.J. Tucker,38,14,0,192,0.7,2.8,0.267,0.6,2.1,0.273,0.2,0.7,0.25,0.6,0.6,1.0,3.0,3.0,6.0,1.5,1.1,0.2,0.4,5.2,2.6
14,Brandon Boston Jr.,22,18,0,124,7.0,17.4,0.4,1.7,5.8,0.3,5.2,11.6,0.45,3.2,3.5,0.917,2.0,2.3,4.4,1.5,0.6,0.6,2.0,4.6,18.9
15,Robert Covington,33,3,3,69,1.6,4.7,0.333,1.0,4.2,0.25,0.5,0.5,1.0,0.5,1.0,0.5,1.0,3.1,4.2,3.7,3.1,1.0,0.0,3.7,4.7
16,Moussa Diabaté,22,10,0,58,5.6,11.2,0.5,0.0,0.0,,5.6,11.2,0.5,5.6,7.4,0.75,8.7,3.7,12.4,2.5,2.5,0.0,1.2,2.5,16.8
17,Nicolas Batum,35,3,0,54,2.0,5.3,0.375,1.3,4.7,0.286,0.7,0.7,1.0,0.0,0.0,,0.0,4.7,4.7,3.3,2.0,2.7,0.7,3.3,5.3
18,KJ Martin,23,2,0,31,4.6,11.6,0.4,1.2,5.8,0.2,3.5,5.8,0.6,1.2,2.3,0.5,1.2,2.3,3.5,1.2,2.3,1.2,2.3,3.5,11.6
19,Jordan Miller,24,5,0,21,6.9,10.3,0.667,1.7,1.7,1.0,5.1,8.6,0.6,3.4,3.4,1.0,3.4,3.4,6.9,0.0,0.0,0.0,1.7,3.4,18.9
20,Xavier Moon,29,2,0,12,3.0,6.0,0.5,0.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,,0.0,6.0,6.0,9.0,0.0,0.0,3.0,3.0,6.0
21,Joshua Primo,21,1,0,5,7.2,14.4,0.5,0.0,7.2,0.0,7.2,7.2,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,7.2,21.6,0.0,14.4
