Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,James Harden,34,51,51,34.6,5.0,11.4,0.444,2.8,6.7,0.414,2.3,4.6,0.487,0.566,4.5,5.1,0.88,0.5,4.7,5.2,8.3,1.1,0.9,2.6,2.0,17.3
2,Kawhi Leonard,32,51,51,34.3,9.0,17.0,0.528,2.2,5.1,0.442,6.7,12.0,0.564,0.593,3.7,4.2,0.892,1.2,5.0,6.2,3.7,1.7,0.9,1.7,1.5,23.9
3,Paul George,33,52,52,33.8,7.8,17.1,0.456,3.3,8.2,0.395,4.5,8.9,0.512,0.551,3.3,3.7,0.905,0.5,4.8,5.3,3.7,1.6,0.4,2.0,2.9,22.1
4,Ivica Zubac,26,46,46,26.7,5.1,7.8,0.655,0.0,0.0,,5.1,7.8,0.655,0.655,1.7,2.6,0.667,3.0,6.4,9.5,1.3,0.2,1.3,1.2,2.8,12.0
5,Norman Powell,30,55,1,25.5,4.8,9.8,0.494,2.2,4.8,0.456,2.7,5.0,0.529,0.605,1.8,2.1,0.838,0.2,2.3,2.5,1.0,0.5,0.3,0.9,1.8,13.6
6,Terance Mann,27,50,46,25.4,3.0,6.5,0.471,0.9,2.9,0.322,2.1,3.5,0.593,0.543,0.9,1.1,0.768,1.3,2.1,3.4,1.9,0.5,0.2,0.7,1.8,7.9
7,Robert Covington,33,3,3,23.0,1.0,3.0,0.333,0.7,2.7,0.25,0.3,0.3,1.0,0.444,0.3,0.7,0.5,0.7,2.0,2.7,2.3,2.0,0.7,0.0,2.3,3.0
8,Russell Westbrook,35,56,10,22.9,4.5,9.9,0.452,0.7,2.4,0.272,3.8,7.5,0.511,0.486,1.5,2.3,0.667,1.4,3.8,5.2,4.5,1.1,0.4,2.1,1.7,11.2
9,Amir Coffey,26,44,8,18.4,2.2,4.0,0.534,0.8,2.0,0.425,1.3,2.1,0.637,0.638,1.0,1.1,0.894,0.4,1.3,1.7,0.8,0.5,0.1,0.4,1.3,6.1
10,Nicolas Batum,35,3,0,18.0,1.0,2.7,0.375,0.7,2.3,0.286,0.3,0.3,1.0,0.5,0.0,0.0,,0.0,2.3,2.3,1.7,1.0,1.3,0.3,1.7,2.7
11,Daniel Theis,31,40,1,16.9,2.6,4.8,0.547,0.4,1.0,0.41,2.2,3.8,0.583,0.589,0.8,1.1,0.721,1.5,2.2,3.7,1.0,0.5,0.9,0.7,2.4,6.4
12,Mason Plumlee,33,25,9,16.8,2.2,3.5,0.644,0.0,0.0,,2.2,3.5,0.644,0.644,1.8,2.6,0.697,1.4,4.2,5.6,1.2,0.3,0.3,0.6,1.5,6.3
13,KJ Martin,23,2,0,15.5,2.0,5.0,0.4,0.5,2.5,0.2,1.5,2.5,0.6,0.45,0.5,1.0,0.5,0.5,1.0,1.5,0.5,1.0,0.5,1.0,1.5,5.0
14,P.J. Tucker,38,14,0,13.7,0.3,1.1,0.267,0.2,0.8,0.273,0.1,0.3,0.25,0.367,0.2,0.2,1.0,1.1,1.1,2.3,0.6,0.4,0.1,0.1,2.0,1.0
15,Bones Hyland,23,19,2,13.2,2.3,6.3,0.367,1.1,3.4,0.313,1.3,2.9,0.429,0.45,0.5,0.6,0.833,0.2,0.7,0.9,1.7,0.5,0.1,1.2,1.4,6.2
16,Kobe Brown,24,32,0,8.7,0.7,1.9,0.371,0.4,1.2,0.308,0.3,0.7,0.478,0.468,0.0,0.1,0.5,0.3,1.1,1.4,0.5,0.2,0.1,0.2,1.3,1.8
17,Brandon Boston Jr.,22,18,0,6.9,1.3,3.3,0.4,0.3,1.1,0.3,1.0,2.2,0.45,0.45,0.6,0.7,0.917,0.4,0.4,0.8,0.3,0.1,0.1,0.4,0.9,3.6
18,Xavier Moon,29,2,0,6.0,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.5,1.0,0.5,0.0,0.0,,0.0,1.0,1.0,1.5,0.0,0.0,0.5,0.5,1.0
19,Moussa Diabaté,22,10,0,5.8,0.9,1.8,0.5,0.0,0.0,,0.9,1.8,0.5,0.5,0.9,1.2,0.75,1.4,0.6,2.0,0.4,0.4,0.0,0.2,0.4,2.7
20,Joshua Primo,21,1,0,5.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0
21,Jordan Miller,24,5,0,4.2,0.8,1.2,0.667,0.2,0.2,1.0,0.6,1.0,0.6,0.75,0.4,0.4,1.0,0.4,0.4,0.8,0.0,0.0,0.0,0.2,0.4,2.2
