Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1,Jaren Jackson Jr.,24,52,52,1656,11.9,26.4,0.449,2.8,8.7,0.324,9.0,17.7,0.51,7.6,9.3,0.82,1.8,6.5,8.2,3.3,1.6,2.3,3.6,5.4,34.2,,107,113
2,Desmond Bane,25,37,37,1277,12.6,26.5,0.474,4.7,12.2,0.384,7.9,14.3,0.551,4.6,5.3,0.864,1.3,5.1,6.4,7.5,1.4,0.8,3.8,4.0,34.4,,114,116
3,Vince Williams Jr.,23,45,26,1207,5.6,12.5,0.448,2.7,7.4,0.366,2.9,5.1,0.567,3.5,4.4,0.815,2.2,8.1,10.2,5.5,1.6,1.0,2.7,4.6,17.5,,117,113
4,Santi Aldama,23,45,19,1115,7.7,17.9,0.428,3.3,9.6,0.341,4.4,8.3,0.529,1.6,2.7,0.597,2.2,8.7,10.9,4.3,1.3,1.4,2.1,2.9,20.2,,107,113
5,David Roddy,22,48,13,1114,6.8,16.9,0.402,2.1,6.8,0.301,4.7,10.0,0.47,2.0,2.9,0.687,2.2,6.5,8.7,3.3,1.1,0.5,2.4,3.0,17.6,,98,116
6,Ziaire Williams,22,47,11,917,7.2,17.8,0.402,2.9,9.0,0.318,4.3,8.8,0.488,3.0,3.7,0.812,1.7,6.7,8.4,3.8,1.8,0.5,3.1,4.2,20.2,,99,115
7,John Konchar,27,45,15,876,3.8,9.0,0.426,1.5,5.1,0.297,2.3,3.9,0.592,0.7,0.9,0.813,2.9,7.8,10.7,4.5,2.1,2.3,1.6,3.1,9.9,,115,111
8,Bismack Biyombo,31,30,27,718,4.5,8.1,0.563,0.0,0.0,,4.5,8.1,0.563,1.5,3.1,0.478,3.9,9.1,12.9,3.5,0.7,2.3,2.6,5.6,10.6,,109,113
9,Xavier Tillman Sr.,25,34,13,700,6.0,14.8,0.408,0.8,3.7,0.226,5.2,11.1,0.469,1.3,3.0,0.419,3.9,7.0,10.9,4.0,2.9,2.4,2.0,4.2,14.2,,98,109
10,Luke Kennard,27,28,12,693,6.9,15.7,0.442,5.3,12.0,0.444,1.6,3.7,0.434,1.8,2.2,0.839,0.6,5.1,5.7,5.8,0.9,0.1,2.1,2.2,21.1,,121,118
