Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Rk,Player,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Jaren Jackson Jr.,24,52,1656,,,,,100%,-5.7,1.0,27,54,89,37,152,24,299,40,90
2,Desmond Bane,25,37,1277,10%,48%,38%,3%,,-6.7,-1.2,42,25,50,18,53,10,487,11,50
3,Vince Williams Jr.,23,45,1207,39%,58%,3%,,,-1.9,7.4,35,19,41,3,38,24,331,3,17
4,Santi Aldama,23,45,1115,,,7%,84%,9%,-6.2,-0.2,26,12,40,4,29,3,243,11,22
5,David Roddy,22,48,1114,,6%,55%,39%,,-8.9,-4.7,19,26,35,3,36,4,190,7,33
6,Ziaire Williams,22,47,917,,22%,69%,9%,,-10.7,-6.9,25,20,45,3,30,19,170,6,25
7,John Konchar,27,45,876,2%,41%,54%,3%,,-6.9,-1.2,17,9,35,1,6,6,204,2,8
8,Bismack Biyombo,31,30,718,,,,60%,40%,-4.2,2.6,12,8,41,12,13,4,124,4,11
9,Xavier Tillman Sr.,25,34,700,,,,39%,62%,-6.3,-0.3,13,9,33,6,18,0,142,3,20
10,Luke Kennard,27,28,693,5%,73%,22%,,,-8.7,-3.5,20,8,20,0,7,1,199,2,8
11,Jacob Gilyard,25,37,654,100%,,,,,-12.4,-8.2,24,3,16,0,1,2,327,1,5
12,Marcus Smart,29,20,605,66%,34%,,,,-1.2,6.3,34,12,16,8,16,12,210,5,5
13,GG Jackson II,19,24,471,,3%,25%,53%,19%,-0.7,6.5,7,9,19,0,27,0,45,4,12
14,Derrick Rose,35,22,378,99%,1%,,,,-2.7,3.9,21,4,11,1,15,8,174,3,14
15,Ja Morant,24,9,318,100%,,,,,0.3,7.2,16,10,7,1,29,5,172,7,16
16,Scotty Pippen Jr.,23,8,181,88%,12%,,,,-6.2,-0.2,9,4,9,0,10,4,91,2,2
17,Jaylen Nowell,24,9,156,87%,13%,,,,-1.6,4.7,4,0,7,0,2,1,44,1,0
18,Trey Jemison,24,7,140,,,,,100%,-15.0,-9.4,1,3,16,3,4,0,17,1,4
19,Jake LaRavia,22,12,139,,,17%,83%,,-9.7,-3.9,3,1,10,1,3,0,19,1,2
20,Kenneth Lofton Jr.,21,15,99,,,,57%,43%,2.9,9.3,1,2,7,3,9,1,36,3,6
21,Lamar Stevens,26,4,91,,1%,49%,50%,,3.3,9.7,4,1,4,0,3,1,7,1,2
22,Tosan Evbuomwan,22,4,74,,13%,75%,11%,,-17.8,-12.1,1,0,4,0,0,1,16,0,1
23,Matthew Hurt,23,3,56,,,21%,56%,23%,-18.7,-12.9,0,0,1,0,1,0,8,0,1
24,Jordan Goodwin,25,2,53,79%,21%,,,,2.8,9.1,1,1,1,0,0,0,12,0,1
25,Yuta Watanabe,29,2,36,,54%,37%,8%,,-7.2,-1.1,1,0,0,0,0,0,4,0,1
26,Shaquille Harrison,30,3,6,66%,34%,,,,-91.7,-85.8,0,0,0,0,0,0,0,0,0
