Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,57.0,13730,2212,5020,0.441,776,2229,0.348,1436,2791,0.515,891,1173,0.76,566,1809,2375,1446,446,348,832,1114,6091
Team/G,,240.9,38.8,88.1,0.441,13.6,39.1,0.348,25.2,49.0,0.515,15.6,20.6,0.76,9.9,31.7,41.7,25.4,7.8,6.1,14.6,19.5,106.9
Lg Rank,,17,30,23,29.0,9,5,29.0,30,29,29.0,29,28,25.0,22,26,26,22,9,5,23,19,30
Year/Year,,-0.1%,-11.2%,-4.4%,-0.034,13.3%,14.2%,-0.003,-20.5%,-15.4%,-0.034,-10.5%,-13.6%,0.027,-17.6%,-8.2%,-10.6%,-2.6%,-5.6%,5.8%,7.3%,-2.5%,-8.6%
Opponent,57.0,13730,2339,4954,0.472,750,1984,0.378,1589,2970,0.535,1001,1273,0.786,602,2023,2625,1473,457,356,860,1074,6429
Opponent/G,,240.9,41.0,86.9,0.472,13.2,34.8,0.378,27.9,52.1,0.535,17.6,22.3,0.786,10.6,35.5,46.1,25.8,8.0,6.2,15.1,18.8,112.8
Lg Rank,,17,11,5,16.0,17,13,23.0,7,5,8.0,15,14,19.0,13,29,29,9,23,28,2,18,9
Year/Year,,-0.1%,0.7%,-3.2%,0.019,1.3%,-4.8%,0.023,0.5%,-2.2%,0.014,-5.2%,-5.2%,-0.0,-4.0%,6.3%,3.7%,-2.2%,17.6%,19.9%,-0.2%,-6.0%,-0.2%
