No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
13.0,Jaren Jackson Jr.,C,6-10,242,"September 15, 1999",us,5,Michigan State
8.0,Ziaire Williams,SF,6-9,215,"September 12, 2001",us,2,Stanford
7.0,Santi Aldama,PF,6-11,224,"January 10, 2001",es,2,Loyola (MD)
5.0,Vince Williams Jr.,SG,6-4,205,"August 30, 2000",us,1,VCU
46.0,John Konchar,SF,6-5,210,"March 22, 1996",us,4,Purdue-Fort Wayne
22.0,Desmond Bane,SG,6-5,215,"June 25, 1998",us,3,TCU
0.0,Jacob Gilyard (TW),PG,5-9,160,"July 14, 1998",us,1,Richmond
10.0,Luke Kennard,SG,6-5,206,"June 24, 1996",us,6,Duke
45.0,GG Jackson II,PF,6-9,215,"December 17, 2004",us,R,South Carolina
23.0,Derrick Rose,PG,6-3,200,"October 4, 1988",us,14,Memphis
36.0,Marcus Smart,PG,6-3,220,"March 6, 1994",us,9,Oklahoma State
3.0,Jake LaRavia,PF,6-8,235,"November 3, 2001",us,1,"Indiana State University, Wake Forest"
12.0,Ja Morant,PG,6-2,174,"August 10, 1999",us,4,Murray State
1.0,Scotty Pippen Jr. (TW),PG,6-1,185,"November 10, 2000",us,1,Vanderbilt
55.0,Trey Jemison (TW),C,6-11,260,"November 28, 1999",us,R,"Clemson, UAB"
24.0,Lamar Stevens,PF,6-6,230,"July 9, 1997",us,3,Penn State
4.0,Jordan Goodwin,PG,6-3,200,"October 23, 1998",us,2,Saint Louis
18.0,Yuta Watanabe,SF,6-9,215,"October 13, 1994",jp,5,George Washington
,Brandon Clarke,PF,6-8,215,"September 19, 1996",ca,4,"San Jose State, Gonzaga"
