Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
1,Anthony Edwards,22,54,1894,19.8,0.587,0.343,0.336,1.9,14.6,8.7,24.9,1.7,1.3,12.5,32.1,,2.2,3.4,5.5,0.14,,3.1,0.7,3.8,2.8
2,Rudy Gobert,31,55,1840,18.9,0.667,0.005,0.642,13.2,28.9,21.5,5.2,0.9,5.4,12.8,15.5,,3.9,4.3,8.2,0.214,,0.0,1.7,1.7,1.7
3,Karl-Anthony Towns,28,56,1839,19.6,0.637,0.337,0.313,5.4,22.8,14.7,14.5,1.0,1.8,13.7,27.5,,2.9,3.5,6.4,0.168,,2.1,1.1,3.2,2.4
4,Mike Conley,36,52,1503,15.4,0.619,0.647,0.156,1.7,9.1,5.6,29.7,1.8,0.7,11.3,14.7,,3.6,2.4,6.0,0.191,,2.0,1.6,3.6,2.1
5,Jaden McDaniels,23,47,1348,9.3,0.586,0.398,0.103,3.2,7.0,5.2,6.6,1.5,1.6,12.6,15.6,,0.2,2.1,2.3,0.081,,-3.2,0.9,-2.3,-0.1
6,Nickeil Alexander-Walker,25,57,1304,9.9,0.562,0.652,0.112,2.1,7.4,4.9,14.7,1.8,2.0,13.4,13.9,,0.6,2.1,2.7,0.101,,-1.7,1.8,0.1,0.7
7,Naz Reid,24,57,1287,15.0,0.595,0.485,0.157,4.9,17.7,11.7,7.0,1.5,3.0,10.8,22.1,,0.6,2.5,3.2,0.118,,0.0,1.0,1.0,1.0
8,Kyle Anderson,30,57,1261,12.5,0.528,0.116,0.342,4.3,13.4,9.2,24.7,1.8,2.1,17.4,14.2,,1.0,2.3,3.3,0.124,,-1.4,2.7,1.3,1.0
9,Shake Milton,27,38,491,8.3,0.496,0.331,0.275,1.7,9.6,5.9,14.0,1.6,0.9,13.5,18.6,,-0.3,0.8,0.5,0.045,,-4.9,0.7,-4.2,-0.3
10,Troy Brown Jr.,24,37,410,11.6,0.603,0.712,0.186,4.2,15.1,10.0,11.7,1.0,0.4,12.4,15.6,,0.4,0.6,1.0,0.123,,-0.2,0.7,0.4,0.3
11,Jordan McLaughlin,27,34,297,13.6,0.503,0.558,0.104,4.1,9.0,6.7,24.5,3.8,1.5,12.0,13.6,,0.3,0.6,0.9,0.149,,-0.1,4.4,4.2,0.5
12,Monte Morris,28,5,74,14.8,0.531,0.56,0.04,0.0,8.7,4.6,22.9,2.7,2.4,3.8,15.7,,0.1,0.1,0.2,0.158,,0.0,3.8,3.9,0.1
13,Josh Minott,21,20,62,18.4,0.608,0.286,0.667,5.9,13.8,10.1,7.0,2.4,4.2,6.9,20.7,,0.1,0.1,0.3,0.209,,-0.4,2.5,2.1,0.1
14,Wendell Moore Jr.,22,14,44,8.6,0.5,0.4,0.0,0.0,14.6,7.8,6.1,5.6,2.0,23.1,13.0,,-0.1,0.1,0.0,0.049,,-7.2,6.0,-1.2,0.0
15,Luka Garza,25,14,40,17.9,0.545,0.36,0.48,18.3,13.4,15.7,8.6,0.0,0.0,6.2,35.5,,0.1,0.1,0.1,0.135,,-2.3,-3.8,-6.2,0.0
16,Daishen Nix,21,10,35,13.3,0.53,0.684,0.211,0.0,3.1,1.6,9.1,2.8,0.0,4.6,27.4,,0.0,0.1,0.0,0.049,,-1.3,-0.1,-1.5,0.0
17,Leonard Miller,20,7,26,24.0,0.682,0.273,0.0,4.7,37.0,21.9,19.7,1.9,3.4,8.3,20.3,,0.1,0.1,0.1,0.253,,3.0,4.8,7.8,0.1
18,Justin Jackson,28,1,0,,,,,,,,,,,,,,0.0,0.0,0.0,,,-6.3,0.1,-6.2,0.0
