Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1,Anthony Edwards,22,54,54,1894,12.8,27.4,0.468,3.6,9.4,0.384,9.2,18.0,0.512,7.7,9.2,0.833,0.8,6.7,7.5,7.3,1.7,0.7,4.5,2.7,36.9,,113.0,109.0
2,Rudy Gobert,31,55,55,1840,7.6,11.8,0.649,0.0,0.1,0.0,7.6,11.7,0.651,4.9,7.6,0.643,5.3,13.3,18.6,1.8,0.9,3.0,2.2,4.5,20.2,,130.0,104.0
3,Karl-Anthony Towns,28,56,56,1839,12.0,23.3,0.514,3.4,7.9,0.435,8.6,15.5,0.554,6.4,7.3,0.879,2.2,10.5,12.7,4.4,1.0,1.0,4.2,4.9,33.8,,117.0,108.0
4,Mike Conley,36,52,52,1503,6.1,13.6,0.446,3.9,8.8,0.444,2.2,4.8,0.449,2.0,2.1,0.923,0.7,4.2,4.9,10.7,1.8,0.4,1.9,2.8,18.1,,133.0,111.0
5,Jaden McDaniels,23,47,46,1348,7.3,14.6,0.501,2.1,5.8,0.358,5.2,8.8,0.596,1.2,1.5,0.78,1.3,3.2,4.5,2.3,1.5,0.9,2.2,5.3,17.8,,109.0,111.0
6,Nickeil Alexander-Walker,25,57,16,1304,5.4,12.8,0.425,3.1,8.3,0.376,2.3,4.5,0.517,1.1,1.4,0.763,0.9,3.4,4.3,5.4,1.8,1.1,2.1,4.0,15.1,,113.0,110.0
7,Naz Reid,24,57,0,1287,9.9,20.6,0.48,4.1,10.0,0.405,5.8,10.6,0.55,2.4,3.2,0.741,2.0,8.1,10.1,2.3,1.5,1.7,2.7,4.4,26.3,,111.0,108.0
8,Kyle Anderson,30,57,3,1261,5.4,11.4,0.476,0.3,1.3,0.206,5.1,10.1,0.512,2.7,3.9,0.7,1.8,6.2,7.9,9.1,1.8,1.2,2.8,3.3,13.8,,115.0,109.0
9,Shake Milton,27,38,0,491,6.4,16.0,0.4,1.4,5.3,0.264,5.0,10.7,0.467,3.6,4.4,0.818,0.7,4.4,5.1,5.0,1.6,0.5,2.8,4.4,17.8,,100.0,111.0
10,Troy Brown Jr.,24,37,3,410,6.2,14.2,0.441,3.7,10.1,0.369,2.5,4.1,0.618,2.3,2.6,0.864,1.7,7.0,8.6,4.2,1.0,0.2,2.2,3.1,18.5,,118.0,111.0
11,Jordan McLaughlin,27,34,0,297,5.0,12.8,0.39,2.8,7.1,0.395,2.2,5.6,0.382,0.7,1.3,0.5,1.7,4.1,5.8,9.1,3.8,0.8,1.8,2.8,13.4,,118.0,106.0
12,Monte Morris,28,5,0,74,7.3,16.6,0.44,2.7,9.3,0.286,4.7,7.3,0.636,0.7,0.7,1.0,0.0,4.0,4.0,8.0,2.7,1.3,0.7,1.3,17.9,,122.0,108.0
13,Josh Minott,21,20,0,62,7.9,16.7,0.476,0.8,4.8,0.167,7.1,11.9,0.6,9.5,11.1,0.857,2.4,6.3,8.7,2.4,2.4,2.4,1.6,5.6,26.2,,126.0,106.0
14,Wendell Moore Jr.,22,14,0,44,5.6,11.2,0.5,0.0,4.5,0.0,5.6,6.7,0.833,0.0,0.0,,0.0,6.7,6.7,2.2,5.6,1.1,3.4,4.5,11.2,,81.0,100.0
15,Luka Garza,25,14,0,40,13.5,30.7,0.44,3.7,11.1,0.333,9.8,19.7,0.5,9.8,14.8,0.667,7.4,6.1,13.5,2.5,0.0,0.0,2.5,13.5,40.6,,115.0,114.0
16,Daishen Nix,21,10,0,35,11.2,26.7,0.421,7.0,18.3,0.385,4.2,8.4,0.5,1.4,5.6,0.25,0.0,1.4,1.4,2.8,2.8,0.0,1.4,1.4,30.9,,102.0,111.0
17,Leonard Miller,20,7,0,26,13.2,20.8,0.636,1.9,5.7,0.333,11.4,15.1,0.75,0.0,0.0,,1.9,17.0,18.9,5.7,1.9,1.9,1.9,5.7,28.4,,131.0,101.0
18,Justin Jackson,28,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,
