Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 14_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 21_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 24_level_0,Dunks,Dunks,Unnamed: 27_level_0,Corner 3s,Corner 3s,Unnamed: 30_level_0,Heaves,Heaves
Rk,Player,Age,G,MP,FG%,Dist.,Unnamed: 7_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 14_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 21_level_1,2P,3P,Unnamed: 24_level_1,%FGA,#,Unnamed: 27_level_1,%3PA,3P%,Unnamed: 30_level_1,Att.,#
1,Anthony Edwards,22,54,1894,0.468,14.2,,0.657,0.222,0.188,0.13,0.118,0.343,,0.512,0.731,0.434,0.387,0.363,0.384,,0.318,0.547,,0.051,45,,0.097,0.4,,4,0
2,Rudy Gobert,31,55,1840,0.649,2.6,,0.995,0.746,0.209,0.027,0.014,0.005,,0.651,0.742,0.402,0.333,0.167,0.0,,0.689,,,0.44,176,,0.0,,,0,0
3,Karl-Anthony Towns,28,56,1839,0.514,12.5,,0.663,0.263,0.289,0.065,0.046,0.337,,0.554,0.681,0.484,0.474,0.375,0.435,,0.628,0.977,,0.042,32,,0.085,0.36,,1,0
4,Mike Conley,36,52,1503,0.446,19.2,,0.353,0.074,0.141,0.103,0.034,0.647,,0.449,0.677,0.458,0.326,0.286,0.444,,0.424,0.842,,0.0,0,,0.252,0.515,,0,0
5,Jaden McDaniels,23,47,1348,0.501,13.5,,0.602,0.236,0.216,0.115,0.035,0.398,,0.596,0.766,0.5,0.522,0.286,0.358,,0.566,0.982,,0.085,27,,0.616,0.408,,2,0
6,Nickeil Alexander-Walker,25,57,1304,0.425,18.3,,0.348,0.13,0.139,0.047,0.032,0.652,,0.517,0.659,0.404,0.438,0.545,0.376,,0.525,0.964,,0.018,6,,0.452,0.43,,2,0
7,Naz Reid,24,57,1287,0.48,14.4,,0.515,0.237,0.248,0.028,0.002,0.485,,0.55,0.734,0.388,0.467,0.0,0.405,,0.627,1.0,,0.059,31,,0.347,0.418,,2,0
8,Kyle Anderson,30,57,1261,0.476,8.8,,0.884,0.226,0.473,0.154,0.031,0.116,,0.512,0.606,0.478,0.444,0.667,0.206,,0.5,1.0,,0.021,6,,0.618,0.286,,1,0
9,Shake Milton,27,38,491,0.4,13.1,,0.669,0.206,0.244,0.206,0.013,0.331,,0.467,0.667,0.333,0.394,1.0,0.264,,0.6,0.929,,0.0,0,,0.396,0.429,,1,0
10,Troy Brown Jr.,24,37,410,0.441,19.9,,0.288,0.136,0.076,0.042,0.034,0.712,,0.618,0.75,0.333,0.6,0.75,0.369,,0.476,0.871,,0.0,0,,0.321,0.37,,1,0
11,Jordan McLaughlin,27,34,297,0.39,15.8,,0.442,0.234,0.156,0.039,0.013,0.558,,0.382,0.444,0.333,0.0,1.0,0.395,,0.769,0.941,,0.0,0,,0.558,0.333,,1,1
12,Monte Morris,28,5,74,0.44,19.8,,0.44,0.12,0.0,0.16,0.16,0.56,,0.636,1.0,,0.5,0.5,0.286,,0.143,0.75,,0.0,0,,0.214,0.333,,0,0
13,Josh Minott,21,20,62,0.476,9.2,,0.714,0.381,0.333,0.0,0.0,0.286,,0.6,0.875,0.286,,,0.167,,0.556,1.0,,0.048,1,,0.333,0.0,,0,0
14,Wendell Moore Jr.,22,14,44,0.5,13.1,,0.6,0.3,0.1,0.2,0.0,0.4,,0.833,1.0,1.0,0.5,,0.0,,0.4,,,0.1,1,,0.5,0.0,,0,0
15,Luka Garza,25,14,40,0.44,13.3,,0.64,0.2,0.32,0.12,0.0,0.36,,0.5,0.4,0.375,1.0,,0.333,,0.375,1.0,,0.04,1,,0.111,0.0,,0,0
16,Daishen Nix,21,10,35,0.421,18.9,,0.316,0.105,0.211,0.0,0.0,0.684,,0.5,1.0,0.25,,,0.385,,0.333,0.6,,0.053,1,,0.154,0.0,,0,0
17,Leonard Miller,20,7,26,0.636,10.5,,0.727,0.545,0.0,0.091,0.091,0.273,,0.75,0.833,,0.0,1.0,0.333,,0.833,1.0,,0.0,0,,0.0,,,0,0
18,Justin Jackson,28,1,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
