Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Anthony Edwards,22,54,54,1894,9.4,20.1,0.468,2.6,6.9,0.384,6.7,13.2,0.512,5.6,6.7,0.833,0.6,4.9,5.5,5.3,1.3,0.5,3.3,2.0,27.0
2,Rudy Gobert,31,55,55,1840,5.6,8.6,0.649,0.0,0.0,0.0,5.6,8.6,0.651,3.6,5.5,0.643,3.9,9.7,13.6,1.3,0.6,2.2,1.6,3.3,14.8
3,Karl-Anthony Towns,28,56,56,1839,8.8,17.1,0.514,2.5,5.8,0.435,6.3,11.3,0.554,4.7,5.3,0.879,1.6,7.7,9.3,3.2,0.8,0.7,3.1,3.6,24.7
4,Mike Conley,36,52,52,1503,4.5,10.0,0.446,2.9,6.5,0.444,1.6,3.5,0.449,1.4,1.6,0.923,0.5,3.1,3.6,7.8,1.3,0.3,1.4,2.1,13.2
5,Jaden McDaniels,23,47,46,1348,5.3,10.7,0.501,1.5,4.2,0.358,3.8,6.4,0.596,0.9,1.1,0.78,0.9,2.4,3.3,1.7,1.1,0.6,1.6,3.8,13.1
6,Nickeil Alexander-Walker,25,57,16,1304,4.0,9.4,0.425,2.3,6.1,0.376,1.7,3.3,0.517,0.8,1.0,0.763,0.6,2.5,3.1,3.9,1.3,0.8,1.5,3.0,11.0
7,Naz Reid,24,57,0,1287,7.2,15.1,0.48,3.0,7.3,0.405,4.3,7.8,0.55,1.8,2.4,0.741,1.5,6.0,7.4,1.7,1.1,1.2,2.0,3.2,19.2
8,Kyle Anderson,30,57,3,1261,4.0,8.3,0.476,0.2,1.0,0.206,3.8,7.4,0.512,2.0,2.9,0.7,1.3,4.5,5.8,6.6,1.3,0.9,2.0,2.4,10.1
9,Shake Milton,27,38,0,491,4.7,11.7,0.4,1.0,3.9,0.264,3.7,7.8,0.467,2.6,3.2,0.818,0.5,3.2,3.7,3.7,1.2,0.4,2.1,3.2,13.1
10,Troy Brown Jr.,24,37,3,410,4.6,10.4,0.441,2.7,7.4,0.369,1.8,3.0,0.618,1.7,1.9,0.864,1.2,5.1,6.3,3.1,0.7,0.2,1.6,2.3,13.5
11,Jordan McLaughlin,27,34,0,297,3.6,9.3,0.39,2.1,5.2,0.395,1.6,4.1,0.382,0.5,1.0,0.5,1.2,3.0,4.2,6.7,2.8,0.6,1.3,2.1,9.8
12,Monte Morris,28,5,0,74,5.4,12.2,0.44,1.9,6.8,0.286,3.4,5.4,0.636,0.5,0.5,1.0,0.0,2.9,2.9,5.8,1.9,1.0,0.5,1.0,13.1
13,Josh Minott,21,20,0,62,5.8,12.2,0.476,0.6,3.5,0.167,5.2,8.7,0.6,7.0,8.1,0.857,1.7,4.6,6.4,1.7,1.7,1.7,1.2,4.1,19.2
14,Wendell Moore Jr.,22,14,0,44,4.1,8.2,0.5,0.0,3.3,0.0,4.1,4.9,0.833,0.0,0.0,,0.0,4.9,4.9,1.6,4.1,0.8,2.5,3.3,8.2
15,Luka Garza,25,14,0,40,9.9,22.5,0.44,2.7,8.1,0.333,7.2,14.4,0.5,7.2,10.8,0.667,5.4,4.5,9.9,1.8,0.0,0.0,1.8,9.9,29.7
16,Daishen Nix,21,10,0,35,8.2,19.5,0.421,5.1,13.4,0.385,3.1,6.2,0.5,1.0,4.1,0.25,0.0,1.0,1.0,2.1,2.1,0.0,1.0,1.0,22.6
17,Leonard Miller,20,7,0,26,9.7,15.2,0.636,1.4,4.2,0.333,8.3,11.1,0.75,0.0,0.0,,1.4,12.5,13.8,4.2,1.4,1.4,1.4,4.2,20.8
18,Justin Jackson,28,1,0,0,,,,,,,,,,,,,,,,,,,,,
