Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Rk,Player,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Anthony Edwards,22,54,1894,4%,78%,17%,,,10.4,10.0,77,65,46,12,173,1,708,51,42
2,Rudy Gobert,31,55,1840,,,,,100%,10.5,9.2,19,23,80,29,117,10,174,25,43
3,Karl-Anthony Towns,28,56,1839,,,1%,94%,5%,7.2,-0.1,61,35,95,45,131,10,375,38,60
4,Mike Conley,36,52,1503,100%,,,,,8.9,3.4,45,7,35,2,19,22,769,4,11
5,Jaden McDaniels,23,47,1348,,9%,89%,2%,,7.1,-0.5,26,19,69,2,23,9,156,10,17
6,Nickeil Alexander-Walker,25,57,1304,57%,42%,1%,,,7.0,-0.7,36,10,62,4,12,23,350,2,18
7,Naz Reid,24,57,1287,,,,43%,57%,8.2,1.7,21,31,65,8,39,3,146,6,38
8,Kyle Anderson,30,57,1261,,,71%,28%,,4.8,-4.6,45,17,39,2,46,5,548,6,14
9,Shake Milton,27,38,491,23%,71%,6%,,,-3.1,-12.7,19,5,27,2,20,3,116,5,14
10,Troy Brown Jr.,24,37,410,,36%,55%,8%,1%,0.5,-8.0,12,2,17,2,5,2,84,0,2
11,Jordan McLaughlin,27,34,297,85%,15%,,,,1.1,-6.9,8,3,8,0,0,5,128,0,4
12,Monte Morris,28,5,74,55%,45%,,,,13.8,6.7,1,0,2,0,1,0,33,1,0
13,Josh Minott,21,20,62,,,15%,65%,20%,1.3,-6.1,0,1,4,0,7,0,7,3,1
14,Wendell Moore Jr.,22,14,44,4%,38%,50%,8%,,-17.7,-25.5,1,1,2,0,0,0,5,0,0
15,Luka Garza,25,14,40,,,,14%,86%,0.4,-7.1,0,2,5,0,5,4,4,0,3
16,Daishen Nix,21,10,35,52%,26%,21%,,,30.4,23.4,0,1,1,0,1,0,6,0,2
17,Leonard Miller,20,7,26,,,,18%,82%,-12.9,-20.4,0,1,2,0,0,0,7,0,1
18,Justin Jackson,28,1,0,,,100%,,,,,0,0,0,0,0,0,0,0,0
