Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 14_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 21_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 24_level_0,Dunks,Dunks,Unnamed: 27_level_0,Corner 3s,Corner 3s,Unnamed: 30_level_0,Heaves,Heaves
Rk,Player,Age,G,MP,FG%,Dist.,Unnamed: 7_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 14_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 21_level_1,2P,3P,Unnamed: 24_level_1,%FGA,#,Unnamed: 27_level_1,%3PA,3P%,Unnamed: 30_level_1,Att.,#
1,Jeremy Sochan,20,58,1716,0.438,10.9,,0.725,0.319,0.27,0.094,0.042,0.275,,0.479,0.672,0.344,0.268,0.36,0.331,,0.592,0.981,,0.108,56,,0.307,0.3,,3,0
2,Devin Vassell,23,53,1684,0.467,16.7,,0.558,0.153,0.139,0.139,0.127,0.442,,0.539,0.713,0.495,0.568,0.347,0.377,,0.592,0.805,,0.046,33,,0.161,0.509,,1,0
3,Keldon Johnson,24,54,1591,0.451,12.8,,0.607,0.276,0.271,0.039,0.02,0.393,,0.529,0.626,0.444,0.481,0.429,0.332,,0.471,0.889,,0.046,27,,0.295,0.313,,1,0
4,Victor Wembanyama,20,52,1481,0.467,12.9,,0.694,0.269,0.227,0.1,0.098,0.306,,0.532,0.749,0.453,0.333,0.325,0.318,,0.75,0.805,,0.159,118,,0.054,0.429,,1,0
5,Tre Jones,24,53,1387,0.502,11.4,,0.697,0.323,0.256,0.104,0.012,0.303,,0.589,0.762,0.485,0.357,0.2,0.303,,0.424,0.865,,0.002,0,,0.377,0.326,,2,0
6,Zach Collins,26,46,1094,0.475,12.1,,0.672,0.253,0.307,0.075,0.037,0.328,,0.568,0.722,0.481,0.594,0.188,0.286,,0.663,1.0,,0.04,17,,0.1,0.286,,0,0
7,Malaki Branham,20,53,1075,0.424,15.0,,0.595,0.171,0.202,0.149,0.072,0.405,,0.494,0.761,0.31,0.532,0.3,0.321,,0.623,0.963,,0.022,9,,0.256,0.326,,0,0
8,Cedi Osman,28,58,1026,0.475,16.7,,0.427,0.22,0.153,0.038,0.016,0.573,,0.604,0.783,0.458,0.167,0.6,0.378,,0.716,0.971,,0.003,1,,0.239,0.419,,0,0
9,Julian Champagnie,22,51,856,0.396,19.1,,0.286,0.167,0.09,0.012,0.016,0.714,,0.486,0.659,0.273,0.0,0.25,0.36,,0.853,0.968,,0.045,7,,0.32,0.375,,0,0
10,Doug McDermott,32,46,700,0.442,21.8,,0.195,0.116,0.028,0.023,0.028,0.805,,0.452,0.56,0.0,0.4,0.5,0.439,,0.947,0.974,,0.023,5,,0.208,0.417,,0,0
11,Blake Wesley,20,37,488,0.504,9.9,,0.765,0.429,0.227,0.084,0.025,0.235,,0.615,0.686,0.63,0.3,0.333,0.143,,0.571,1.0,,0.118,12,,0.25,0.286,,2,0
12,Dominick Barlow,20,23,307,0.476,7.6,,0.917,0.405,0.238,0.226,0.048,0.083,,0.481,0.5,0.5,0.474,0.25,0.429,,0.784,1.0,,0.071,5,,0.857,0.5,,0,0
13,Sandro Mamukelashvili,24,32,212,0.437,14.7,,0.521,0.282,0.183,0.056,0.0,0.479,,0.622,0.6,0.615,0.75,,0.235,,0.609,1.0,,0.085,4,,0.265,0.222,,1,0
14,Charles Bassey,23,19,205,0.725,5.0,,0.975,0.65,0.1,0.2,0.025,0.025,,0.744,0.846,0.75,0.5,0.0,0.0,,0.793,,,0.25,10,,0.0,,,0,0
15,Devonte' Graham,28,12,99,0.367,21.5,,0.267,0.1,0.0,0.1,0.067,0.733,,0.5,0.667,,0.333,0.5,0.318,,0.5,0.571,,0.0,0,,0.182,0.25,,0,0
16,Sidy Cissoko,19,5,32,0.167,18.5,,0.333,0.0,0.333,0.0,0.0,0.667,,0.5,,0.5,,,0.0,,1.0,,,0.0,0,,0.5,0.0,,0,0
17,Mamadi Diakite,27,3,16,0.8,4.2,,1.0,0.6,0.4,0.0,0.0,0.0,,0.8,0.667,1.0,,,,,1.0,,,0.2,1,,,,,0,0
