Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1,Jeremy Sochan,20,58,57,1716,7.2,16.3,0.438,1.5,4.5,0.331,5.7,11.8,0.479,2.3,3.0,0.764,2.9,6.9,9.8,5.6,1.3,0.7,3.1,3.7,18.1,,104,119
2,Devin Vassell,23,53,47,1684,10.5,22.4,0.467,3.7,9.9,0.377,6.7,12.5,0.539,3.7,4.7,0.801,0.6,4.9,5.5,5.6,1.5,0.5,2.2,1.5,28.4,,114,120
3,Keldon Johnson,24,54,26,1591,9.2,20.5,0.451,2.7,8.0,0.332,6.6,12.4,0.529,4.2,5.3,0.782,2.1,6.7,8.8,4.8,1.3,0.5,2.4,3.6,25.3,,111,119
4,Victor Wembanyama,20,52,52,1481,12.6,26.9,0.467,2.6,8.2,0.318,10.0,18.7,0.532,6.5,8.0,0.813,3.6,13.1,16.7,5.5,2.1,5.5,5.7,3.5,34.3,,104,108
5,Tre Jones,24,53,24,1387,6.9,13.7,0.502,1.3,4.2,0.303,5.6,9.5,0.589,2.5,2.8,0.88,1.2,4.5,5.7,10.6,1.8,0.2,2.6,2.2,17.5,,122,120
6,Zach Collins,26,46,24,1094,8.8,18.4,0.475,1.7,6.0,0.286,7.0,12.4,0.568,3.5,4.7,0.75,3.5,7.4,10.8,6.0,1.0,1.4,4.0,6.3,22.8,,107,119
7,Malaki Branham,20,53,21,1075,7.7,18.2,0.424,2.4,7.4,0.321,5.4,10.9,0.494,1.4,1.5,0.941,0.8,3.8,4.6,5.1,0.8,0.2,2.5,2.8,19.2,,100,123
8,Cedi Osman,28,58,1,1026,6.9,14.5,0.475,3.1,8.3,0.378,3.7,6.2,0.604,1.6,2.3,0.68,0.9,5.8,6.7,4.6,1.3,0.4,1.9,3.9,18.4,,114,120
9,Julian Champagnie,22,51,36,856,5.4,13.5,0.396,3.5,9.7,0.36,1.9,3.9,0.486,2.2,2.7,0.796,1.7,5.6,7.3,3.5,1.7,1.5,1.8,3.0,16.3,,110,118
10,Doug McDermott,32,46,0,700,6.4,14.5,0.442,5.1,11.7,0.439,1.3,2.8,0.452,0.7,1.1,0.588,0.5,2.7,3.2,3.8,0.7,0.1,1.6,3.2,18.6,,116,124
11,Blake Wesley,20,37,1,488,5.8,11.5,0.504,0.4,2.7,0.143,5.4,8.8,0.615,2.4,4.1,0.595,1.1,3.3,4.4,9.5,1.8,0.4,2.8,5.3,14.4,,112,120
12,Dominick Barlow,20,23,1,307,6.2,12.9,0.476,0.5,1.1,0.429,5.7,11.8,0.481,3.4,5.2,0.647,5.1,7.8,12.9,4.0,1.4,1.8,0.8,5.1,16.2,,124,117
13,Sandro Mamukelashvili,24,32,0,212,6.9,15.8,0.437,1.8,7.6,0.235,5.1,8.2,0.622,2.7,3.8,0.706,4.2,8.2,12.5,6.2,1.3,1.8,1.8,4.9,18.3,,116,117
14,Charles Bassey,23,19,0,205,6.7,9.2,0.725,0.0,0.2,0.0,6.7,9.0,0.744,1.2,1.4,0.833,5.3,12.2,17.5,4.8,1.8,3.9,3.5,7.1,14.5,,126,111
15,Devonte' Graham,28,12,0,99,5.2,14.3,0.367,3.3,10.5,0.318,1.9,3.8,0.5,2.9,3.8,0.75,1.0,6.7,7.6,9.1,1.4,0.5,1.4,1.9,16.7,,119,119
16,Sidy Cissoko,19,5,0,32,1.5,8.9,0.167,0.0,5.9,0.0,1.5,3.0,0.5,5.9,5.9,1.0,0.0,8.9,8.9,0.0,4.4,0.0,1.5,3.0,8.9,,77,112
17,Mamadi Diakite,27,3,0,16,11.8,14.8,0.8,0.0,0.0,,11.8,14.8,0.8,11.8,17.7,0.667,3.0,5.9,8.9,5.9,0.0,3.0,0.0,3.0,35.4,,168,120
