Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jeremy Sochan,20,58,57,1716,5.5,12.4,0.438,1.1,3.4,0.331,4.3,9.0,0.479,1.8,2.3,0.764,2.2,5.2,7.5,4.3,1.0,0.5,2.3,2.8,13.8
2,Devin Vassell,23,53,47,1684,8.0,17.1,0.467,2.8,7.5,0.377,5.1,9.5,0.539,2.8,3.5,0.801,0.5,3.7,4.2,4.2,1.1,0.4,1.6,1.1,21.6
3,Keldon Johnson,24,54,26,1591,7.0,15.6,0.451,2.0,6.1,0.332,5.0,9.5,0.529,3.2,4.1,0.782,1.6,5.1,6.7,3.6,1.0,0.4,1.9,2.7,19.3
4,Victor Wembanyama,20,52,52,1481,9.6,20.5,0.467,2.0,6.3,0.318,7.6,14.2,0.532,5.0,6.1,0.813,2.7,10.0,12.8,4.2,1.6,4.2,4.3,2.7,26.1
5,Tre Jones,24,53,24,1387,5.2,10.4,0.502,1.0,3.2,0.303,4.3,7.3,0.589,1.9,2.2,0.88,0.9,3.4,4.4,8.0,1.3,0.2,1.9,1.7,13.3
6,Zach Collins,26,46,24,1094,6.7,14.1,0.475,1.3,4.6,0.286,5.4,9.4,0.568,2.7,3.6,0.75,2.6,5.6,8.3,4.6,0.8,1.1,3.0,4.8,17.3
7,Malaki Branham,20,53,21,1075,5.9,13.9,0.424,1.8,5.6,0.321,4.1,8.3,0.494,1.1,1.1,0.941,0.6,2.9,3.5,3.9,0.6,0.2,1.9,2.1,14.7
8,Cedi Osman,28,58,1,1026,5.2,11.0,0.475,2.4,6.3,0.378,2.8,4.7,0.604,1.2,1.8,0.68,0.7,4.4,5.1,3.5,1.0,0.3,1.4,3.0,14.0
9,Julian Champagnie,22,51,36,856,4.1,10.3,0.396,2.6,7.4,0.36,1.4,2.9,0.486,1.6,2.1,0.796,1.3,4.2,5.6,2.6,1.3,1.1,1.3,2.3,12.4
10,Doug McDermott,32,46,0,700,4.9,11.1,0.442,3.9,8.9,0.439,1.0,2.2,0.452,0.5,0.9,0.588,0.4,2.1,2.5,2.9,0.6,0.1,1.2,2.5,14.2
11,Blake Wesley,20,37,1,488,4.4,8.8,0.504,0.3,2.1,0.143,4.1,6.7,0.615,1.8,3.1,0.595,0.8,2.5,3.3,7.2,1.4,0.3,2.1,4.1,11.0
12,Dominick Barlow,20,23,1,307,4.7,9.9,0.476,0.4,0.8,0.429,4.3,9.0,0.481,2.6,4.0,0.647,3.9,6.0,9.9,3.0,1.1,1.4,0.6,3.9,12.3
13,Sandro Mamukelashvili,24,32,0,212,5.3,12.1,0.437,1.4,5.8,0.235,3.9,6.3,0.622,2.0,2.9,0.706,3.2,6.3,9.5,4.8,1.0,1.4,1.4,3.7,13.9
14,Charles Bassey,23,19,0,205,5.1,7.0,0.725,0.0,0.2,0.0,5.1,6.8,0.744,0.9,1.1,0.833,4.0,9.3,13.3,3.7,1.4,3.0,2.6,5.4,11.1
15,Devonte' Graham,28,12,0,99,4.0,10.9,0.367,2.5,8.0,0.318,1.5,2.9,0.5,2.2,2.9,0.75,0.7,5.1,5.8,6.9,1.1,0.4,1.1,1.5,12.7
16,Sidy Cissoko,19,5,0,32,1.1,6.8,0.167,0.0,4.5,0.0,1.1,2.3,0.5,4.5,4.5,1.0,0.0,6.8,6.8,0.0,3.4,0.0,1.1,2.3,6.8
17,Mamadi Diakite,27,3,0,16,9.0,11.3,0.8,0.0,0.0,,9.0,11.3,0.8,9.0,13.5,0.667,2.3,4.5,6.8,4.5,0.0,2.3,0.0,2.3,27.0
