Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Rk,Player,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Jeremy Sochan,20,58,1716,,,17%,80%,3%,-9.5,-2.3,55,30,63,10,54,13,496,10,56
2,Devin Vassell,23,53,1684,12%,82%,6%,,,-7.8,2.0,45,19,27,6,82,6,475,27,27
3,Keldon Johnson,24,54,1591,5%,38%,56%,2%,,-10.0,-3.3,43,28,59,8,94,7,381,25,46
4,Victor Wembanyama,20,52,1481,,,,,100%,-5.6,6.3,81,66,68,13,127,12,379,37,21
5,Tre Jones,24,53,1387,100%,,,,,-3.2,10.6,53,14,28,4,30,32,758,5,20
6,Zach Collins,26,46,1094,,,,35%,65%,-13.5,-8.0,45,16,92,19,39,6,322,8,21
7,Malaki Branham,20,53,1075,72%,28%,,,,-12.6,-6.6,42,13,37,0,17,11,275,8,26
8,Cedi Osman,28,58,1026,,4%,41%,55%,,-13.3,-7.5,20,14,43,4,24,16,239,10,15
9,Julian Champagnie,22,51,856,,7%,69%,24%,,-6.4,3.1,18,6,30,1,23,3,149,5,11
10,Doug McDermott,32,46,700,2%,26%,65%,8%,,-11.6,-4.1,15,2,28,3,7,0,137,0,6
11,Blake Wesley,20,37,488,50%,46%,3%,,,-10.5,-2.3,23,3,33,1,22,0,241,4,7
12,Dominick Barlow,20,23,307,,,3%,14%,84%,-6.7,2.1,2,0,23,3,15,1,62,2,5
13,Sandro Mamukelashvili,24,32,212,,,,25%,75%,5.0,14.7,4,2,10,1,8,0,67,1,8
14,Charles Bassey,23,19,205,,,,37%,63%,-10.5,-2.1,10,2,20,2,3,0,52,2,1
15,Devonte' Graham,28,12,99,98%,2%,,,,11.4,20.7,3,0,3,0,4,0,44,2,1
16,Sidy Cissoko,19,5,32,,,81%,19%,,21.1,30.1,0,1,1,0,2,0,0,0,1
17,Mamadi Diakite,27,3,16,,,,100%,,16.1,24.8,0,0,1,0,3,0,5,0,0
