Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,58.0,13970,2436,5297,0.46,719,2099,0.343,1717,3198,0.537,908,1164,0.78,598,1913,2511,1716,426,357,858,1028,6499
Team/G,,240.9,42.0,91.3,0.46,12.4,36.2,0.343,29.6,55.1,0.537,15.7,20.1,0.78,10.3,33.0,43.3,29.6,7.3,6.2,14.8,17.7,112.1
Lg Rank,,6,20,5,25.0,17,11,30.0,16,14,19.0,27,29,15.0,17,12,17,2,18,3,26,3,24
Year/Year,,-0.5%,-2.5%,-1.4%,-0.005,11.6%,12.4%,-0.003,-7.4%,-8.7%,0.008,-0.6%,-5.4%,0.037,-12.4%,3.3%,-0.9%,8.7%,5.3%,56.7%,-3.2%,-10.8%,-0.9%
Opponent,58.0,13970,2618,5309,0.493,782,2022,0.387,1836,3287,0.559,984,1269,0.775,622,2038,2660,1646,493,272,795,1065,7002
Opponent/G,,240.9,45.1,91.5,0.493,13.5,34.9,0.387,31.7,56.7,0.559,17.0,21.9,0.775,10.7,35.1,45.9,28.4,8.5,4.7,13.7,18.4,120.7
Lg Rank,,6,27,24,24.0,24,14,28.0,24,26,25.0,9,8,10.0,15,28,28,26,27,5,17,26,26
Year/Year,,-0.5%,-2.1%,0.6%,-0.014,6.7%,7.8%,-0.004,-5.4%,-3.4%,-0.012,-7.0%,-7.6%,0.005,0.3%,2.5%,2.0%,5.9%,4.8%,-10.8%,-1.0%,-0.7%,-1.9%
