Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
1,Miles Bridges,25,46,1714,16.0,0.564,0.371,0.173,2.8,20.2,11.1,14.4,1.4,1.3,9.5,24.6,,0.7,1.2,1.9,0.053,,0.5,-0.9,-0.4,0.7
2,Brandon Miller,21,51,1616,12.4,0.549,0.435,0.158,2.8,11.7,7.1,11.6,1.5,1.6,10.7,23.1,,-0.3,0.8,0.5,0.016,,-1.5,-1.4,-3.0,-0.4
3,P.J. Washington,25,44,1286,12.8,0.545,0.479,0.185,4.4,16.2,10.1,11.3,1.4,2.3,10.7,20.9,,0.0,0.8,0.9,0.032,,-1.8,-1.1,-2.8,-0.3
4,Nick Richards,26,48,1254,17.2,0.718,0.0,0.535,11.0,24.2,17.3,4.8,0.7,4.6,13.8,13.4,,2.8,1.1,3.9,0.147,,-1.5,-0.4,-1.8,0.0
5,Terry Rozier,29,30,1065,19.0,0.574,0.423,0.235,1.7,10.9,6.1,30.7,1.5,1.0,9.7,27.4,,1.6,0.4,2.1,0.093,,3.6,-1.4,2.2,1.1
6,Gordon Hayward,33,25,798,14.0,0.544,0.205,0.273,3.3,13.4,8.2,21.7,1.7,1.4,13.3,20.9,,0.2,0.5,0.7,0.043,,-1.3,-0.6,-1.9,0.0
7,Ish Smith,35,43,741,6.7,0.435,0.051,0.025,1.6,10.2,5.7,26.0,1.1,0.5,22.7,12.1,,-0.5,0.2,-0.3,-0.022,,-5.7,-1.2,-6.9,-0.9
8,Bryce McGowens,21,45,731,9.0,0.573,0.457,0.317,2.3,11.2,6.6,7.7,1.1,0.8,10.6,14.1,,0.3,0.2,0.6,0.037,,-3.8,-1.0,-4.9,-0.5
9,LaMelo Ball,22,22,711,20.6,0.561,0.466,0.246,4.4,13.8,8.9,42.3,2.7,0.5,15.0,33.8,,0.5,0.6,1.1,0.075,,3.6,-0.4,3.2,0.9
10,Cody Martin,28,25,670,9.3,0.466,0.394,0.155,2.7,13.9,8.1,18.4,2.3,1.9,16.6,16.1,,-0.7,0.5,-0.1,-0.009,,-4.2,0.8,-3.4,-0.2
11,JT Thor,21,45,581,6.9,0.442,0.432,0.094,7.0,14.2,10.5,3.9,0.7,2.8,7.1,11.7,,-0.2,0.3,0.0,0.001,,-4.6,-1.5,-6.1,-0.6
12,Nick Smith Jr.,19,37,573,8.5,0.534,0.521,0.06,3.0,7.7,5.3,11.4,0.6,1.1,12.6,19.3,,-0.3,0.1,-0.2,-0.018,,-2.6,-2.6,-5.2,-0.5
13,Mark Williams,22,19,508,22.3,0.675,0.0,0.424,16.0,24.8,20.2,6.7,1.5,3.6,8.7,16.8,,1.6,0.5,2.1,0.196,,1.4,-0.8,0.7,0.3
14,Nathan Mensah,25,25,307,5.0,0.496,0.0,0.429,10.1,13.7,11.8,3.6,1.0,4.2,29.6,6.7,,0.0,0.2,0.2,0.024,,-8.8,-0.1,-8.8,-0.5
15,Leaky Black,24,22,218,9.9,0.554,0.385,0.359,3.9,16.0,9.7,10.8,1.1,2.5,10.0,10.0,,0.2,0.1,0.3,0.065,,-3.2,-0.2,-3.4,-0.1
16,Théo Maledon,22,13,200,3.9,0.379,0.455,0.182,2.1,11.1,6.4,18.7,1.7,0.0,17.4,18.8,,-0.5,0.1,-0.4,-0.105,,-7.9,-1.8,-9.7,-0.4
17,Tre Mann,22,6,177,14.1,0.552,0.407,0.169,2.4,19.1,10.4,25.0,2.8,0.0,14.8,18.3,,0.1,0.2,0.3,0.072,,-2.4,2.5,0.1,0.1
18,Grant Williams,25,6,168,14.5,0.622,0.563,0.297,3.8,14.6,9.0,9.0,0.9,1.1,11.1,21.1,,0.2,0.1,0.3,0.072,,-0.5,-0.3,-0.8,0.1
19,Vasilije Micić,30,6,133,12.8,0.513,0.358,0.151,2.4,7.9,5.0,40.4,0.7,0.0,15.0,21.8,,0.1,0.0,0.1,0.031,,-1.3,-1.5,-2.9,0.0
20,Seth Curry,33,5,100,13.9,0.566,0.5,0.158,2.1,7.0,4.5,10.6,1.5,1.8,4.7,18.6,,0.1,0.0,0.1,0.063,,-0.9,0.7,-0.2,0.0
21,James Bouknight,23,14,81,15.8,0.597,0.732,0.049,1.3,11.5,6.2,11.9,0.6,1.1,4.6,23.6,,0.1,0.0,0.1,0.067,,4.3,-2.1,2.1,0.1
22,Frank Ntilikina,25,5,43,0.0,0.253,0.889,0.222,2.5,13.5,7.8,11.3,0.0,0.0,9.2,11.0,,-0.1,0.0,-0.1,-0.094,,-10.1,-3.3,-13.4,-0.1
23,Dāvis Bertāns,31,4,43,15.6,0.667,1.0,0.0,0.0,8.1,3.9,7.1,2.3,0.0,0.0,18.2,,0.1,0.0,0.1,0.13,,2.6,0.9,3.5,0.1
24,Amari Bailey,19,3,15,2.1,0.317,0.429,0.286,14.3,0.0,7.4,9.4,0.0,0.0,11.3,25.8,,-0.1,0.0,-0.1,-0.221,,-6.4,-6.8,-13.2,0.0
