No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
24.0,Brandon Miller,SF,6-9,201,"November 22, 2002",us,R,Alabama
4.0,Nick Richards,C,7-0,245,"November 29, 1997",jm,3,Kentucky
0.0,Miles Bridges,SF,6-7,225,"March 21, 1998",us,4,Michigan State
7.0,Bryce McGowens,SG,6-7,179,"November 8, 2002",us,1,Nebraska
21.0,JT Thor,PF,6-10,205,"August 26, 2002",us,2,Auburn
8.0,Nick Smith Jr.,SG,6-5,185,"April 18, 2004",us,R,Arkansas
11.0,Cody Martin,SF,6-5,205,"September 28, 1995",us,4,"NC State, Nevada"
31.0,Nathan Mensah (TW),C,6-8,230,"April 9, 1998",gh,R,San Diego State
1.0,LaMelo Ball,PG,6-7,180,"August 22, 2001",us,3,
12.0,Leaky Black (TW),SF,6-9,205,"June 14, 1999",us,R,UNC
5.0,Mark Williams,C,7-0,241,"December 16, 2001",us,1,Duke
2.0,Grant Williams,PF,6-6,236,"November 30, 1998",us,4,Tennessee
23.0,Tre Mann,PG,6-3,178,"February 3, 2001",us,2,Florida
22.0,Vasilije Micić,PG,6-5,200,"January 13, 1994",rs,R,
30.0,Seth Curry,SG,6-1,185,"August 23, 1990",us,9,"Liberty, Duke"
9.0,Dāvis Bertāns,PF,6-10,225,"November 12, 1992",lv,7,
10.0,Amari Bailey (TW),PG,6-5,185,"February 17, 2004",us,R,UCLA
,Marques Bolden,C,6-10,249,"April 17, 1998",us,2,Duke
