Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Rk,Player,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Miles Bridges,25,46,1714,,10%,69%,21%,,-10.6,-1.1,48,32,50,5,73,9,381,28,51
2,Brandon Miller,21,51,1616,,3%,42%,55%,,-8.8,3.5,46,17,75,16,56,18,301,16,33
3,P.J. Washington,25,44,1286,,,3%,68%,28%,-11.2,-1.9,37,16,72,10,46,7,232,17,27
4,Nick Richards,26,48,1254,,,,,100%,-13.4,-5.8,13,11,65,26,72,7,96,10,26
5,Terry Rozier,29,30,1065,65%,35%,,,,-13.0,-4.6,40,15,19,7,49,21,478,9,29
6,Gordon Hayward,33,25,798,,67%,33%,,,-8.3,2.8,23,17,18,6,42,1,270,11,11
7,Ish Smith,35,43,741,100%,,,,,-18.4,-11.2,33,11,40,1,1,7,346,0,7
8,Bryce McGowens,21,45,731,6%,58%,35%,1%,,-13.1,-3.9,14,3,36,3,32,9,100,7,12
9,LaMelo Ball,22,22,711,69%,29%,1%,,,-9.2,1.4,37,22,26,11,40,5,396,7,14
10,Cody Martin,28,25,670,13%,64%,23%,,,-9.1,1.5,24,14,27,0,15,8,219,3,16
11,JT Thor,21,45,581,,,,66%,34%,-7.3,3.7,3,4,34,1,6,1,42,1,14
12,Nick Smith Jr.,19,37,573,36%,59%,5%,,,-16.6,-8.0,18,7,28,2,6,3,116,1,8
13,Mark Williams,22,19,508,,,,,100%,-0.8,11.6,5,2,26,7,30,0,57,4,18
14,Nathan Mensah,25,25,307,,,,,100%,-21.8,-13.0,0,3,39,10,5,10,22,0,2
15,Leaky Black,24,22,218,,,37%,63%,1%,-11.4,-1.3,2,1,8,2,4,2,45,0,5
16,Théo Maledon,22,13,200,94%,6%,,,,-14.1,-4.2,10,3,11,0,6,5,66,2,5
17,Tre Mann,22,6,177,100%,,,,,3.6,14.8,8,2,6,1,4,2,73,2,6
18,Grant Williams,25,6,168,,,2%,48%,50%,17.3,29.3,4,1,5,3,6,3,24,1,4
19,Vasilije Micić,30,6,133,69%,31%,,,,11.1,22.4,5,3,4,0,0,1,90,0,6
20,Seth Curry,33,5,100,4%,70%,27%,,,4.5,15.2,1,1,1,0,3,2,18,1,1
21,James Bouknight,23,14,81,,72%,28%,,,-10.5,-0.3,2,0,3,0,1,0,14,0,2
22,Frank Ntilikina,25,5,43,14%,86%,,,,-7.0,3.3,0,1,2,0,1,0,10,0,0
23,Dāvis Bertāns,31,4,43,,,,36%,64%,26.4,37.2,0,0,2,0,0,0,4,0,1
24,Amari Bailey,19,3,15,100%,,,,,3.6,13.9,1,0,0,0,0,0,2,0,0
